model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
claude,active_to_passive,8.642,8.642,0.0,0.0,1.0,ns,False
claude,capitalization,6.0,5.0,-16.667,-0.389,0.317,ns,False
claude,compound_word,10.465,11.628,11.111,0.593,0.317,ns,False
claude,concept_replacement,8.235,8.235,0.0,0.0,1.0,ns,False
claude,coordinating_conjunction,1.639,0.0,-100.0,-0.176,0.317,ns,False
claude,derivation,11.594,11.594,0.0,0.0,1.0,ns,False
claude,dialectal,11.111,10.101,-9.091,-0.528,0.317,ns,False
claude,discourse,12.5,13.889,11.111,0.762,0.317,ns,False
claude,geographical_bias,0.0,0.0,0.0,0.0,1.0,ns,False
claude,grammatical_role,4.819,4.819,0.0,0.0,1.0,ns,False
claude,length_bias,8.696,7.609,-12.5,-0.51,0.564,ns,False
claude,negation,10.0,10.0,0.0,0.0,1.0,ns,False
claude,punctuation,11.0,11.0,0.0,0.0,1.0,ns,False
claude,sentiment,8.943,8.13,-9.091,-0.387,0.317,ns,False
claude,singlish,0.0,43.75,0.0,0.0,0.0,***,True
claude,temporal_bias,8.791,8.791,0.0,0.0,1.0,ns,False
claude,typo_bias,10.0,10.0,0.0,0.0,1.0,ns,False
deepseek-r1-deepseek,active_to_passive,3.704,2.469,-33.333,-0.351,0.317,ns,False
deepseek-r1-deepseek,capitalization,3.0,1.0,-66.667,-0.477,0.157,ns,False
deepseek-r1-deepseek,casual,0.0,4.082,0.0,0.0,0.044,*,True
deepseek-r1-deepseek,compound_word,8.14,8.14,0.0,0.0,1.0,ns,False
deepseek-r1-deepseek,concept_replacement,4.706,4.706,0.0,0.0,1.0,ns,False
deepseek-r1-deepseek,coordinating_conjunction,13.115,0.0,-100.0,-7.33,0.004,**,True
deepseek-r1-deepseek,derivation,7.246,4.348,-40.0,-1.247,0.317,ns,False
deepseek-r1-deepseek,dialectal,5.208,30.208,480.0,8.959,0.0,***,True
deepseek-r1-deepseek,discourse,6.944,9.722,40.0,1.169,0.317,ns,False
deepseek-r1-deepseek,geographical_bias,30.392,0.0,-100.0,-22.532,0.0,***,True
deepseek-r1-deepseek,grammatical_role,15.663,3.614,-76.923,-7.198,0.004,**,True
deepseek-r1-deepseek,length_bias,4.348,5.435,25.0,0.347,0.317,ns,False
deepseek-r1-deepseek,negation,7.273,6.364,-12.5,-0.392,0.564,ns,False
deepseek-r1-deepseek,punctuation,7.0,4.0,-42.857,-1.268,0.257,ns,False
deepseek-r1-deepseek,sentiment,4.878,3.252,-33.333,-0.56,0.317,ns,False
deepseek-r1-deepseek,temporal_bias,6.593,4.396,-33.333,-0.9,0.157,ns,False
deepseek-r1-deepseek,typo_bias,6.0,5.0,-16.667,-0.389,0.564,ns,False
gpt-5-standard,active_to_passive,7.407,7.407,0.0,0.0,1.0,ns,False
gpt-5-standard,capitalization,4.0,5.0,25.0,0.301,0.317,ns,False
gpt-5-standard,casual,0.0,5.102,0.0,0.0,0.024,*,True
gpt-5-standard,compound_word,8.14,9.302,14.286,0.529,0.317,ns,False
gpt-5-standard,concept_replacement,7.059,8.235,16.667,0.499,0.317,ns,False
gpt-5-standard,coordinating_conjunction,8.197,0.0,-100.0,-3.744,0.023,*,True
gpt-5-standard,derivation,8.696,8.696,0.0,0.0,1.0,ns,False
gpt-5-standard,dialectal,8.333,40.625,387.5,14.867,0.0,***,True
gpt-5-standard,discourse,11.111,12.5,12.5,0.726,0.317,ns,False
gpt-5-standard,geographical_bias,31.373,0.0,-100.0,-23.475,0.0,***,True
gpt-5-standard,grammatical_role,10.843,3.614,-66.667,-3.742,0.034,*,True
gpt-5-standard,length_bias,7.609,6.522,-14.286,-0.479,0.564,ns,False
gpt-5-standard,negation,7.273,7.273,0.0,0.0,1.0,ns,False
gpt-5-standard,punctuation,10.0,11.0,10.0,0.5,0.317,ns,False
gpt-5-standard,sentiment,8.13,6.504,-20.0,-0.74,0.157,ns,False
gpt-5-standard,temporal_bias,7.692,7.692,0.0,0.0,1.0,ns,False
gpt-5-standard,typo_bias,10.0,11.0,10.0,0.5,0.317,ns,False
gpt4o,active_to_passive,6.173,8.642,40.0,0.976,0.157,ns,False
gpt4o,capitalization,6.0,6.0,0.0,0.0,1.0,ns,False
gpt4o,compound_word,10.465,10.465,0.0,0.0,1.0,ns,False
gpt4o,concept_replacement,8.235,10.588,28.571,1.077,0.317,ns,False
gpt4o,coordinating_conjunction,16.393,0.0,-100.0,-9.956,0.001,**,True
gpt4o,derivation,7.246,7.246,0.0,0.0,1.0,ns,False
gpt4o,dialectal,12.121,13.131,8.333,0.547,0.317,ns,False
gpt4o,discourse,8.333,11.111,33.333,1.279,0.157,ns,False
gpt4o,geographical_bias,25.49,0.0,-100.0,-17.924,0.0,***,True
gpt4o,grammatical_role,13.253,6.024,-54.545,-4.057,0.034,*,True
