model,modification,original_acc,modified_acc,pct_diff,weighted_delta,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
claude-3-5-sonnet,verbal,85.0,60.0,-29.412,-24.118,0.059,0.083,0.059,.,False
claude-3-5-sonnet,lexical,91.667,83.333,-9.091,-8.176,0.317,0.398,0.317,ns,False
claude-3-5-sonnet,double,66.667,66.667,0.0,0.0,1.0,1.0,1.0,ns,False
claude-3-5-sonnet,approximate,67.742,77.419,14.286,8.859,0.317,0.402,0.317,ns,False
claude-3-5-sonnet,absolute,87.5,87.5,0.0,0.0,1.0,1.0,1.0,ns,False
deepseek-r1-deepseek,verbal,30.0,65.0,116.667,25.85,0.02,0.03,0.02,*,True
deepseek-r1-deepseek,lexical,41.667,87.5,110.0,37.12,0.002,0.001,0.001,**,True
deepseek-r1-deepseek,double,60.0,80.0,33.333,17.782,0.257,0.251,0.251,ns,False
deepseek-r1-deepseek,approximate,38.71,70.968,83.333,25.61,0.025,0.012,0.012,*,True
deepseek-r1-deepseek,absolute,62.5,62.5,0.0,0.0,1.0,1.0,1.0,ns,False
gpt-5-standard,verbal,35.0,65.0,85.714,23.161,0.058,0.063,0.058,.,False
gpt-5-standard,lexical,54.167,83.333,53.846,25.284,0.02,0.032,0.02,*,True
gpt-5-standard,double,33.333,80.0,140.0,35.534,0.008,0.012,0.008,**,True
gpt-5-standard,approximate,58.065,67.742,16.667,8.535,0.439,0.439,0.439,ns,False
gpt-5-standard,absolute,75.0,75.0,0.0,0.0,1.0,1.0,1.0,ns,False
gpt4o,verbal,90.0,60.0,-33.333,-29.314,0.014,0.032,0.014,*,True
gpt4o,lexical,83.333,79.167,-5.0,-4.002,0.564,0.726,0.564,ns,False
gpt4o,double,73.333,66.667,-9.091,-6.218,0.564,0.715,0.564,ns,False
gpt4o,approximate,77.419,64.516,-16.667,-12.186,0.157,0.271,0.157,ns,False
gpt4o,absolute,87.5,100.0,14.286,12.138,1.0,0.382,0.382,ns,False
llama,verbal,85.0,55.0,-35.294,-28.941,0.014,0.043,0.014,*,True
llama,lexical,87.5,75.0,-14.286,-12.138,0.083,0.279,0.083,.,False
llama,double,66.667,66.667,0.0,0.0,1.0,1.0,1.0,ns,False
llama,approximate,80.645,77.419,-4.0,-3.075,0.705,0.765,0.705,ns,False
llama,absolute,62.5,87.5,40.0,22.449,0.5,0.295,0.295,ns,False
