model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
claude-3-5-sonnet,active_to_passive,89.474,88.421,-1.176,-1.027,0.796,ns,False
claude-3-5-sonnet,capitalization,86.869,86.869,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,casual,84.0,80.0,-4.762,-3.849,0.285,ns,False
claude-3-5-sonnet,compound_word,89.583,87.5,-2.326,-2.034,0.414,ns,False
claude-3-5-sonnet,concept_replacement,78.0,74.0,-5.128,-3.784,0.346,ns,False
claude-3-5-sonnet,coordinating_conjunction,83.505,85.567,2.469,1.981,0.317,ns,False
claude-3-5-sonnet,derivation,84.694,85.714,1.205,0.984,0.317,ns,False
claude-3-5-sonnet,dialectal,82.0,83.0,1.22,0.957,0.739,ns,False
claude-3-5-sonnet,discourse,85.0,83.0,-2.353,-1.929,0.527,ns,False
claude-3-5-sonnet,geographical_bias,83.0,83.0,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,grammatical_role,86.111,84.722,-1.613,-1.344,0.782,ns,False
claude-3-5-sonnet,length_bias,84.848,84.848,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,negation,78.571,74.49,-5.195,-3.868,0.414,ns,False
claude-3-5-sonnet,punctuation,85.859,84.848,-1.176,-0.977,0.564,ns,False
claude-3-5-sonnet,sentiment,82.0,81.0,-1.22,-0.957,0.705,ns,False
claude-3-5-sonnet,singlish,76.471,70.588,-7.692,-5.54,0.083,.,False
claude-3-5-sonnet,temporal_bias,85.0,86.0,1.176,0.965,0.317,ns,False
claude-3-5-sonnet,typo_bias,81.633,83.673,2.5,1.951,0.157,ns,False
deepseek-r1-deepseek,active_to_passive,43.158,89.474,107.317,37.865,0.0,***,True
deepseek-r1-deepseek,capitalization,47.475,86.869,82.979,33.021,0.0,***,True
deepseek-r1-deepseek,compound_word,43.75,92.708,111.905,40.17,0.0,***,True
deepseek-r1-deepseek,concept_replacement,40.0,78.0,95.0,30.439,0.0,***,True
deepseek-r1-deepseek,coordinating_conjunction,41.237,86.598,110.0,36.635,0.0,***,True
deepseek-r1-deepseek,derivation,41.837,89.796,114.634,38.884,0.0,***,True
deepseek-r1-deepseek,dialectal,44.0,85.0,93.182,33.691,0.0,***,True
deepseek-r1-deepseek,discourse,45.0,82.0,82.222,30.584,0.0,***,True
deepseek-r1-deepseek,geographical_bias,54.0,77.0,42.593,19.923,0.001,***,True
deepseek-r1-deepseek,grammatical_role,45.833,84.722,84.848,32.301,0.0,***,True
deepseek-r1-deepseek,length_bias,49.495,88.889,79.592,33.378,0.0,***,True
deepseek-r1-deepseek,negation,42.857,74.49,73.81,25.813,0.0,***,True
deepseek-r1-deepseek,punctuation,41.414,87.879,112.195,37.57,0.0,***,True
deepseek-r1-deepseek,sentiment,48.0,86.0,79.167,31.944,0.0,***,True
deepseek-r1-deepseek,singlish,46.078,71.569,55.319,21.201,0.0,***,True
deepseek-r1-deepseek,temporal_bias,46.0,90.0,95.652,36.581,0.0,***,True
deepseek-r1-deepseek,typo_bias,38.776,82.653,113.158,34.851,0.0,***,True
gpt-5-standard,active_to_passive,56.842,88.421,55.556,27.705,0.0,***,True
gpt-5-standard,capitalization,54.545,94.949,74.074,35.086,0.0,***,True
gpt-5-standard,compound_word,45.833,91.667,100.0,38.069,0.0,***,True
gpt-5-standard,concept_replacement,57.0,78.0,36.842,18.437,0.002,**,True
gpt-5-standard,coordinating_conjunction,57.732,85.567,48.214,24.515,0.0,***,True
gpt-5-standard,derivation,52.041,90.816,74.51,33.276,0.0,***,True
gpt-5-standard,dialectal,58.0,87.0,50.0,25.57,0.0,***,True
gpt-5-standard,discourse,58.0,84.0,44.828,22.925,0.0,***,True
gpt-5-standard,geographical_bias,54.0,83.0,53.704,25.12,0.0,***,True
gpt-5-standard,grammatical_role,51.389,83.333,62.162,27.326,0.0,***,True
gpt-5-standard,length_bias,57.576,90.909,57.895,29.337,0.0,***,True
gpt-5-standard,negation,50.0,73.469,46.939,19.937,0.001,***,True
gpt-5-standard,punctuation,56.566,91.919,62.5,30.979,0.0,***,True
gpt-5-standard,sentiment,48.0,84.0,75.0,30.262,0.0,***,True
gpt-5-standard,singlish,56.863,74.51,31.034,15.484,0.008,**,True
gpt-5-standard,temporal_bias,47.0,90.0,91.489,35.95,0.0,***,True
gpt-5-standard,typo_bias,56.122,84.694,50.909,24.988,0.0,***,True
gpt4o,active_to_passive,80.0,83.158,3.947,3.005,0.549,ns,False
gpt4o,capitalization,82.828,83.838,1.22,0.969,0.705,ns,False
gpt4o,casual,79.0,74.0,-6.329,-4.744,0.251,ns,False
gpt4o,compound_word,86.458,83.333,-3.614,-3.026,0.18,ns,False
gpt4o,concept_replacement,74.0,73.0,-1.351,-0.935,0.763,ns,False
gpt4o,coordinating_conjunction,80.412,78.351,-2.564,-1.964,0.48,ns,False
gpt4o,derivation,80.612,80.612,0.0,0.0,1.0,ns,False
gpt4o,dialectal,81.0,79.0,-2.469,-1.908,0.637,ns,False
