model,modification,original_mean_f1,modified_mean_f1,mean_f1_pct_change,p_value,significance,original_micro_f1,modified_micro_f1,micro_f1_pct_change
claude,capitalization,0.6067670401493931,0.5644365079365079,-6.97640600294685,0.0791826825796808,.,,,
gpt4o,sentiment,0.5702536397658349,0.5708108964206525,0.0977208413867342,0.9547075542182768,ns,,,
gpt4o,punctuation,0.5058538975644238,0.4710551962657226,-6.879199995542057,0.0978226408546209,.,,,
gpt4o,derivation,0.555091328109231,0.5550181323838612,-0.0131862491203225,0.9430491169658528,ns,,,
claude,derivation,0.563044646932115,0.5435139360970562,-3.4687676974599717,0.0678891548618289,.,,,
claude,punctuation,0.4538888888888888,0.3733095238095237,-17.7531036894562,0.0006710874775375,**,,,
gpt4o,discourse,0.549117743854586,0.550067139650473,0.1728947582758235,0.8125422341993517,ns,,,
claude,temporal_bias,0.5326713902344155,0.4899481470910042,-8.020562757201924,0.0179604775260787,*,,,
claude,negation,0.4649707155589508,0.4638791274085392,-0.2347649247328273,0.6767925648835518,ns,,,
gpt4o,dialectal,0.5164626915963814,0.5493470911474476,6.36723621786133,0.2042566523075528,ns,,,
llama,coordinating_conjunction,0.7338170936531592,0.7362678305301255,0.3339710805543914,0.6528272284410972,ns,,,
llama,derivation,0.6010592892945833,0.5887038508521885,-2.055610596567846,0.1441270348160153,ns,,,
gpt4o,typo_bias,0.4970293071221863,0.5025031373854904,1.101309356383367,0.7087842319735201,ns,,,
llama,punctuation,0.5395032861874965,0.4738113669955774,-12.17637053819332,0.0029507567487772,**,,,
claude,concept_replacement,0.491851485692316,0.4910364145658263,-0.1657148855294067,0.9160510722818964,ns,,,
gpt4o,temporal_bias,0.5703606850665675,0.5320735753508863,-6.712789068063595,0.0274705361762933,*,,,
llama,temporal_bias,0.5711519572864112,0.5580158870074836,-2.299925634736179,0.1729549179884206,ns,,,
claude,grammatical_role,0.6032946658035249,0.5799857438411656,-3.863604849102089,0.0852810589132807,.,,,
claude,length_bias,0.482740632484878,0.4335164835164835,-10.196810803974838,0.2576027060322493,ns,,,
llama,sentiment,0.5994233860087518,0.582059855230587,-2.896705597988007,0.192127168625119,ns,,,
llama,concept_replacement,0.5610009636653236,0.531732650279363,-5.217159199644653,0.1357960440217068,ns,,,
llama,casual,0.5424769710255642,0.5562248883540443,2.534285889129872,0.5195720050168753,ns,,,
claude,typo_bias,0.4669337068160597,0.4566666666666666,-2.1988218026499378,0.2367235706378573,ns,,,
claude,dialectal,0.4941610314159333,0.4793971460638127,-2.987666856250739,0.5723052485333482,ns,,,
claude,discourse,0.5317179733846401,0.5215217652717653,-1.9175970388909456,0.2785170238295782,ns,,,
claude,compound_word,0.5145039411113281,0.4971760797342192,-3.3678772877192604,0.1088094300405456,ns,,,
gpt4o,length_bias,0.5042162583083298,0.5533775438826589,9.75003974272222,0.0750281664959472,.,,,
gpt4o,grammatical_role,0.5969497389766704,0.6174281895756027,3.4305150437016456,0.1934645464105179,ns,,,
claude,active_to_passive,0.51051976346094,0.5290907309425829,3.6376588745057967,0.3325656149674376,ns,,,
llama,geographical_bias,0.6256182686978533,0.6329898572932628,1.1782885769548554,0.8502330349457088,ns,,,
llama,grammatical_role,0.6408161135659365,0.6370130224134477,-0.5934762051044247,0.7554236504413918,ns,,,
gpt4o,compound_word,0.5448938694204731,0.5289003973682496,-2.935153605092597,0.5281061253470647,ns,,,
claude,geographical_bias,0.6599659471631791,0.6151338313103019,-6.793095317354664,0.2889617594967336,ns,,,
llama,active_to_passive,0.547608463512603,0.5683021730952014,3.7789243522387896,0.2197684795021611,ns,,,
llama,compound_word,0.5806115551075591,0.5709216326269388,-1.6689165751834223,0.1797124948789997,ns,,,
gpt4o,capitalization,0.5564769968593498,0.5506068669892199,-1.0548737689535792,0.7260075904591834,ns,,,
llama,negation,0.5003485195731185,0.4923142810843345,-1.6057284421743752,0.6871597634856941,ns,,,
gpt4o,geographical_bias,0.6427701799674117,0.691777721189486,7.624426700155718,0.0650613566309601,.,,,
llama,discourse,0.5855475705256405,0.5736648544762579,-2.029334019559781,0.3946268662430952,ns,,,
llama,dialectal,0.5744276222885848,0.5636415508964527,-1.8777076473375576,0.6460335914571025,ns,,,
llama,capitalization,0.6233146591970121,0.5516638655462185,-11.495124106835236,0.0384719097810238,*,,,
llama,typo_bias,0.5318006293671927,0.5472835353500988,2.9114117449108043,0.2288708492609671,ns,,,
claude,sentiment,0.5454346015321625,0.5157762291908633,-5.437567081000515,0.0171536017002006,*,,,
llama,length_bias,0.5424769710255642,0.5562248883540443,2.534285889129872,0.5195720050168753,ns,,,
gpt4o,casual,0.5042162583083298,0.5533775438826589,9.75003974272222,0.0750281664959472,.,,,
claude,coordinating_conjunction,0.6967993754879,0.6938152011922505,-0.4282687959586707,0.7252209665318533,ns,,,
gpt4o,coordinating_conjunction,0.6427329501099992,0.6898842505399881,7.336063978347357,0.0410953129674025,*,,,
claude,casual,0.482740632484878,0.4335164835164835,-10.196810803974838,0.2576027060322493,ns,,,
gpt4o,negation,0.5077629233511587,0.508851733530878,0.2144327853899429,0.4869553398235882,ns,,,
gpt4o,active_to_passive,0.5299539643766223,0.5588923785002217,5.460552438293236,0.3257891629860271,ns,,,
