model,negation_type,original_mean_f1,modified_mean_f1,mean_f1_pct_change,sample_size,p_value,significance
GPT2,absolute,0.491031412565026,0.5334133653461385,8.631210080780711,28,0.11585149752593009,ns
GPT2,double,0.5602140856342537,0.524499799919968,-6.375113841318593,14,0.6547208460185769,ns
GPT2,lexical,0.4627774186597717,0.42526933850463267,-8.104993597951351,26,0.3454475304692257,ns
GPT2,verbal,0.5129701880752301,0.5141956782713085,0.23890086101820435,28,0.9465893537715819,ns
GPT2,approximate,0.5727891156462585,0.5744897959183675,0.2969121140142812,14,0.6547208460185769,ns
BERT,absolute,0.6003016591251885,0.5534413765506203,-7.806122448979577,28,0.13801073756865956,ns
BERT,double,0.6477991196478591,0.6377651060424169,-1.548939061679592,14,0.5929800980174267,ns
BERT,lexical,0.5790794424278587,0.5936775893789469,2.5209230170360977,26,0.4652088184521418,ns
BERT,verbal,0.6247914550435558,0.5745713670083418,-8.037896105943556,28,0.14412703481601533,ns
BERT,approximate,0.6566457352171637,0.6328362114076399,-3.625931386221465,14,0.31731050786291415,ns
T5,absolute,0.5404188948306595,0.5719581772102781,5.836080618443478,28,0.12819017434510785,ns
T5,double,0.5381673881673882,0.44733560090702945,-16.877980579549163,14,0.11484960926328612,ns
T5,lexical,0.5038371758959994,0.5094322344322344,1.1104894207707101,26,0.49819405658410876,ns
T5,verbal,0.5324823868941516,0.5497952444381016,3.2513483957529385,28,0.7353166906373405,ns
T5,approximate,0.5737116058544629,0.5538267288267288,-3.46600571172312,14,0.6547208460185769,ns
