,BERT,BERT,BERT,GPT2,GPT2,GPT2,T5,T5,T5,gpt4o,gpt4o,gpt4o,claude,claude,claude,llama,llama,llama
,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff
temporal_bias,0.6438918762771381,0.6618405942258561,2.7875360149741466,0.5587852390373398,0.5323377369595858,-4.73303520388568,0.6174759880642233,0.6213175677299788,0.6221423569520131,0.5703606850665675,0.5320735753508863,-6.712789068063595,0.5326713902344155,0.4899481470910042,-8.020562757201924,0.5711519572864112,0.5580158870074836,-2.299925634736179
geographical_bias,0.6503432745647277,0.6465117040968434,-0.5891612349568386,0.5940064260998517,0.6057660491097024,1.97971309621388,0.6138138261840683,0.6309373360843947,2.7896911359555245,0.6427701799674117,0.691777721189486,7.624426700155718,0.6599659471631791,0.6151338313103019,-6.793095317354664,0.6256182686978533,0.6329898572932628,1.1782885769548554
length_bias,0.6367131217035309,0.5989794217575547,-5.92632673330485,0.4827365728900256,0.4856366459627328,0.6007568590349931,0.4505776157630377,0.4573005798549276,1.492076804682091,0.5042162583083298,0.5533775438826589,9.75003974272222,0.482740632484878,0.4335164835164835,-10.196810803974838,0.5424769710255642,0.5562248883540443,2.534285889129872
typo_bias,0.6267798525004407,0.6072506953830483,-3.115792098211805,0.5351717472414067,0.5250591637464703,-1.8895959188919529,0.5535451150157032,0.5438928571428572,-1.7437165663673593,0.4970293071221863,0.5025031373854904,1.101309356383367,0.4669337068160597,0.4566666666666666,-2.1988218026499378,0.5318006293671927,0.5472835353500988,2.9114117449108043
capitalization,0.7302121848739495,0.72143837535014,-1.201542470196387,0.6137335115864527,0.4252096661508425,-30.71754138832845,0.6746195993548935,0.5576991619491619,-17.331313456878068,0.5564769968593498,0.5506068669892199,-1.0548737689535792,0.6067670401493931,0.5644365079365079,-6.97640600294685,0.6233146591970121,0.5516638655462185,-11.495124106835236
punctuation,0.6586363489451726,0.612229422538246,-7.045910308662568,0.5063583449574162,0.5206895692886405,2.8302534112338145,0.5395236397589339,0.517659281894576,-4.052530093792961,0.5058538975644238,0.4710551962657226,-6.879199995542057,0.4538888888888888,0.3733095238095237,-17.7531036894562,0.5395032861874965,0.4738113669955774,-12.17637053819332
derivation,0.683925388337153,0.6893661596870153,0.7955211844219757,0.5278787140679724,0.4989277133778412,-5.484403882669769,0.5740069062319701,0.5856931266138427,2.035902400301403,0.555091328109231,0.5550181323838612,-0.0131862491203225,0.563044646932115,0.5435139360970562,-3.468767697459972,0.6010592892945833,0.5887038508521885,-2.055610596567846
compound_word,0.671760484157885,0.6428291441800333,-4.306793963047684,0.5505984523552382,0.5469830527070069,-0.6566309136478861,0.5426604327425121,0.5650781028517007,4.131067746342509,0.5448938694204731,0.5289003973682496,-2.935153605092597,0.5145039411113281,0.4971760797342192,-3.3678772877192604,0.5806115551075591,0.5709216326269388,-1.6689165751834223
active_to_passive,0.6560641952254151,0.6407208119081756,-2.3387015217265,0.5392831206556696,0.5412154798320375,0.3583199811665752,0.5374528723112602,0.5498064994797021,2.2985507762413504,0.5299539643766223,0.5588923785002217,5.460552438293236,0.51051976346094,0.5290907309425829,3.6376588745057967,0.547608463512603,0.5683021730952014,3.7789243522387896
grammatical_role,0.6782290766167449,0.6549176490884498,-3.4371023496339923,0.5641054669403359,0.532593680042298,-5.58615165865266,0.5818466634554514,0.5737660599106382,-1.3887857492942208,0.5969497389766704,0.6174281895756027,3.4305150437016456,0.6032946658035249,0.5799857438411656,-3.863604849102089,0.6408161135659365,0.6370130224134477,-0.5934762051044247
coordinating_conjunction,0.7495961688584639,0.772433395384215,3.046603954837326,0.593272718923635,0.5990708046232588,0.9773052956392776,0.7278037991152745,0.7420097206982453,1.9518889019595265,0.6427329501099992,0.6898842505399881,7.336063978347357,0.6967993754879,0.6938152011922505,-0.4282687959586707,0.7338170936531592,0.7362678305301255,0.3339710805543914
concept_replacement,0.6526798864342117,0.6323209259022408,-3.11928725783142,0.5405025539627617,0.500255745792078,-7.44618279332988,0.5401863419164458,0.5327003676830666,-1.3858133115363107,0.5296241705238244,0.571304842792732,7.8698583993406785,0.491851485692316,0.4910364145658263,-0.1657148855294067,0.5610009636653236,0.531732650279363,-5.217159199644653
negation,0.6147354606178136,0.589167205343676,-4.159228954913608,0.5091482047364401,0.5070537305831424,-0.4113682683771549,0.5337028034354238,0.533369150160594,-0.0625166801976663,0.5077629233511587,0.508851733530878,0.2144327853899429,0.4649707155589508,0.4638791274085392,-0.2347649247328273,0.5003485195731185,0.4923142810843345,-1.6057284421743752
discourse,0.6580181574054124,0.6605389889703615,0.3830945296234395,0.5576314989047186,0.543577266100486,-2.520344139783628,0.6101810181467044,0.5985870610870611,-1.9000848461096969,0.549117743854586,0.550067139650473,0.1728947582758235,0.5317179733846401,0.5215217652717653,-1.9175970388909456,0.5855475705256405,0.5736648544762579,-2.029334019559781
sentiment,0.6972108063571479,0.6882835547469693,-1.2804235862066649,0.5849424076109873,0.571637465037752,-2.274573086190667,0.6214192311753287,0.5929303908978706,-4.584479985206672,0.5702536397658349,0.5708108964206525,0.0977208413867342,0.5454346015321625,0.5157762291908633,-5.437567081000515,0.5994233860087518,0.582059855230587,-2.896705597988007
casual,0.6367131217035309,0.5989794217575547,-5.92632673330485,0.4827365728900256,0.4856366459627328,0.6007568590349931,0.4505776157630377,0.4573005798549276,1.492076804682091,0.5042162583083298,0.5533775438826589,9.75003974272222,0.482740632484878,0.4335164835164835,-10.196810803974838,0.5424769710255642,0.5562248883540443,2.534285889129872
dialectal,0.6183254109724697,0.5079238481199265,-17.854928957053442,0.4898848428260193,0.4513622345173147,-7.863604859966188,0.5244368393209748,0.4804821160881767,-8.381318766566705,0.5164626915963814,0.5493470911474476,6.36723621786133,0.4941610314159333,0.4793971460638127,-2.987666856250739,0.5744276222885848,0.5636415508964527,-1.8777076473375576
