task,model,modification,rows,effective_rows,metric,metric2
gsm,unknown,unknown,100,100,0.89,
gsm,unknown,unknown,100,100,0.92,
gsm,unknown,unknown,100,100,0.96,0.96
gsm,unknown,unknown,100,100,0.89,
gsm,unknown,unknown,100,100,0.96,0.96
gsm,unknown,unknown,100,100,0.95,
gsm,unknown,unknown,100,100,0.98,0.98
gsm,unknown,unknown,100,100,0.91,
gsm,unknown,unknown,100,100,0.99,0.99
gsm,unknown,unknown,100,100,0.9,
gsm,unknown,unknown,100,100,0.97,0.97
gsm,unknown,unknown,100,100,0.93,
gsm,unknown,unknown,100,100,0.87,0.87
gsm,unknown,unknown,100,100,0.95,
gsm,unknown,unknown,100,100,0.98,0.98
gsm,unknown,unknown,100,100,0.43,0.94
gsm,unknown,unknown,100,100,0.47,0.87
gsm,unknown,unknown,100,100,0.48,0.92
gsm,unknown,unknown,100,100,0.48,0.92
gsm,unknown,unknown,100,100,0.9,
gsm,unknown,unknown,100,100,0.97,0.97
gsm,unknown,unknown,100,100,0.91,
gsm,unknown,unknown,100,100,0.99,0.99
gsm,unknown,unknown,100,100,0.91,
gsm,unknown,unknown,100,100,0.99,0.99
gsm,unknown,unknown,100,100,0.93,
gsm,unknown,unknown,100,100,0.98,0.98
gsm,unknown,unknown,100,100,0.88,0.88
gsm,unknown,unknown,100,100,0.96,0.96
gsm,unknown,unknown,100,100,0.92,0.92
gsm,unknown,unknown,100,100,0.95,0.95
gsm,unknown,unknown,100,100,0.89,0.89
gsm,unknown,unknown,100,100,0.96,0.96
gsm,unknown,unknown,100,100,0.95,0.95
gsm,unknown,unknown,100,100,0.98,0.98
gsm,unknown,unknown,100,100,0.92,0.92
gsm,unknown,unknown,100,100,0.99,0.99
gsm,unknown,unknown,100,100,0.89,0.89
gsm,unknown,unknown,100,100,0.96,0.96
gsm,unknown,unknown,100,100,0.94,0.94
gsm,unknown,unknown,100,100,0.98,0.98
gsm,unknown,unknown,100,100,0.92,0.92
gsm,unknown,unknown,100,100,0.95,0.95
gsm,unknown,unknown,100,100,0.45,0.94
gsm,unknown,unknown,100,100,0.97,0.97
gsm,unknown,unknown,8,8,0.75,0.125
gsm,unknown,unknown,8,8,0.75,0.125
gsm,unknown,unknown,100,100,0.88,0.88
gsm,unknown,unknown,100,100,0.95,0.95
gsm,unknown,unknown,100,100,0.89,0.89
gsm,unknown,unknown,100,100,0.97,0.97
gsm,unknown,unknown,100,100,0.9,0.9
gsm,unknown,unknown,100,100,0.98,0.98
gsm,unknown,unknown,100,100,0.93,0.93
gsm,unknown,unknown,100,100,0.98,0.98
gsm,gpt-5-standard,active_to_passive_100,100,100,0.98,
gsm,gpt-5-standard,capitalization_100,100,100,0.96,
gsm,gpt-5-standard,casual_100,100,100,0.97,
gsm,gpt-5-standard,concept_replacement_100,100,100,0.99,
gsm,gpt-5-standard,coordinating_conjunction_100,100,100,0.99,
gsm,gpt-5-standard,dialectal_100,100,100,0.99,
gsm,gpt-5-standard,geographical_bias_100,100,100,0.98,
gsm,gpt-5-standard,length_bias_100,100,100,0.98,
gsm,gpt-5-standard,negation_100,100,100,0.46,0.97
gsm,gpt-5-standard,negation_change_100,100,100,0.41,0.97
gsm,gpt-5-standard,punctuation_100,100,100,0.96,
gsm,gpt-5-standard,sentiment_100,100,100,0.99,
