task,model,modification,rows,effective_rows,metric,metric2
ner,claude-3-5-sonnet,active_to_passive_100,81,81,0.5688712522045856,
ner,claude-3-5-sonnet,capitalization_100,100,100,0.5939365079365079,
ner,claude-3-5-sonnet,casual_100,98,98,0.5428166504697116,
ner,claude-3-5-sonnet,compound_word_100,86,86,0.5435492801771872,
ner,claude-3-5-sonnet,concept_replacement_100,85,85,0.5119421101774043,
ner,claude-3-5-sonnet,coordinating_conjunction_100,61,61,0.7171527925626286,
ner,claude-3-5-sonnet,derivation_100,69,69,0.5816436807485401,
ner,claude-3-5-sonnet,dialectal_100,96,96,0.4816550925925926,
ner,claude-3-5-sonnet,discourse_100,72,72,0.5533780262946929,
ner,claude-3-5-sonnet,geographical_bias_100,102,102,0.6504512916277622,
ner,claude-3-5-sonnet,grammatical_role_100,83,83,0.6135198803873503,
ner,claude-3-5-sonnet,length_bias_100,92,92,0.4452918458353241,
ner,claude-3-5-sonnet,negation_100,110,110,0.4872485357779475,
ner,claude-3-5-sonnet,ner,251,251,0.5584047985969711,
ner,claude-3-5-sonnet,punctuation_100,100,100,0.4111984126984127,
ner,claude-3-5-sonnet,sentiment_100,123,123,0.5486062717770035,
ner,claude-3-5-sonnet,temporal_bias_100,91,91,0.5371747300318729,
ner,claude-3-5-sonnet,typo_bias_100,100,100,0.48817460317460315,
ner,deepseek-r1,active_to_passive_100,81,81,0.5644855547905656,
ner,deepseek-r1,capitalization_100,100,100,0.6157804156627686,
ner,deepseek-r1,casual_100,98,98,0.6375148394356077,
ner,deepseek-r1,compound_word_100,86,86,0.58250086856448,
ner,deepseek-r1,concept_replacement_100,85,85,0.6230138354532818,
ner,deepseek-r1,coordinating_conjunction_100,61,61,0.670853736427507,
ner,deepseek-r1,derivation_100,69,69,0.5493392701832599,
ner,deepseek-r1,dialectal_100,96,96,0.5703617631007337,
ner,deepseek-r1,discourse_100,72,72,0.6027553099921521,
ner,deepseek-r1,geographical_bias_100,102,102,0.6525860849390261,
ner,deepseek-r1,grammatical_role_100,83,83,0.6198092088240919,
ner,deepseek-r1,length_bias_100,92,92,0.5704663729280098,
ner,deepseek-r1,negation_100,110,110,0.5773703420762244,
ner,deepseek-r1,ner,249,249,0.0049722700325109965,
ner,deepseek-r1,punctuation_100,100,100,0.5488725490196078,
ner,deepseek-r1,sentiment_100,123,123,0.5888101138459819,
ner,deepseek-r1,temporal_bias_100,91,91,0.5843883079500404,
ner,deepseek-r1,typo_bias_100,100,100,0.5474005177828708,
ner,gpt-5-standard,active_to_passive_100,81,81,0.6347779682747002,
ner,gpt-5-standard,capitalization_100,100,100,0.6792785841609371,
ner,gpt-5-standard,casual_100,98,98,0.6445139161225596,
ner,gpt-5-standard,compound_word_100,86,86,0.6154334721366186,
ner,gpt-5-standard,concept_replacement_100,85,85,0.6314628547154498,
ner,gpt-5-standard,coordinating_conjunction_100,61,61,0.7213180155320945,
ner,gpt-5-standard,derivation_100,69,69,0.611135284153187,
ner,gpt-5-standard,dialectal_100,96,96,0.5922604900546077,
ner,gpt-5-standard,discourse_100,72,72,0.6281107055616859,
ner,gpt-5-standard,geographical_bias_100,102,102,0.7074647030529383,
ner,gpt-5-standard,grammatical_role_100,83,83,0.7003226043977284,
ner,gpt-5-standard,length_bias_100,92,92,0.6032019664052912,
ner,gpt-5-standard,negation_100,110,110,0.6006372712255065,
ner,gpt-5-standard,ner,249,249,0.16810184460786873,
ner,gpt-5-standard,punctuation_100,100,100,0.5828501041442218,
ner,gpt-5-standard,sentiment_100,123,123,0.6129871398164081,
ner,gpt-5-standard,temporal_bias_100,91,91,0.6095655583373747,
ner,gpt-5-standard,typo_bias_100,100,100,0.5765810692575398,
ner,gpt-5-standard-context-aware,active_to_passive_100,81,81,0.6460377808417024,
ner,gpt-5-standard-context-aware,capitalization_100,100,100,0.6990899394722924,
ner,gpt-5-standard-context-aware,casual_100,98,98,0.6269963896314437,
ner,gpt-5-standard-context-aware,compound_word_100,86,86,0.6188782489740082,
