text,label,pred,raw_output,modified_pred
In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York ; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'Grill Room': 'BUILDING'}, {'Taft Hotel': 'BUILDING'}, {'New York': 'LOCATION'}, {'George Hall and His Hotel Taft Orchestra': 'ORGANIZATION'}]",[],"[{'text': 'Grill Room', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall', 'value': 'PERSON'}, {'text': 'Hotel Taft', 'value': 'BUILDING'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]",[]
"The final season of minor league play Elkin Memorial Park saw season attendance of 16,322, an average of 299 per contest.",[{'Elkin Memorial Park': 'LOCATION'}],[],"[{'text': 'Elkin Memorial Park', 'value': 'LOCATION'}]",[]
"They finished the season 14\u201319, 9\u20139 in C-USA play to finish in seventh place.",[{'C-USA play': 'EVENT'}],[],"[{'text': 'C-USA', 'value': 'ORGANIZATION'}]",[]
"The B-52 pilot, Major Larry G.Messinger, later recalled,","[{'B-52': 'PRODUCT'}, {'Larry G.Messinger': 'PERSON'}]",[],"[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G. Messinger', 'value': 'PERSON'}]",[]
The Austro-Hungarian Navy built and operated two classes of protected cruisers.,[{'Austro-Hungarian Navy': 'ORGANIZATION'}],[],"[{'text': 'Austro-Hungarian Navy', 'value': 'ORGANIZATION'}, {'text': 'protected cruisers', 'value': 'PRODUCT'}]",[]
Elin Hilderbrand is an American writer mostly of romance novels.,"[{'Elin Hilderbrand': 'PERSON'}, {'American': 'LOCATION'}]",[],"[
{'text': 'Elin Hilderbrand', 'value': 'PERSON'}
]",[]
"A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","[{""DB5 extended 4''"": 'PRODUCT'}, {'Marek': 'PERSON'}, {'Aston Martin DB7': 'PRODUCT'}, {'V8 unit': 'PRODUCT'}]",[],"[{'text': 'DB5', 'value': 'PRODUCT'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': 'Aston Martin', 'value': 'ORGANIZATION'}, {'text': 'DB7', 'value': 'PRODUCT'}]",[]
"He has caught the attention of major publications and media outlets such as CNN, The Huffington Post, Hypebeast, The Guardian, Juxtapoz Magazine, Daily Mail, NRDC, Aljazeera and Hi-Fructose Magazine.","[{'CNN': 'ORGANIZATION'}, {'The Huffington Post': 'ORGANIZATION'}, {'Hypebeast': 'ORGANIZATION'}, {'The Guardian': 'ORGANIZATION'}, {'Juxtapoz Magazine': 'ORGANIZATION'}, {'Daily Mail, NRDC': 'ORGANIZATION'}, {'Aljazeera': 'ORGANIZATION'}, {'Hi-Fructose Magazine': 'ORGANIZATION'}]",[],"[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'value': 'ORGANIZATION'}, {'text': 'Daily Mail', 'value': 'ORGANIZATION'}, {'text': 'NRDC', 'value': 'ORGANIZATION'}, {'text': 'Aljazeera', 'value': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazine', 'value': 'ORGANIZATION'}]",[]
The Cnidaria are a group of animals found exclusively in aquatic and mostly marine environments.,[{'Cnidaria': 'OTHER'}],[],"[{'text': 'Cnidaria', 'value': 'OTHER'}]",[]
"The Ninth suffered a serious defeat at the Battle of Camulodunum under Quintus Petillius Cerialis in the rebellion of Boudica (61), when most of the foot-soldiers were killed in a disastrous attempt to relieve the besieged city of Camulodunum (Colchester).","[{'Camulodunum': 'EVENT'}, {'Quintus Petillius Cerialis': 'PERSON'}, {'Boudica': 'EVENT'}, {'Camulodunum': 'LOCATION'}, {'Colchester': 'LOCATION'}]",[],"[
  {'text': 'The Ninth', 'value': 'ORGANIZATION'},
  {'text': 'Battle of Camulodunum', 'value': 'EVENT'},
  {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'},
  {'text': 'Boudica', 'value': 'PERSON'},
  {'text': 'rebellion of Boudica', 'value': 'EVENT'},
  {'text': 'Camulodunum', 'value': 'LOCATION'},
  {'text': 'Colchester', 'value': 'LOCATION'}
]",[]
"He is a Congressman representing Cajamarca for the period 2006\u20132011, and belongs to the Union for Peru party.","[{'Cajamarca': 'LOCATION'}, {'Peru party': 'ORGANIZATION'}]",[],"[{'text': 'Cajamarca', 'value': 'LOCATION'}, {'text': 'Union for Peru', 'value': 'ORGANIZATION'}]",[]
