model,modification,original_acc,modified_acc,pct_diff,weighted_delta,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
llama,verbal,85.000,55.000,-35.294,-28.941,0.014,0.043,0.014,*,True
llama,lexical,87.500,75.000,-14.286,-12.138,0.083,0.279,0.083,.,False
llama,double,66.667,66.667,0.000,0.000,1.000,1.000,1.000,ns,False
llama,approximate,80.645,77.419,-4.000,-3.075,0.705,0.765,0.705,ns,False
llama,absolute,62.500,87.500,40.000,22.449,0.500,0.295,0.295,ns,False
deepseek-r1-deepseek,verbal,90.000,65.000,-27.778,-24.428,0.025,0.064,0.025,*,True
deepseek-r1-deepseek,lexical,95.833,87.500,-8.696,-8.256,0.317,0.312,0.312,ns,False
deepseek-r1-deepseek,double,66.667,73.333,10.000,6.080,0.655,0.715,0.655,ns,False
deepseek-r1-deepseek,approximate,74.194,70.968,-4.348,-3.017,0.763,0.785,0.763,ns,False
deepseek-r1-deepseek,absolute,75.000,50.000,-33.333,-23.438,0.625,0.349,0.349,ns,False
claude-3-5-sonnet,verbal,85.000,60.000,-29.412,-24.118,0.059,0.083,0.059,.,False
claude-3-5-sonnet,lexical,91.667,83.333,-9.091,-8.176,0.317,0.398,0.317,ns,False
claude-3-5-sonnet,double,66.667,66.667,0.000,0.000,1.000,1.000,1.000,ns,False
claude-3-5-sonnet,approximate,67.742,77.419,14.286,8.859,0.317,0.402,0.317,ns,False
claude-3-5-sonnet,absolute,87.500,87.500,0.000,0.000,1.000,1.000,1.000,ns,False
gpt-5-standard,verbal,85.000,70.000,-17.647,-14.471,0.180,0.270,0.180,ns,False
gpt-5-standard,lexical,95.833,87.500,-8.696,-8.256,0.317,0.312,0.312,ns,False
gpt-5-standard,double,80.000,73.333,-8.333,-6.344,0.564,0.692,0.564,ns,False
gpt-5-standard,approximate,77.419,67.742,-12.500,-9.140,0.317,0.402,0.317,ns,False
gpt-5-standard,absolute,87.500,100.000,14.286,12.138,1.000,0.382,0.382,ns,False
gpt-5-standard-context-aware,verbal,85.000,70.000,-17.647,-14.471,0.083,0.270,0.083,.,False
gpt-5-standard-context-aware,lexical,91.667,87.500,-4.545,-4.088,0.655,0.654,0.654,ns,False
gpt-5-standard-context-aware,double,73.333,80.000,9.091,6.218,0.317,0.692,0.317,ns,False
gpt-5-standard-context-aware,approximate,80.645,70.968,-12.000,-9.225,0.317,0.383,0.317,ns,False
gpt-5-standard-context-aware,absolute,87.500,87.500,0.000,0.000,1.000,1.000,1.000,ns,False
gpt4o,verbal,90.000,60.000,-33.333,-29.314,0.014,0.032,0.014,*,True
gpt4o,lexical,83.333,79.167,-5.000,-4.002,0.564,0.726,0.564,ns,False
gpt4o,double,73.333,66.667,-9.091,-6.218,0.564,0.715,0.564,ns,False
gpt4o,approximate,77.419,64.516,-16.667,-12.186,0.157,0.271,0.157,ns,False
gpt4o,absolute,87.500,100.000,14.286,12.138,1.000,0.382,0.382,ns,False
