model,modification,original_acc,modified_acc,pct_diff,weighted_delta,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
llama,lexical,87.500,56.250,-35.714,-30.344,0.002,0.006,0.002,**,True
llama,double,90.909,45.455,-50.000,-44.514,0.063,0.028,0.028,*,True
llama,verbal,100.000,72.222,-27.778,-27.778,0.025,0.019,0.019,*,True
llama,absolute,100.000,61.538,-38.462,-38.462,0.063,0.016,0.016,*,True
llama,approximate,96.154,76.923,-20.000,-19.067,0.025,0.046,0.025,*,True
deepseek-r1-deepseek,lexical,90.625,78.125,-13.793,-12.233,0.102,0.175,0.102,ns,False
deepseek-r1-deepseek,double,81.818,81.818,0.000,0.000,1.000,1.000,1.000,ns,False
deepseek-r1-deepseek,verbal,94.444,55.556,-41.176,-38.406,0.008,0.008,0.008,**,True
deepseek-r1-deepseek,absolute,100.000,69.231,-30.769,-30.769,0.125,0.037,0.037,*,True
deepseek-r1-deepseek,approximate,80.769,57.692,-28.571,-22.007,0.109,0.076,0.076,.,False
claude-3-5-sonnet,lexical,87.500,59.375,-32.143,-27.309,0.007,0.012,0.007,**,True
claude-3-5-sonnet,double,100.000,63.636,-36.364,-36.364,0.125,0.035,0.035,*,True
claude-3-5-sonnet,verbal,88.889,83.333,-6.250,-5.413,0.655,0.654,0.654,ns,False
claude-3-5-sonnet,absolute,100.000,69.231,-30.769,-30.769,0.125,0.037,0.037,*,True
claude-3-5-sonnet,approximate,100.000,76.923,-23.077,-23.077,0.014,0.010,0.010,*,True
gpt-5-standard,lexical,93.750,81.250,-13.333,-12.325,0.157,0.137,0.137,ns,False
gpt-5-standard,double,100.000,81.818,-18.182,-18.182,0.500,0.167,0.167,ns,False
gpt-5-standard,verbal,88.889,66.667,-25.000,-21.654,0.102,0.119,0.102,ns,False
gpt-5-standard,absolute,100.000,100.000,0.000,0.000,1.000,1.000,1.000,ns,False
gpt-5-standard,approximate,92.308,65.385,-29.167,-26.455,0.020,0.019,0.019,*,True
gpt-5-standard-context-aware,lexical,93.750,71.875,-23.333,-21.568,0.035,0.022,0.022,*,True
gpt-5-standard-context-aware,double,100.000,81.818,-18.182,-18.182,0.500,0.167,0.167,ns,False
gpt-5-standard-context-aware,verbal,88.889,66.667,-25.000,-21.654,0.102,0.119,0.102,ns,False
gpt-5-standard-context-aware,absolute,100.000,92.308,-7.692,-7.692,1.000,0.356,0.356,ns,False
gpt-5-standard-context-aware,approximate,92.308,61.538,-33.333,-30.234,0.005,0.009,0.005,**,True
gpt4o,lexical,84.375,53.125,-37.037,-30.097,0.004,0.008,0.004,**,True
gpt4o,double,81.818,63.636,-22.222,-17.390,0.688,0.372,0.372,ns,False
gpt4o,verbal,94.444,100.000,5.882,5.487,0.317,0.345,0.317,ns,False
gpt4o,absolute,92.308,61.538,-33.333,-30.234,0.219,0.073,0.073,.,False
gpt4o,approximate,92.308,76.923,-16.667,-15.117,0.102,0.132,0.102,ns,False
