model,modification,original_acc,modified_acc,pct_diff,weighted_delta,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
bert-base-cased,absolute,75.0,62.5,-16.667,-11.719,1.0,0.648,0.648,ns,False
bert-base-cased,approximate,48.387,41.935,-13.333,-5.435,0.527,0.618,0.527,ns,False
bert-base-cased,double,60.0,60.0,0.0,0.0,1.0,1.0,1.0,ns,False
bert-base-cased,lexical,50.0,45.833,-8.333,-3.54,0.655,0.784,0.655,ns,False
bert-base-cased,verbal,55.0,60.0,9.091,4.351,0.655,0.764,0.655,ns,False
claude-3-5-sonnet,absolute,87.5,87.5,0.0,0.0,1.0,1.0,1.0,ns,False
claude-3-5-sonnet,approximate,67.742,77.419,14.286,8.859,0.317,0.402,0.317,ns,False
claude-3-5-sonnet,double,66.667,66.667,0.0,0.0,1.0,1.0,1.0,ns,False
claude-3-5-sonnet,lexical,91.667,83.333,-9.091,-8.176,0.317,0.398,0.317,ns,False
claude-3-5-sonnet,verbal,85.0,60.0,-29.412,-24.118,0.059,0.083,0.059,.,False
deepseek-r1-deepseek,absolute,75.0,50.0,-33.333,-23.438,0.625,0.349,0.349,ns,False
deepseek-r1-deepseek,approximate,74.194,70.968,-4.348,-3.017,0.763,0.785,0.763,ns,False
deepseek-r1-deepseek,double,66.667,73.333,10.0,6.08,0.655,0.715,0.655,ns,False
deepseek-r1-deepseek,lexical,95.833,87.5,-8.696,-8.256,0.317,0.312,0.312,ns,False
deepseek-r1-deepseek,verbal,90.0,65.0,-27.778,-24.428,0.025,0.064,0.025,*,True
gpt-5-standard,absolute,87.5,100.0,14.286,12.138,1.0,0.382,0.382,ns,False
gpt-5-standard,approximate,77.419,67.742,-12.5,-9.14,0.317,0.402,0.317,ns,False
gpt-5-standard,double,80.0,73.333,-8.333,-6.344,0.564,0.692,0.564,ns,False
gpt-5-standard,lexical,95.833,87.5,-8.696,-8.256,0.317,0.312,0.312,ns,False
gpt-5-standard,verbal,85.0,70.0,-17.647,-14.471,0.18,0.27,0.18,ns,False
gpt-5-standard-context-aware,absolute,87.5,87.5,0.0,0.0,1.0,1.0,1.0,ns,False
gpt-5-standard-context-aware,approximate,80.645,70.968,-12.0,-9.225,0.317,0.383,0.317,ns,False
gpt-5-standard-context-aware,double,73.333,80.0,9.091,6.218,0.317,0.692,0.317,ns,False
gpt-5-standard-context-aware,lexical,91.667,87.5,-4.545,-4.088,0.655,0.654,0.654,ns,False
gpt-5-standard-context-aware,verbal,85.0,70.0,-17.647,-14.471,0.083,0.27,0.083,.,False
gpt2,absolute,62.5,87.5,40.0,22.449,0.625,0.295,0.295,ns,False
gpt2,approximate,51.613,45.161,-12.5,-5.525,0.48,0.62,0.48,ns,False
gpt2,double,46.667,53.333,14.286,5.563,0.564,0.738,0.564,ns,False
gpt2,lexical,54.167,45.833,-15.385,-7.224,0.317,0.576,0.317,ns,False
gpt2,verbal,45.0,45.0,0.0,0.0,1.0,1.0,1.0,ns,False
gpt4o,absolute,87.5,100.0,14.286,12.138,1.0,0.382,0.382,ns,False
gpt4o,approximate,77.419,64.516,-16.667,-12.186,0.157,0.271,0.157,ns,False
gpt4o,double,73.333,66.667,-9.091,-6.218,0.564,0.715,0.564,ns,False
gpt4o,lexical,83.333,79.167,-5.0,-4.002,0.564,0.726,0.564,ns,False
gpt4o,verbal,90.0,60.0,-33.333,-29.314,0.014,0.032,0.014,*,True
llama,absolute,62.5,87.5,40.0,22.449,0.5,0.295,0.295,ns,False
llama,approximate,80.645,77.419,-4.0,-3.075,0.705,0.765,0.705,ns,False
llama,double,66.667,66.667,0.0,0.0,1.0,1.0,1.0,ns,False
llama,lexical,87.5,75.0,-14.286,-12.138,0.083,0.279,0.083,.,False
llama,verbal,85.0,55.0,-35.294,-28.941,0.014,0.043,0.014,*,True
t5-base,absolute,62.5,87.5,40.0,22.449,0.5,0.295,0.295,ns,False
t5-base,approximate,51.613,48.387,-6.25,-2.763,0.705,0.807,0.705,ns,False
t5-base,double,46.667,60.0,28.571,11.127,0.317,0.487,0.317,ns,False
t5-base,lexical,62.5,54.167,-13.333,-7.483,0.414,0.57,0.414,ns,False
t5-base,verbal,75.0,60.0,-20.0,-14.063,0.18,0.325,0.18,ns,False
