model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
llama,concept_replacement,76.000,75.000,-1.316,-0.940,0.739,ns,False
gpt-5-standard-context-aware,geographical_bias,90.000,84.000,-6.667,-5.863,0.058,.,False
llama,negation,79.592,71.429,-10.256,-7.759,0.088,.,False
llama,temporal_bias,79.000,78.000,-1.266,-0.949,0.705,ns,False
gpt4o,coordinating_conjunction,80.412,78.351,-2.564,-1.964,0.480,ns,False
llama,grammatical_role,83.333,83.333,0.000,0.000,1.000,ns,False
gpt4o,grammatical_role,88.889,83.333,-6.250,-5.413,0.317,ns,False
gpt-5-standard-context-aware,compound_word,94.792,91.667,-3.297,-3.089,0.083,.,False
llama,discourse,79.000,76.000,-3.797,-2.846,0.257,ns,False
deepseek-r1-deepseek,temporal_bias,92.000,91.000,-1.087,-0.982,0.705,ns,False
llama,coordinating_conjunction,80.412,79.381,-1.282,-0.982,0.705,ns,False
claude-3-5-sonnet,geographical_bias,83.000,83.000,0.000,0.000,1.000,ns,False
gpt-5-standard-context-aware,discourse,86.000,80.000,-6.977,-5.803,0.083,.,False
llama,geographical_bias,78.000,77.000,-1.282,-0.946,0.655,ns,False
gpt4o,geographical_bias,77.000,73.000,-5.195,-3.773,0.206,ns,False
deepseek-r1-deepseek,derivation,89.796,89.796,0.000,0.000,1.000,ns,False
gpt-5-standard,derivation,89.796,90.816,1.136,0.997,0.655,ns,False
claude-3-5-sonnet,discourse,85.000,83.000,-2.353,-1.929,0.527,ns,False
gpt4o,capitalization,82.828,83.838,1.220,0.969,0.705,ns,False
claude-3-5-sonnet,concept_replacement,78.000,74.000,-5.128,-3.784,0.346,ns,False
llama,punctuation,77.778,76.768,-1.299,-0.955,0.317,ns,False
deepseek-r1-deepseek,sentiment,83.000,82.000,-1.205,-0.960,0.705,ns,False
llama,length_bias,83.838,86.869,3.614,2.914,0.467,ns,False
deepseek-r1-deepseek,typo_bias,82.653,84.694,2.469,1.956,0.317,ns,False
llama,capitalization,77.778,82.828,6.494,4.775,0.025,*,True
gpt-5-standard,coordinating_conjunction,89.691,88.660,-1.149,-1.007,0.655,ns,False
deepseek-r1-deepseek,dialectal,76.471,67.647,-11.538,-8.310,0.013,*,True
gpt4o,discourse,74.000,73.000,-1.351,-0.935,0.819,ns,False
claude-3-5-sonnet,active_to_passive,89.474,88.421,-1.176,-1.027,0.796,ns,False
gpt-5-standard-context-aware,coordinating_conjunction,89.691,85.567,-4.598,-4.026,0.046,*,True
gpt-5-standard-context-aware,active_to_passive,91.579,86.316,-5.747,-5.163,0.096,.,False
gpt4o,casual,79.000,74.000,-6.329,-4.744,0.251,ns,False
claude-3-5-sonnet,capitalization,86.869,86.869,0.000,0.000,1.000,ns,False
gpt-5-standard-context-aware,derivation,89.796,88.776,-1.136,-0.997,0.564,ns,False
deepseek-r1-deepseek,capitalization,84.848,84.848,0.000,0.000,1.000,ns,False
deepseek-r1-deepseek,negation,81.633,72.449,-11.250,-8.779,0.095,.,False
claude-3-5-sonnet,negation,78.571,74.490,-5.195,-3.868,0.414,ns,False
gpt-5-standard,punctuation,91.919,91.919,0.000,0.000,1.000,ns,False
gpt-5-standard,length_bias,87.879,91.919,4.598,3.927,0.157,ns,False
deepseek-r1-deepseek,compound_word,90.625,91.667,1.149,1.019,0.564,ns,False
gpt-5-standard-context-aware,casual,90.000,85.000,-5.556,-4.886,0.132,ns,False
gpt-5-standard,discourse,84.000,81.000,-3.571,-2.886,0.317,ns,False
llama,active_to_passive,82.105,81.053,-1.282,-1.008,0.853,ns,False
claude-3-5-sonnet,grammatical_role,86.111,84.722,-1.613,-1.344,0.782,ns,False
gpt-5-standard-context-aware,temporal_bias,90.000,91.000,1.111,0.977,0.317,ns,False
deepseek-r1-deepseek,coordinating_conjunction,87.629,87.629,0.000,0.000,1.000,ns,False
llama,compound_word,87.500,87.500,0.000,0.000,1.000,ns,False
deepseek-r1-deepseek,length_bias,83.838,86.869,3.614,2.914,0.405,ns,False
gpt4o,active_to_passive,80.000,83.158,3.947,3.005,0.549,ns,False
deepseek-r1-deepseek,punctuation,88.889,89.899,1.136,0.984,0.564,ns,False
gpt4o,derivation,80.612,80.612,0.000,0.000,1.000,ns,False
llama,dialectal,78.431,67.647,-13.750,-10.215,0.008,**,True
gpt-5-standard,sentiment,86.000,85.000,-1.163,-0.967,0.655,ns,False
deepseek-r1-deepseek,active_to_passive,89.474,88.421,-1.176,-1.027,0.782,ns,False
deepseek-r1-deepseek,casual,86.000,83.000,-3.488,-2.902,0.366,ns,False
llama,typo_bias,79.592,77.551,-2.564,-1.940,0.317,ns,False
gpt4o,temporal_bias,81.000,79.000,-2.469,-1.908,0.480,ns,False
gpt-5-standard-context-aware,grammatical_role,91.667,83.333,-9.091,-8.176,0.058,.,False
claude-3-5-sonnet,punctuation,85.859,84.848,-1.176,-0.977,0.564,ns,False
gpt-5-standard-context-aware,length_bias,86.869,90.909,4.651,3.917,0.157,ns,False
gpt-5-standard-context-aware,dialectal,78.431,77.451,-1.250,-0.929,0.655,ns,False
claude-3-5-sonnet,length_bias,84.848,84.848,0.000,0.000,1.000,ns,False
gpt-5-standard-context-aware,punctuation,90.909,89.899,-1.111,-0.989,0.317,ns,False
