model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
bert-base-cased,active_to_passive,87.0,90.0,3.448,2.909,0.317,ns,No
bert-base-cased,capitalization,92.708,92.708,0.0,0.0,1.0,ns,No
bert-base-cased,casual,90.0,82.0,-8.889,-7.817,0.021,*,Yes
bert-base-cased,compound_word,89.0,85.0,-4.494,-3.899,0.102,ns,No
bert-base-cased,concept_replacement,89.0,86.0,-3.371,-2.924,0.257,ns,No
bert-base-cased,coordinating_conjunction,89.0,88.0,-1.124,-0.975,0.655,ns,No
bert-base-cased,derivation,88.172,88.172,0.0,0.0,1.0,ns,No
bert-base-cased,dialectal,84.906,76.415,-10.0,-8.189,0.039,*,Yes
bert-base-cased,discourse,88.506,94.253,6.494,5.595,0.025,*,Yes
bert-base-cased,geographical_bias,82.609,72.826,-11.842,-9.377,0.02,*,Yes
bert-base-cased,grammatical_role,85.294,76.471,-10.345,-8.519,0.058,.,No
bert-base-cased,length_bias,84.0,80.0,-4.762,-3.849,0.206,ns,No
bert-base-cased,negation,89.0,67.0,-24.719,-21.443,0.0,**,Yes
bert-base-cased,punctuation,86.0,84.0,-2.326,-1.934,0.317,ns,No
bert-base-cased,sentiment,92.0,88.0,-4.348,-3.928,0.248,ns,No
bert-base-cased,temporal_bias,87.0,87.0,0.0,0.0,1.0,ns,No
bert-base-cased,typo_bias,84.0,88.0,4.762,3.849,0.102,ns,No
claude-3-5-sonnet,active_to_passive,95.0,93.0,-2.105,-1.978,0.157,ns,False
claude-3-5-sonnet,capitalization,96.875,96.875,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,casual,98.0,98.0,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,compound_word,94.0,95.0,1.064,0.987,0.705,ns,False
claude-3-5-sonnet,concept_replacement,94.0,95.0,1.064,0.987,0.705,ns,False
claude-3-5-sonnet,coordinating_conjunction,96.0,95.0,-1.042,-0.991,0.317,ns,False
claude-3-5-sonnet,derivation,94.624,97.849,3.409,3.187,0.18,ns,False
claude-3-5-sonnet,dialectal,94.0,90.0,-4.255,-3.946,0.248,ns,False
claude-3-5-sonnet,discourse,94.253,94.253,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,geographical_bias,90.217,90.217,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,grammatical_role,95.588,94.118,-1.538,-1.456,0.655,ns,False
claude-3-5-sonnet,length_bias,92.0,96.0,4.348,3.928,0.102,ns,False
claude-3-5-sonnet,negation,94.0,70.0,-25.532,-23.678,0.0,**,True
claude-3-5-sonnet,punctuation,97.0,96.0,-1.031,-0.993,0.564,ns,False
claude-3-5-sonnet,sentiment,97.0,95.0,-2.062,-1.987,0.414,ns,False
claude-3-5-sonnet,temporal_bias,91.0,94.0,3.297,2.939,0.18,ns,False
claude-3-5-sonnet,typo_bias,97.0,96.0,-1.031,-0.993,0.564,ns,False
deepseek-r1-deepseek,active_to_passive,90.0,89.0,-1.111,-0.977,0.796,ns,False
deepseek-r1-deepseek,capitalization,90.625,82.292,-9.195,-8.155,0.046,*,True
deepseek-r1-deepseek,casual,90.0,84.0,-6.667,-5.863,0.201,ns,False
deepseek-r1-deepseek,compound_word,92.0,86.0,-6.522,-5.891,0.134,ns,False
deepseek-r1-deepseek,concept_replacement,88.0,85.0,-3.409,-2.917,0.491,ns,False
deepseek-r1-deepseek,coordinating_conjunction,93.0,83.0,-10.753,-9.842,0.025,*,True
deepseek-r1-deepseek,derivation,88.172,83.871,-4.878,-4.184,0.346,ns,False
deepseek-r1-deepseek,dialectal,76.415,70.755,-7.407,-5.33,0.239,ns,False
deepseek-r1-deepseek,discourse,87.356,86.207,-1.316,-1.116,0.808,ns,False
deepseek-r1-deepseek,geographical_bias,85.87,75.0,-12.658,-10.51,0.05,*,True
deepseek-r1-deepseek,grammatical_role,86.765,70.588,-18.644,-15.678,0.022,*,True
deepseek-r1-deepseek,length_bias,86.0,86.0,0.0,0.0,1.0,ns,False
deepseek-r1-deepseek,negation,89.0,68.0,-23.596,-20.469,0.0,**,True
deepseek-r1-deepseek,punctuation,92.0,91.0,-1.087,-0.982,0.796,ns,False
deepseek-r1-deepseek,sentiment,90.0,85.0,-5.556,-4.886,0.251,ns,False
deepseek-r1-deepseek,temporal_bias,88.0,87.0,-1.136,-0.972,0.782,ns,False
deepseek-r1-deepseek,typo_bias,90.0,85.0,-5.556,-4.886,0.251,ns,False
gpt-5-standard,active_to_passive,95.0,90.0,-5.263,-4.944,0.096,.,False
gpt-5-standard,capitalization,94.792,94.792,0.0,0.0,1.0,ns,False
gpt-5-standard,casual,93.0,91.0,-2.151,-1.968,0.414,ns,False
gpt-5-standard,compound_word,95.0,89.0,-6.316,-5.933,0.034,*,True
gpt-5-standard,concept_replacement,93.0,85.0,-8.602,-7.874,0.011,*,True
gpt-5-standard,coordinating_conjunction,93.0,89.0,-4.301,-3.937,0.046,*,True
gpt-5-standard,derivation,93.548,94.624,1.149,1.06,0.655,ns,False
gpt-5-standard,dialectal,78.302,78.302,0.0,0.0,1.0,ns,False
gpt-5-standard,discourse,94.253,93.103,-1.22,-1.135,0.655,ns,False
gpt-5-standard,geographical_bias,91.304,77.174,-15.476,-13.851,0.002,**,True
gpt-5-standard,grammatical_role,95.588,82.353,-13.846,-13.106,0.007,**,True
gpt-5-standard,length_bias,95.0,95.0,0.0,0.0,1.0,ns,False
gpt-5-standard,negation,94.0,77.0,-18.085,-16.772,0.001,**,True
gpt-5-standard,punctuation,97.0,96.0,-1.031,-0.993,0.655,ns,False
gpt-5-standard,sentiment,96.0,88.0,-8.333,-7.929,0.011,*,True
gpt-5-standard,temporal_bias,97.0,96.0,-1.031,-0.993,0.564,ns,False
gpt-5-standard,typo_bias,92.0,93.0,1.087,0.982,0.317,ns,False
gpt-5-standard-context-aware,active_to_passive,93.0,88.0,-5.376,-4.921,0.096,.,False
