model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
llama,concept_replacement,97.000,95.000,-2.062,-1.987,0.157,ns,False
gpt-5-standard-context-aware,geographical_bias,91.304,76.087,-16.667,-14.917,0.000,**,True
llama,negation,94.000,64.000,-31.915,-29.597,0.000,**,True
llama,temporal_bias,92.000,91.000,-1.087,-0.982,0.317,ns,False
gpt4o,coordinating_conjunction,95.000,93.000,-2.105,-1.978,0.414,ns,False
llama,grammatical_role,95.588,86.765,-9.231,-8.737,0.034,*,True
gpt4o,grammatical_role,91.176,79.412,-12.903,-11.529,0.033,*,True
gpt-5-standard-context-aware,compound_word,94.000,90.000,-4.255,-3.946,0.102,ns,False
llama,discourse,95.402,91.954,-3.614,-3.413,0.083,.,False
deepseek-r1-deepseek,temporal_bias,88.000,87.000,-1.136,-0.972,0.782,ns,False
llama,coordinating_conjunction,99.000,97.000,-2.020,-1.996,0.157,ns,False
claude-3-5-sonnet,geographical_bias,90.217,90.217,0.000,0.000,1.000,ns,False
gpt-5-standard-context-aware,discourse,93.103,95.402,2.469,2.263,0.157,ns,False
llama,geographical_bias,91.304,85.870,-5.952,-5.327,0.132,ns,False
gpt4o,geographical_bias,90.217,88.043,-2.410,-2.125,0.564,ns,False
deepseek-r1-deepseek,derivation,88.172,83.871,-4.878,-4.184,0.346,ns,False
gpt-5-standard,derivation,93.548,94.624,1.149,1.060,0.655,ns,False
claude-3-5-sonnet,discourse,94.253,94.253,0.000,0.000,1.000,ns,False
gpt4o,capitalization,90.625,91.667,1.149,1.019,0.564,ns,False
claude-3-5-sonnet,concept_replacement,94.000,95.000,1.064,0.987,0.705,ns,False
llama,punctuation,91.000,90.000,-1.099,-0.980,0.317,ns,False
deepseek-r1-deepseek,sentiment,90.000,85.000,-5.556,-4.886,0.251,ns,False
llama,length_bias,92.000,91.000,-1.087,-0.982,0.317,ns,False
deepseek-r1-deepseek,typo_bias,90.000,85.000,-5.556,-4.886,0.251,ns,False
llama,capitalization,95.833,95.833,0.000,0.000,1.000,ns,False
gpt-5-standard,coordinating_conjunction,93.000,89.000,-4.301,-3.937,0.046,*,True
deepseek-r1-deepseek,dialectal,76.415,70.755,-7.407,-5.330,0.239,ns,False
