,text,modified_label,modified_pred,original_text,original_pred,original_label
0,"Her brother ran unsuccessfully for New York from the United States House of Representatives upstate, in 1992 and 1994.","[{'text': 'New York', 'value': 'LOCATION'}, {'value': 'ORGANIZATION', 'text': 'United States House of Representatives'}]","[{'New York': 'LOCATION'}, {'United States House of Representatives': 'ORGANIZATION'}]","Her brother ran unsuccessfully for the United States House of Representatives from upstate New York, in 1992 and 1994.","[{""text"": ""United States House of Representatives"", ""value"": ""ORGANIZATION""}, {""text"": ""New York"", ""value"": ""LOCATION""}]","[{'United States House of Representatives': 'ORGANIZATION'}, {'New York': 'LOCATION'}]"
1,"At a festival, Vin saves Siddhi from being shot at by Rudra.","[{'text': 'Vin', 'value': 'PERSON'}, {'text': 'Siddhi', 'value': 'PERSON'}, {'value': 'PERSON', 'text': 'Rudra'}]","[{'Vin': 'PERSON'}, {'Siddhi': 'PERSON'}, {'Rudra': 'PERSON'}]","At a festival, Siddhi saves Vin from being shot at by Rudra.","[{""text"": ""Siddhi"", ""value"": ""PERSON""}, {""text"": ""Vin"", ""value"": ""PERSON""}, {""text"": ""Rudra"", ""value"": ""PERSON""}]","[{'Siddhi': 'PERSON'}, {'Vin': 'PERSON'}, {'Rudra': 'PERSON'}]"
2,"One of fourteen provinces of Fiji is Kadavu Province, and forms part of the Eastern Division, which also includes the provinces of Lau, Lomaiviti and Rotuma.","[{'value': 'LOCATION', 'text': 'Kadavu Province'}, {'text': 'Fiji', 'value': 'LOCATION'}, {'text': 'Lau', 'value': 'LOCATION'}, {'value': 'LOCATION', 'text': 'Lomaiviti'}, {'text': 'Rotuma', 'value': 'LOCATION'}]","[{'Fiji': 'LOCATION'}, {'Kadavu Province': 'LOCATION'}, {'Eastern Division': 'LOCATION'}, {'Lau': 'LOCATION'}, {'Lomaiviti': 'LOCATION'}, {'Rotuma': 'LOCATION'}]","Kadavu Province is one of fourteen provinces of Fiji, and forms part of the Eastern Division, which also includes the provinces of Lau, Lomaiviti and Rotuma.","[{""text"": ""Kadavu Province"", ""value"": ""LOCATION""}, {""text"": ""Fiji"", ""value"": ""LOCATION""}, {""text"": ""Eastern Division"", ""value"": ""LOCATION""}, {""text"": ""Lau"", ""value"": ""LOCATION""}, {""text"": ""Lomaiviti"", ""value"": ""LOCATION""}, {""text"": ""Rotuma"", ""value"": ""LOCATION""}]","[{'Kadavu Province': 'LOCATION'}, {'Fiji': 'LOCATION'}, {'Lau': 'LOCATION'}, {'Lomaiviti': 'LOCATION'}, {'Rotuma': 'LOCATION'}]"
3,"The United States House of Representatives from upstate New York was unsuccessfully run for by her brother, in 1992 and 1994.","[{'text': 'United States House of Representatives', 'value': 'ORGANIZATION'}, {'text': 'New York', 'value': 'LOCATION'}]","[{'United States House of Representatives': 'ORGANIZATION'}, {'New York': 'LOCATION'}]","Her brother ran unsuccessfully for the United States House of Representatives from upstate New York, in 1992 and 1994.","[{""text"": ""United States House of Representatives"", ""value"": ""ORGANIZATION""}, {""text"": ""New York"", ""value"": ""LOCATION""}]","[{'United States House of Representatives': 'ORGANIZATION'}, {'New York': 'LOCATION'}]"
4,Two classes of protected cruisers were built and operated by the Austro-Hungarian Navy.,"[{'value': 'ORGANIZATION', 'text': 'Austro-Hungarian Navy'}]",[{'Austro-Hungarian Navy': 'ORGANIZATION'}],The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{""text"": ""Austro-Hungarian Navy"", ""value"": ""ORGANIZATION""}]",[{'Austro-Hungarian Navy': 'ORGANIZATION'}]
5,"In 1967, a peaceful anti-war rally was the gathering place for the park.",[],[{'1967': 'EVENT'}],"In 1967, the park was the gathering place for a peaceful anti-war rally.","[{""text"": ""1967"", ""value"": ""EVENT""}]",[]
6,In the early 1930s the band moved to the Taft Hotel of the Grill Room in New York; the band was renamed 'George Hall and His Hotel Taft Orchestra'.,"[{'value': 'BUILDING', 'text': 'Taft Hotel'}, {'text': 'Grill Room', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ART'}]","[{'Taft Hotel': 'BUILDING'}, {'Grill Room': 'BUILDING'}, {'New York': 'LOCATION'}, {'George Hall': 'PERSON'}, {'Hotel Taft Orchestra': 'ORGANIZATION'}]",In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York; the band was renamed 'George Hall and His Hotel Taft Orchestra'.,"[{""text"": ""Grill Room"", ""value"": ""BUILDING""}, {""text"": ""Taft Hotel"", ""value"": ""BUILDING""}, {""text"": ""New York"", ""value"": ""LOCATION""}, {""text"": ""George Hall"", ""value"": ""PERSON""}, {""text"": ""Hotel Taft Orchestra"", ""value"": ""ORGANIZATION""}]","[{'Grill Room': 'BUILDING'}, {'Taft Hotel': 'BUILDING'}, {'New York': 'LOCATION'}, {'George Hall and His Hotel Taft Orchestra': 'ORGANIZATION'}]"
7,Richard D.Zanuck and David Brown produced it.,"[{'value': 'PERSON', 'text': 'Richard D.Zanuck'}, {'text': 'David Brown', 'value': 'PERSON'}]","[{'Richard D.Zanuck': 'PERSON'}, {'David Brown': 'PERSON'}]",It was produced by Richard D.Zanuck and David Brown.,"[{""text"": ""Richard D.Zanuck"", ""value"": ""PERSON""}, {""text"": ""David Brown"", ""value"": ""PERSON""}]","[{'Richard D.Zanuck': 'PERSON'}, {'David Brown': 'PERSON'}]"
8,"A fortified position in early August on the central north shore of Long Island at Setauket, just across Long Island Sound from Fairfield, had been established by Loyalists recruited from Queens County, New York for the 3rd battalion DeLancey's Brigade by Lieutenant Colonel Richard Hewlett.","[{'text': 'Queens County', 'value': 'LOCATION'}, {'value': 'LOCATION', 'text': 'New York'}, {'text': 'Richard Hewlett', 'value': 'PERSON'}, {'text': ""DeLancey's Brigade"", 'value': 'ORGANIZATION'}, {'text': 'Long Island', 'value': 'LOCATION'}, {'text': 'Setauket', 'value': 'LOCATION'}, {'text': 'Long Island Sound', 'value': 'LOCATION'}, {'value': 'LOCATION', 'text': 'Fairfield'}]","[{'Long Island': 'LOCATION'}, {'Setauket': 'LOCATION'}, {'Long Island Sound': 'LOCATION'}, {'Fairfield': 'LOCATION'}, {'Queens County': 'LOCATION'}, {'New York': 'LOCATION'}, {""DeLancey's Brigade"": 'ORGANIZATION'}, {'Richard Hewlett': 'PERSON'}]","Loyalists recruited from Queens County, New York by Lieutenant Colonel Richard Hewlett for the 3rd battalion DeLancey's Brigade had established a fortified position in early August on the central north shore of Long Island at Setauket, just across Long Island Sound from Fairfield.","[
  {""text"": ""Queens County"", ""value"": ""LOCATION""},
  {""text"": ""New York"", ""value"": ""LOCATION""},
  {""text"": ""Richard Hewlett"", ""value"": ""PERSON""},
  {""text"": ""DeLancey's Brigade"", ""value"": ""ORGANIZATION""},
  {""text"": ""Long Island"", ""value"": ""LOCATION""},
  {""text"": ""Setauket"", ""value"": ""LOCATION""},
  {""text"": ""Long Island Sound"", ""value"": ""LOCATION""},
  {""text"": ""Fairfield"", ""value"": ""LOCATION""}
]","[{'Queens County': 'LOCATION'}, {'New York': 'LOCATION'}, {'Richard Hewlett': 'PERSON'}, {""DeLancey's Brigade"": 'ORGANIZATION'}, {'Long Island': 'LOCATION'}, {'Setauket': 'LOCATION'}, {'Long Island Sound': 'LOCATION'}, {'Fairfield': 'LOCATION'}]"
9,It was produced by David Brown and Richard D.Zanuck.,"[{'text': 'David Brown', 'value': 'PERSON'}, {'value': 'PERSON', 'text': 'Richard D.Zanuck'}]","[{'David Brown': 'PERSON'}, {'Richard D.Zanuck': 'PERSON'}]",It was produced by Richard D.Zanuck and David Brown.,"[{""text"": ""Richard D.Zanuck"", ""value"": ""PERSON""}, {""text"": ""David Brown"", ""value"": ""PERSON""}]","[{'Richard D.Zanuck': 'PERSON'}, {'David Brown': 'PERSON'}]"
