,task,modification,original_res,modified_res,difference,pct_difference,p_value,original_precision,original_recall,modified_precision,modified_recall
9,named_entity_recognition,temporal_bias_100,0.61,0.61,0.0,0.27,1.0,0.61,0.61,0.61,0.62
3,named_entity_recognition,geographical_bias_100,0.67,0.68,0.01,2.04,0.31547999797075416,0.68,0.68,0.72,0.68
4,named_entity_recognition,length_bias_100,0.58,0.54,-0.04,-6.81,0.7890039559584939,0.58,0.59,0.55,0.54
10,named_entity_recognition,typo_bias_100,0.55,0.57,0.02,3.87,1.0,0.55,0.56,0.57,0.58
7,named_entity_recognition,capitalization_100,0.65,0.63,-0.02,-2.96,0.7578887756053518,0.66,0.66,0.64,0.64
1,named_entity_recognition,punctuation_100,0.55,0.48,-0.08,-13.91,1.0,0.55,0.57,0.48,0.48
14,named_entity_recognition,derivation_100,0.63,0.63,0.01,0.8,1.0,0.62,0.65,0.63,0.65
6,named_entity_recognition,compound_word_100,0.6,0.58,-0.02,-2.86,0.8091747190615332,0.61,0.6,0.6,0.58
8,named_entity_recognition,active_to_passive_100,0.62,0.61,-0.01,-1.85,1.0,0.61,0.64,0.6,0.63
5,named_entity_recognition,grammatical_role_100,0.71,0.62,-0.09,-12.53,1.0,0.71,0.72,0.62,0.63
11,named_entity_recognition,coordinating_conjunction_100,0.71,0.62,-0.09,-12.8,0.3190357801519544,0.71,0.72,0.68,0.6
13,named_entity_recognition,concept_replacement_100,0.62,0.59,-0.04,-5.68,1.0,0.62,0.63,0.58,0.6
15,named_entity_recognition,negation_100,0.62,0.57,-0.05,-8.38,1.0,0.61,0.64,0.57,0.59
16,named_entity_recognition,discourse_100,0.62,0.58,-0.04,-6.96,0.8071421680105173,0.61,0.64,0.57,0.59
2,named_entity_recognition,sentiment_100,0.62,0.6,-0.02,-3.42,0.8204049779476065,0.62,0.63,0.6,0.61
0,named_entity_recognition,casual_100,0.58,0.54,-0.04,-6.81,0.7890039559584939,0.58,0.59,0.55,0.54
12,named_entity_recognition,dialectal_100,0.59,0.57,-0.01,-2.34,0.818593491433018,0.58,0.6,0.57,0.59
17,named_entity_recognition,average,0.62,0.59,-0.03,-4.73,,0.62,0.63,0.6,0.6
