,text,modified_label,modified_pred,original_text,original_label,original_pred
0,"Internal conflicts, especially between Covaci and Baniciu, were escalating and making headlines in the media.","[{'value': 'PERSON', 'text': 'Covaci'}, {'value': 'PERSON', 'text': 'Baniciu'}]","[{'Covaci': 'PERSON'}, {'Baniciu': 'PERSON'}]","Internal conflicts, especially between Covaci and Baniciu, were making headlines in the media.","[{'Covaci': 'PERSON'}, {'Baniciu': 'PERSON'}]","[{'text': 'Covaci', 'value': 'PERSON'}, {'text': 'Baniciu', 'value': 'PERSON'}]"
1,Elin Hilderbrand and Nicholas Sparks are American writers mostly of romance novels.,"[{'value': 'PERSON', 'text': 'Elin Hilderbrand'}, {'value': 'PERSON', 'text': 'Nicholas Sparks'}, {'value': 'MISC', 'text': 'American'}]","[{'Elin Hilderbrand': 'PERSON'}, {'Nicholas Sparks': 'PERSON'}]",Elin Hilderbrand is an American writer mostly of romance novels.,"[{'Elin Hilderbrand': 'PERSON'}, {'American': 'LOCATION'}]","[{'text': 'Elin Hilderbrand', 'value': 'PERSON'}, {'text': 'American', 'value': 'LOCATION'}]"
2,Ronald and his wife will travel to Iceland.,"[{'value': 'PERSON', 'text': 'Ronald'}, {'text': 'Iceland', 'value': 'LOCATION'}]","[{'Ronald': 'PERSON'}, {'Iceland': 'LOCATION'}]",Ronald will travel to Iceland.,"[{'Ronald': 'PERSON'}, {'Iceland': 'LOCATION'}]","[{'text': 'Ronald', 'value': 'PERSON'}, {'text': 'Iceland', 'value': 'LOCATION'}]"
3,"In particular, Reform Jews and Conservative Jews may be lampooned for their rejection of traditional Jewish beliefs.","[{'text': 'Reform Jews', 'value': 'MISC'}, {'value': 'ORGANIZATION', 'text': 'Conservative Jews'}, {'text': 'Jewish', 'value': 'MISC'}]",[],"In particular, Reform Jews may be lampooned for their rejection of traditional Jewish beliefs.","[{'Jews': 'ORGANIZATION'}, {'Jewish': 'ORGANIZATION'}]","[{'text': 'Reform Jews', 'value': 'OTHER'}, {'text': 'Jewish', 'value': 'OTHER'}]"
4,Ronald will take a week's leave and travel to Iceland.,"[{'value': 'PERSON', 'text': 'Ronald'}, {'text': 'Iceland', 'value': 'LOCATION'}]","[{'Ronald': 'PERSON'}, {'Iceland': 'LOCATION'}]",Ronald will travel to Iceland.,"[{'Ronald': 'PERSON'}, {'Iceland': 'LOCATION'}]","[{'text': 'Ronald', 'value': 'PERSON'}, {'text': 'Iceland', 'value': 'LOCATION'}]"
5,"The B-52 and F-16 pilot, Major Larry G.Messinger, later recalled,","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'F-16', 'value': 'PRODUCT'}, {'value': 'PERSON', 'text': 'Larry G.Messinger'}]","[{'B-52': 'PRODUCT'}, {'F-16': 'PRODUCT'}, {'Major Larry G.Messinger': 'PERSON'}]","The B-52 pilot, Major Larry G.Messinger, later recalled,","[{'B-52': 'PRODUCT'}, {'Larry G.Messinger': 'PERSON'}]","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Major Larry G.Messinger', 'value': 'PERSON'}]"
6,"In the early 1930s, George Hall and the band moved to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.","[{'value': 'PERSON', 'text': 'George Hall'}, {'value': 'LOCATION', 'text': 'Grill Room'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ART'}]","[{'George Hall': 'PERSON'}, {'Grill Room of the Taft Hotel': 'LOCATION'}, {'New York': 'LOCATION'}, {'George Hall and His Hotel Taft Orchestra': 'ORGANIZATION'}, {'Taft Hotel': 'LOCATION'}]",In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'Grill Room': 'BUILDING'}, {'Taft Hotel': 'BUILDING'}, {'New York': 'LOCATION'}, {'George Hall and His Hotel Taft Orchestra': 'ORGANIZATION'}]","[{'text': 'George Hall', 'value': 'PERSON'}, {'text': 'Grill Room of the Taft Hotel', 'value': 'LOCATION'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'Hotel Taft Orchestra', 'value': 'ORGANIZATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}, {'text': 'Taft Hotel', 'value': 'LOCATION'}]"
7,"The B-52 pilot, Major Larry G.Messinger and his co-pilot, later recalled,","[{'text': 'B-52', 'value': 'PRODUCT'}, {'value': 'PERSON', 'text': 'Larry G.Messinger'}]","[{'B-52': 'PRODUCT'}, {'Major Larry G.Messinger': 'PERSON'}]","The B-52 pilot, Major Larry G.Messinger, later recalled,","[{'B-52': 'PRODUCT'}, {'Larry G.Messinger': 'PERSON'}]","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Major Larry G.Messinger', 'value': 'PERSON'}]"
8,"A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek and his team personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","[{'text': ""DB5 extended 4''"", 'value': 'NON-ENTITY'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': 'Marek and his team', 'value': 'MISC'}, {'text': 'Aston Martin DB7', 'value': 'PRODUCT'}, {'text': 'V8 unit', 'value': 'PRODUCT'}]","[{'DB5': 'PRODUCT'}, {'Marek': 'PERSON'}, {'Aston Martin DB7': 'PRODUCT'}]","A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","[{""DB5 extended 4''"": 'PRODUCT'}, {'Marek': 'PERSON'}, {'Aston Martin DB7': 'PRODUCT'}, {'V8 unit': 'PRODUCT'}]","[{'text': 'DB5', 'value': 'PRODUCT'}, {'text': 'Marek', 'value': 'PERSON'}, {'text': 'Aston Martin DB7', 'value': 'PRODUCT'}]"
9,In the early 1930s the band signed a new record deal and moved to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'Grill Room', 'value': 'LOCATION'}, {'value': 'BUILDING', 'text': 'Taft Hotel'}, {'value': 'LOCATION', 'text': 'New York'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ART'}]","[{'George Hall': 'PERSON'}, {'Grill Room of the Taft Hotel': 'LOCATION'}, {'New York': 'LOCATION'}, {'George Hall and His Hotel Taft Orchestra': 'ORGANIZATION'}, {'Taft Hotel': 'LOCATION'}]",In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'Grill Room': 'BUILDING'}, {'Taft Hotel': 'BUILDING'}, {'New York': 'LOCATION'}, {'George Hall and His Hotel Taft Orchestra': 'ORGANIZATION'}]","[{'text': 'George Hall', 'value': 'PERSON'}, {'text': 'Grill Room of the Taft Hotel', 'value': 'LOCATION'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'Hotel Taft Orchestra', 'value': 'ORGANIZATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}, {'text': 'Taft Hotel', 'value': 'LOCATION'}]"
