,task,modification,original_res,modified_res,difference,pct_difference,p_value,original_precision,original_recall,modified_precision,modified_recall
2,named_entity_recognition,temporal_bias_100,0.63,0.6,-0.03,-4.66,1.0,0.62,0.66,0.59,0.63
6,named_entity_recognition,geographical_bias_100,0.66,0.65,-0.01,-1.04,0.31084476618326057,0.62,0.71,0.64,0.69
8,named_entity_recognition,length_bias_100,0.57,0.56,-0.01,-2.07,1.0,0.56,0.61,0.55,0.6
13,named_entity_recognition,typo_bias_100,0.57,0.58,0.02,2.74,1.0,0.57,0.6,0.58,0.62
9,named_entity_recognition,capitalization_100,0.66,0.56,-0.11,-16.14,1.0,0.66,0.69,0.56,0.58
7,named_entity_recognition,punctuation_100,0.6,0.53,-0.07,-11.58,1.0,0.58,0.63,0.52,0.55
15,named_entity_recognition,derivation_100,0.65,0.65,0.0,0.33,1.0,0.64,0.67,0.64,0.67
11,named_entity_recognition,compound_word_100,0.62,0.6,-0.01,-2.39,0.7884608923885273,0.61,0.64,0.6,0.62
10,named_entity_recognition,active_to_passive_100,0.61,0.59,-0.02,-3.91,1.0,0.6,0.65,0.59,0.62
3,named_entity_recognition,grammatical_role_100,0.69,0.6,-0.09,-12.71,1.0,0.68,0.72,0.59,0.63
5,named_entity_recognition,coordinating_conjunction_100,0.69,0.62,-0.07,-10.76,,0.68,0.72,0.65,0.61
0,named_entity_recognition,concept_replacement_100,0.62,0.59,-0.03,-5.0,0.7338151066363292,0.6,0.65,0.57,0.62
1,named_entity_recognition,negation_100,0.58,0.52,-0.06,-10.73,1.0,0.56,0.62,0.5,0.56
4,named_entity_recognition,discourse_100,0.62,0.58,-0.04,-7.18,0.755761802728898,0.61,0.66,0.56,0.6
16,named_entity_recognition,sentiment_100,0.64,0.61,-0.03,-4.81,0.8025002411091842,0.63,0.67,0.61,0.64
14,named_entity_recognition,casual_100,0.57,0.56,-0.01,-2.07,1.0,0.56,0.61,0.55,0.6
12,named_entity_recognition,dialectal_100,0.61,0.63,0.03,4.27,1.0,0.6,0.63,0.62,0.66
17,named_entity_recognition,average,0.62,0.59,-0.03,-5.16,,0.61,0.66,0.58,0.62
