task,model,modification,original_text,modified_text,original_pred,modified_pred,original_correct,modified_correct,performance,original_reasoning,modified_reasoning,original_step_by_step_reasoning,modified_step_by_step_reasoning,file,row_index,original_entities,modified_entities
ner,claude-3-5-sonnet,active_to_passive_100,"Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","The game was praised by Allistair Pinsof of ``Destructoid``, who said the controls were as good as those of ``Super Metroid`` and ``Super Castlevania IV.''","[{""text"": ""Allistair Pinsof"", ""value"": ""PERSON""}, {""text"": ""Destructoid"", ""value"": ""ORGANIZATION""}, {""text"": ""Super Metroid"", ""value"": ""PRODUCT""}, {""text"": ""Super Castlevania IV"", ""value"": ""PRODUCT""}]","[{'Allistair Pinsof': 'PERSON'}, {'Destructoid': 'ORGANIZATION'}, {'Super Metroid': 'PRODUCT'}, {'Super Castlevania IV': 'PRODUCT'}]",True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,4,"[{'Allistair Pinsof': 'PERSON'}, {'Destructoid': 'ORGANIZATION'}, {'Super Metroid': 'PRODUCT'}, {'Super Castlevania IV': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'ORGANIZATION'}, {'text': 'Super Metroid', 'value': 'PRODUCT'}, {'text': 'Super Castlevania IV', 'value': 'PRODUCT'}]"
ner,claude-3-5-sonnet,active_to_passive_100,"However, in 1861 the prospect of secession by southern states after the 1860 presidential election removed this obstacle to political change.","However, in 1861 the obstacle to political change was removed by the prospect of secession by southern states after the 1860 presidential election.",[],[],True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,5,[],[]
ner,claude-3-5-sonnet,active_to_passive_100,They used several features from a batch of A1 Pacifics they had built in 1924.,Several features from a batch of A1 Pacifics that had been built in 1924 were used.,"[{""text"": ""A1 Pacifics"", ""value"": ""PRODUCT""}]",[{'A1 Pacifics': 'PRODUCT'}],True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,7,[{'A1 Pacifics': 'PRODUCT'}],"[{'text': 'A1 Pacifics', 'value': 'PRODUCT'}]"
ner,claude-3-5-sonnet,active_to_passive_100,"The story had been adapted to the stage in 1939 at the Martin Beck Theater to great acclaim, but only ran for six performances because the production proved to be expensive.","The story had been adapted to the stage in 1939 at the Martin Beck Theater to great acclaim, but was only run for six performances because the production proved to be expensive.","[{""text"": ""Martin Beck Theater"", ""value"": ""BUILDING""}]",[{'Martin Beck Theater': 'BUILDING'}],True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,8,[{'Martin Beck Theater': 'BUILDING'}],"[{'text': 'Martin Beck Theater', 'value': 'BUILDING'}]"
ner,claude-3-5-sonnet,active_to_passive_100,"Her brother ran unsuccessfully for the United States House of Representatives from upstate New York, in 1992 and 1994.",An unsuccessful run for the United States House of Representatives from upstate New York was made by her brother in 1992 and 1994.,"[{""text"": ""United States House of Representatives"", ""value"": ""ORGANIZATION""}, {""text"": ""New York"", ""value"": ""LOCATION""}]","[{'United States House of Representatives': 'ORGANIZATION'}, {'New York': 'LOCATION'}]",True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,9,"[{'United States House of Representatives': 'ORGANIZATION'}, {'New York': 'LOCATION'}]","[{'text': 'United States House of Representatives', 'value': 'ORGANIZATION'}, {'text': 'New York', 'value': 'LOCATION'}]"
ner,claude-3-5-sonnet,active_to_passive_100,"The peasantry was also aggrieved, and between 1846 and 1848 opposition to Sturdza intensified.","The peasantry was also aggrieved, and between 1846 and 1848 opposition to Sturdza was intensified.","[{""text"": ""Sturdza"", ""value"": ""PERSON""}]",[{'Sturdza': 'PERSON'}],True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,10,[{'Sturdza': 'PERSON'}],"[{'text': 'Sturdza', 'value': 'PERSON'}]"
ner,claude-3-5-sonnet,active_to_passive_100,Argentina's Del Imaginario Discos also released the album in 2007.,The album was also released by Argentina's Del Imaginario Discos in 2007.,"[{""text"": ""Argentina"", ""value"": ""LOCATION""}, {""text"": ""Del Imaginario Discos"", ""value"": ""ORGANIZATION""}]","[{'Del Imaginario Discos': 'ORGANIZATION'}, {'Argentina': 'LOCATION'}]",True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,14,"[{'Argentina': 'LOCATION'}, {'Del Imaginario Discos': 'ORGANIZATION'}]","[{'text': 'Argentina', 'value': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'value': 'ORGANIZATION'}]"
ner,claude-3-5-sonnet,active_to_passive_100,"Hunt represents the 8th legislative district in Omaha, consisting of the midtown neighborhoods of Dundee, Benson, and Keystone.","The 8th legislative district in Omaha, consisting of the midtown neighborhoods of Dundee, Benson, and Keystone, is represented by Hunt.","[{""text"": ""Hunt"", ""value"": ""PERSON""}, {""text"": ""Omaha"", ""value"": ""LOCATION""}, {""text"": ""Dundee"", ""value"": ""LOCATION""}, {""text"": ""Benson"", ""value"": ""LOCATION""}, {""text"": ""Keystone"", ""value"": ""LOCATION""}]","[{'Omaha': 'LOCATION'}, {'Dundee': 'LOCATION'}, {'Benson': 'LOCATION'}, {'Keystone': 'LOCATION'}, {'Hunt': 'PERSON'}]",True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,15,"[{'Hunt': 'PERSON'}, {'Omaha': 'LOCATION'}, {'Dundee': 'LOCATION'}, {'Benson': 'LOCATION'}, {'Keystone': 'LOCATION'}]","[{'text': 'Hunt', 'value': 'PERSON'}, {'text': 'Omaha', 'value': 'LOCATION'}, {'text': 'Dundee', 'value': 'LOCATION'}, {'text': 'Benson', 'value': 'LOCATION'}, {'text': 'Keystone', 'value': 'LOCATION'}]"
ner,claude-3-5-sonnet,active_to_passive_100,The government announced a state funeral and a day of national mourning.,A state funeral and a day of national mourning were announced by the government.,[],[],True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,20,[],[]
ner,claude-3-5-sonnet,active_to_passive_100,"Divine Styler says: ``in the school I come from, freestyling was a non-conceptual written rhyme... and now they call freestyling off the top of the head, so the era I come from it's a lot different''.","It is said by Divine Styler: ``in the school I come from, freestyling was a non-conceptual written rhyme... and now freestyling is called off the top of the head, so the era I come from is a lot different''.","[{""text"": ""Divine Styler"", ""value"": ""PERSON""}]",[{'Divine Styler': 'PERSON'}],True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,23,[{'Divine Styler': 'PERSON'}],"[{'text': 'Divine Styler', 'value': 'PERSON'}]"
ner,claude-3-5-sonnet,active_to_passive_100,"Shortly after World War I, he purchased a plot of land in Toulon and donated it to the local sports club, RC Toulonnais, for the building of a stadium.","Shortly after World War I, a plot of land was purchased in Toulon and donated to the local sports club, RC Toulonnais, for the building of a stadium.","[{""text"": ""World War I"", ""value"": ""EVENT""}, {""text"": ""Toulon"", ""value"": ""LOCATION""}, {""text"": ""RC Toulonnais"", ""value"": ""ORGANIZATION""}]","[{'World War I': 'EVENT'}, {'Toulon': 'LOCATION'}, {'RC Toulonnais': 'ORGANIZATION'}]",True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,24,"[{'World War I': 'EVENT'}, {'Toulon': 'LOCATION'}, {'RC Toulonnais': 'ORGANIZATION'}]","[{'text': 'World War I', 'value': 'EVENT'}, {'text': 'Toulon', 'value': 'LOCATION'}, {'text': 'RC Toulonnais', 'value': 'ORGANIZATION'}]"
ner,claude-3-5-sonnet,active_to_passive_100,The channel has faced charges for spreading fake news and carrying out viewership manipulation on a number of occasions.,Charges for spreading fake news and carrying out viewership manipulation on a number of occasions have been faced by the channel.,[],[],True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,28,[],[]
ner,claude-3-5-sonnet,active_to_passive_100,The newest batch of contestants converged on New Orleans to meet with Tyler and receive a beignet cooking challenge right off the bat.,New Orleans was converged upon by the newest batch of contestants to meet with Tyler and to be given a beignet cooking challenge right off the bat.,"[{""text"": ""New Orleans"", ""value"": ""LOCATION""}, {""text"": ""Tyler"", ""value"": ""PERSON""}]","[{'New Orleans': 'LOCATION'}, {'Tyler': 'PERSON'}]",True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,34,"[{'New Orleans': 'LOCATION'}, {'Tyler': 'PERSON'}]","[{'text': 'New Orleans', 'value': 'LOCATION'}, {'text': 'Tyler', 'value': 'PERSON'}]"
ner,claude-3-5-sonnet,active_to_passive_100,"More than 100 sellers from Deidesheim and the surrounding area run stalls, which must stylistically fit into the market's whole theme.","Stalls are run by more than 100 sellers from Deidesheim and the surrounding area, which must stylistically fit into the market's whole theme.","[{""text"": ""Deidesheim"", ""value"": ""LOCATION""}]",[{'Deidesheim': 'LOCATION'}],True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,37,[{'Deidesheim': 'LOCATION'}],"[{'text': 'Deidesheim', 'value': 'LOCATION'}]"
ner,claude-3-5-sonnet,active_to_passive_100,"Midway through the season, they traded Stacey King to the Minnesota Timberwolves for Luc Longley.","Midway through the season, Stacey King was traded to the Minnesota Timberwolves for Luc Longley.","[{""text"": ""Stacey King"", ""value"": ""PERSON""}, {""text"": ""Minnesota Timberwolves"", ""value"": ""ORGANIZATION""}, {""text"": ""Luc Longley"", ""value"": ""PERSON""}]","[{'Stacey King': 'PERSON'}, {'Minnesota Timberwolves': 'ORGANIZATION'}, {'Luc Longley': 'PERSON'}]",True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,41,"[{'Stacey King': 'PERSON'}, {'Minnesota Timberwolves': 'ORGANIZATION'}, {'Luc Longley': 'PERSON'}]","[{'text': 'Stacey King', 'value': 'PERSON'}, {'text': 'Minnesota Timberwolves', 'value': 'ORGANIZATION'}, {'text': 'Luc Longley', 'value': 'PERSON'}]"
ner,claude-3-5-sonnet,active_to_passive_100,almost over 75 members of parliament join the alliance.,The alliance is joined by almost over 75 members of parliament.,[],[],True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,42,[],[]
ner,claude-3-5-sonnet,active_to_passive_100,"Mike Moreton headed the team, joining TWR to run the XJ220 project.","The team was headed by Mike Moreton, who joined TWR to run the XJ220 project.","[{""text"": ""Mike Moreton"", ""value"": ""PERSON""}, {""text"": ""TWR"", ""value"": ""ORGANIZATION""}, {""text"": ""XJ220"", ""value"": ""PRODUCT""}]","[{'Mike Moreton': 'PERSON'}, {'TWR': 'ORGANIZATION'}, {'XJ220': 'PRODUCT'}]",True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,43,"[{'Mike Moreton': 'PERSON'}, {'TWR': 'ORGANIZATION'}, {'XJ220': 'PRODUCT'}]","[{'text': 'Mike Moreton', 'value': 'PERSON'}, {'text': 'TWR', 'value': 'ORGANIZATION'}, {'text': 'XJ220', 'value': 'PRODUCT'}]"
ner,claude-3-5-sonnet,active_to_passive_100,"A second phase of work, conducted between 1890 and 1893, involved the construction of the east relief bridge along with the refurbishment of the west bridge.","A second phase of work, conducted between 1890 and 1893, saw the east relief bridge being constructed along with the west bridge being refurbished.",[],[],True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,46,[],[]
ner,claude-3-5-sonnet,active_to_passive_100,He is mayor of Moerbeke-Waas since 2013 and member of the Belgian Federal Parliament since 2019.,"The position of mayor of Moerbeke-Waas has been held by him since 2013, and the Belgian Federal Parliament has had him as a member since 2019.","[{""text"": ""Moerbeke-Waas"", ""value"": ""LOCATION""}, {""text"": ""Belgian Federal Parliament"", ""value"": ""ORGANIZATION""}]","[{'Moerbeke-Waas': 'LOCATION'}, {'Belgian Federal Parliament': 'ORGANIZATION'}]",True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,48,"[{'Moerbeke-Waas': 'LOCATION'}, {'Belgian Federal Parliament': 'ORGANIZATION'}]","[{'text': 'Moerbeke-Waas', 'value': 'LOCATION'}, {'text': 'Belgian Federal Parliament', 'value': 'ORGANIZATION'}]"
ner,claude-3-5-sonnet,active_to_passive_100,He and teammate Mohd Zaiza Zainal Abidin was sold to Pahang for the 2011 season.,He and teammate Mohd Zaiza Zainal Abidin were sold to Pahang for the 2011 season.,"[{""text"": ""Mohd Zaiza Zainal Abidin"", ""value"": ""PERSON""}, {""text"": ""Pahang"", ""value"": ""ORGANIZATION""}]","[{'Mohd Zaiza Zainal Abidin': 'PERSON'}, {'Pahang': 'ORGANIZATION'}]",True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,49,"[{'Mohd Zaiza Zainal Abidin': 'PERSON'}, {'Pahang': 'ORGANIZATION'}]","[{'text': 'Mohd Zaiza Zainal Abidin', 'value': 'PERSON'}, {'text': 'Pahang', 'value': 'ORGANIZATION'}]"
ner,claude-3-5-sonnet,active_to_passive_100,His burial in 1791 after a funeral in the Stephansdom simply followed the regulations of the day.,His burial in 1791 was simply conducted following the regulations of the day after a funeral in the Stephansdom.,"[{""text"": ""Stephansdom"", ""value"": ""BUILDING""}]",[{'Stephansdom': 'BUILDING'}],True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,50,[{'Stephansdom': 'BUILDING'}],"[{'text': 'Stephansdom', 'value': 'BUILDING'}]"
ner,claude-3-5-sonnet,active_to_passive_100,There are several makers of reproduction equipment and many artists work with collodion around the globe.,There are several makers of reproduction equipment and collodion is worked with by many artists around the globe.,[],[],True,True,both_correct,,,,,claude-0shot-active_to_passive_100.csv,53,[],[]
