task,model,modification,original_text,modified_text,original_pred,modified_pred,original_correct,modified_correct,performance,original_reasoning,modified_reasoning,original_step_by_step_reasoning,modified_step_by_step_reasoning,file,row_index,original_clusters,modified_clusters
coref,bert,active_to_passive_100,The campers turned on their flashlights because it was dark without them.,The flashlights were turned on by the campers because it was dark without them.,1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,0,1,1
coref,bert,active_to_passive_100,The board of directors reviewed the findings of the scientists to determine funding because they are interested in the potential profits for the company.,The findings of the scientists were reviewed by the board of directors to determine funding because they are interested in the potential profits for the company.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,1,0,0
coref,bert,active_to_passive_100,The employer talked to the employee about being loyal to him.,The employee was talked to by the employer about being loyal to him.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,3,0,0
coref,bert,active_to_passive_100,The birds ate the seeds because they were tasty.,The seeds were eaten by the birds because they were tasty.,1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,4,1,1
coref,bert,active_to_passive_100,Joe raced against Steven because he thought it would be easy.,The race was run by Joe against Steven because he thought it would be easy.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,11,0,0
coref,bert,active_to_passive_100,"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.","A shot is accidentally fired by Megan that injures Barbara, but Larry is shot dead by her.",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,12,0,0
coref,bert,active_to_passive_100,A chicken pecked at a bug and it ran away.,A bug was pecked at by a chicken and it was made to run away.,1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,13,1,1
coref,bert,active_to_passive_100,Battlefield 3 is more fun than Modern Warfare 3 because it is a crappy game.,Battlefield 3 is considered more fun than Modern Warfare 3 because it is perceived as a crappy game.,1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,16,1,1
coref,bert,active_to_passive_100,Bob can beat Larry at arm wrestling because he has more muscles.,Larry can be beaten at arm wrestling by Bob because he has more muscles.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,22,0,0
coref,bert,active_to_passive_100,"Olivia wants to make amends with Emily, but she is apprehensive.","Amends are wanted to be made with Emily by Olivia, but she is apprehensive.",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,26,0,0
coref,bert,active_to_passive_100,The pen is mightier than the sword because it can be used to write world-changing documents.,The pen is considered mightier than the sword because world-changing documents can be written with it.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,30,0,0
coref,bert,active_to_passive_100,Pigs are better than sheep because they make bacon.,Pigs are considered better than sheep because bacon is made by them.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,32,0,0
coref,bert,active_to_passive_100,The car beat the bike because it was faster.,The bike was beaten by the car because it was faster.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,34,0,0
coref,bert,active_to_passive_100,"The AFL fan first knew of Dickfos when he made appearances in State of Origin matches, impressing for Queensland.","Dickfos was first known to the AFL fan when appearances were made by him in State of Origin matches, impressing for Queensland.",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,35,0,0
coref,bert,active_to_passive_100,The program could successfully parse the file because it was programmed well.,The file could be successfully parsed by the program because it was programmed well.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,42,0,0
coref,bert,active_to_passive_100,John asked Bill because he was confused.,Bill was asked by John because he was confused.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,48,0,0
coref,bert,active_to_passive_100,"Jim was delighted to see Jack, because he brightened up his day.","Jim was delighted to see Jack, because his day was brightened up by him.",1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,49,1,1
coref,bert,active_to_passive_100,"Because the BFG refuses to eat the human, he subsists on a revolting vegetable known as a ` Snozzcumber '.","Because the human is not eaten by the BFG, subsistence on a revolting vegetable known as a `Snozzcumber' is maintained by him.",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,50,0,0
coref,bert,active_to_passive_100,The keys typed the words because they were meant to be typed on.,The words were typed by the keys because they were meant to be typed on.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,55,0,0
coref,bert,active_to_passive_100,"Janis is ordered to kill Noelia, but doesn't know if she can go along with this.","Noelia is to be killed by Janis, but it is not known if this can be gone along with by her.",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,56,0,0
coref,bert,active_to_passive_100,The chimpanzee could not use Linux because it was an animal.,Linux could not be used by the chimpanzee because it was an animal.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,59,0,0
