key,side,num_constraints,num_satisfied,compliance_rate,strict_success,eval_text,constraints_json
2449,modified,2,2,100.0,1,"#!/bin/bash

# YO LISTEN UP HERE'S THE DEAL
# QUICK AND DIRTY FILE STEAL!

if [ $# -eq 0 ]; then
    echo ""YO FOOL WHERE'S THE PATH AT?!""
    echo ""USAGE: $0 <directory_path>""
    exit 1
fi

target_dir=""$1""

# CHECK IF THE PATH IS LEGIT YO
if [ ! -d ""$target_dir"" ]; then
    echo ""YO THAT PATH IS WHACK!""
    echo ""QUIT PLAYING AND GIVE ME A REAL DIRECTORY!""
    exit 1
fi

echo ""BOUT TO SNATCH ALL FILES FROM $target_dir""
echo ""GET READY FOR THE QUICK DOWNLOAD ATTACK!""

# TIME TO GET THOSE FILES YO
find ""$target_dir"" -type f -print0 | while IFS= read -r -d '' file; do
    # GRAB THAT FILE WITH NO RESPECT
    echo ""SNATCHING: $file""
    cp ""$file"" ./ 2>/dev/null || echo ""YO THIS FILE BE BLOCKING ME: $file""
done

echo ""BOOM! ALL YOUR FILES ARE BELONG TO US!""
echo ""QUEST COMPLETE - NOW GET OUT!""","[{""constraint_id"": ""punctuation:no_comma"", ""passed"": true}, {""constraint_id"": ""keywords:letter_frequency"", ""passed"": true}]"
1233,modified,2,2,100.0,1,"The tallest skyscraper in 2000 was the Petronas Towers in Kuala Lumpur, Malaysia, standing at 1,483 feet (452 meters). These twin skyscrapers held the record as the world's tallest skyscrapers from 1998 to 2004. Before the Petronas skyscrapers, the Sears Tower (now Willis Tower) was the tallest skyscraper. After the Petronas skyscrapers, the Taipei 101 skyscraper took the title. Modern skyscrapers have since surpassed these heights, with the Burj Khalifa skyscraper now standing as the world's tallest skyscraper at 2,717 feet. The evolution of skyscraper design and construction has enabled buildings to reach ever greater heights, with several new skyscrapers planned to exceed current records.

Is there anything else I can help with?","[{""constraint_id"": ""startend:end_checker"", ""passed"": true}, {""constraint_id"": ""keywords:frequency"", ""passed"": true}]"
332,modified,2,1,50.0,0,"TLDR: Premier League managers' fashion choices impact their public image. From Guardiola's casual-chic to Arteta's sleek suits, their styles reflect personality and club culture. Modern managers balance professionalism with comfort, often opting for smart-casual attire over traditional suits.","[{""constraint_id"": ""combination:repeat_prompt"", ""passed"": false}, {""constraint_id"": ""length_constraints:number_words"", ""passed"": true}]"
2328,modified,1,1,100.0,1,"""Memories Beyond Tomorrow""

Imagine gifting your future self, your children, or even your grandchildren a perfectly preserved moment in time. We're revolutionizing the way people connect across generations through our premium preservation service, ""TimeBridge.""

Our team of archival experts helps clients curate and protect their most precious memories, documents, and artifacts in custom-engineered, environmentally-controlled vessels. These sophisticated containers are designed to withstand decades underground or in secure storage, maintaining their contents in pristine condition.

What sets us apart:
- Military-grade preservation technology
- GPS-enabled location tracking
- Digital content integration
- Professional curation services
- Customizable retrieval dates
- Climate-controlled storage facilities

Our pricing model offers three tiers:
1. Heritage Collection (5-year preservation)
2. Legacy Collection (25-year preservation)
3. Generation Collection (50+ year preservation)

The market potential is substantial, with:
- 72 million millennials seeking meaningful ways to preserve memories
- Growing interest in family heritage
- Rising demand for experiential gifts
- Increasing focus on digital-physical hybrid solutions

We've already secured partnerships with:
- National archival institutions
- Leading preservation technology providers
- Premium storage facility networks

Initial investment: $2M
Projected 5-year ROI: 300%

Join us in bridging past and future, one memory at a time.

Would you like to help us preserve tomorrow's history today?","[{""constraint_id"": ""keywords:forbidden_words"", ""passed"": true}]"
3281,modified,2,2,100.0,1,"Dear Search Committee:

I am writing to express my strong interest in the Assistant Professor position at your university. As a recent PhD graduate with extensive research and teaching experience I am excited about the opportunity to contribute to your department's academic excellence.

My research focuses on [specific field] and I have published several peer-reviewed articles in leading journals. During my doctoral studies I developed innovative approaches to [specific topic] which align perfectly with your department's research priorities. I have also successfully mentored undergraduate students and taught multiple courses receiving excellent student evaluations.

I am particularly drawn to your university's commitment to interdisciplinary collaboration and student success. My teaching philosophy emphasizes active learning and critical thinking which would complement your existing programs. I am eager to develop new courses and contribute to curriculum development.

Thank you for considering my application. I look forward to discussing how I can contribute to your department's mission.

Sincerely
[Your Name]

******

Dear Search Committee:

Your university's dedication to research excellence and student-centered education has inspired me to apply for the Assistant Professor position in your department. With my doctorate in [field] and substantial teaching experience I am ready to make meaningful contributions to your academic community.

My research program investigates [specific area] through innovative methodological approaches. I have secured external funding presented at major conferences and established collaborative relationships with scholars across institutions. These experiences have prepared me to develop an independent research agenda while mentoring students effectively.

The emphasis your department places on both theoretical advancement and practical applications strongly resonates with my academic goals. I have designed and taught courses at both undergraduate and graduate levels incorporating real-world applications with theoretical foundations.

I would welcome the opportunity to discuss how my expertise aligns with your department's vision.

Best regards
[Your Name]","[{""constraint_id"": ""combination:two_responses"", ""passed"": true}, {""constraint_id"": ""punctuation:no_comma"", ""passed"": true}]"
2752,modified,1,1,100.0,1,"The opposite of youth is not age, but *loss of enthusiasm* and *spiritual stagnation*. When we lose our sense of wonder, curiosity, and zest for life, that's when we truly age. A person can be chronologically young yet spiritually old, or physically aged while maintaining a youthful spirit. It's about maintaining that inner spark, that willingness to learn, grow, and embrace new experiences.","[{""constraint_id"": ""detectable_format:number_highlighted_sections"", ""passed"": true}]"
1825,modified,3,3,100.0,1,"• GANs are deep learning models consisting of two neural networks working against each other

• The Generator network creates fake data samples from random noise

• The Discriminator network tries to identify real data from fake samples

• Both networks improve through competition making the model stronger

• The Generator aims to produce such high quality fakes that the Discriminator fails

• The architecture follows a minimax game theory approach

• Training continues until the Generator creates very realistic outputs

• Common applications include creating fake images art music and video

• The model performance depends on proper balance between both networks

• If either network becomes too strong the training process can fail

• Signs of lacking balance include mode collapse or poor sample diversity

• GANs often need careful tuning of hyperparameters for optimal results

• The quality of training data directly impacts the output results

• Modern GAN variations include StyleGAN BigGAN and CycleGAN

• Key challenges include training stability convergence issues and evaluation metrics

P.P.S. GANs represent a powerful yet complex architecture that continues to evolve with new research and applications emerging regularly. Their ability to generate realistic content makes them both fascinating and valuable in various fields.","[{""constraint_id"": ""punctuation:no_comma"", ""passed"": true}, {""constraint_id"": ""detectable_content:postscript"", ""passed"": true}, {""constraint_id"": ""keywords:existence"", ""passed"": true}]"
1658,modified,2,2,100.0,1,"""JANE SMITH
123 University Drive, College Town, ST 12345
jane.smith@email.com | (555) 123-4567

EDUCATION
Bachelor of Science in Computer Science
State University, Expected Graduation: May 2025
GPA: 3.8/4.0
Dean's List: Fall 2022, Spring 2023

TECHNICAL SKILLS
Programming Languages: Python, Java
Tools & Technologies: Git, Visual Studio Code
Operating Systems: Windows, macOS

PROJECTS
Student Management System (2023)
• Developed a Python-based application to track student attendance and grades
• Implemented database functionality using SQLite
• Created an intuitive user interface using Tkinter

Weather App (2022)
• Built a Java application that fetches and displays real-time weather data
• Integrated REST API calls to retrieve weather information
• Implemented error handling and data validation

ACADEMIC ACHIEVEMENTS
• Computer Science Student Association - Active Member
• First Place, University Hackathon 2023
• Programming Merit Scholarship Recipient

LEADERSHIP & ACTIVITIES
Computer Science Club
• Secretary (2022-Present)
• Organize weekly coding workshops for beginners
• Coordinate guest speaker events

Volunteer Work
• Code.org Teaching Assistant (2022-Present)
• Mentor high school students in basic programming concepts
• Lead weekly Python programming workshops

CERTIFICATIONS
• Introduction to Python Programming (Coursera)
• Java Fundamentals (LinkedIn Learning)

LANGUAGES
• English (Native)
• Spanish (Intermediate)""","[{""constraint_id"": ""startend:quotation"", ""passed"": true}, {""constraint_id"": ""keywords:existence"", ""passed"": true}]"
2439,modified,3,3,100.0,1,"Punched in the face by [suspect name] the officer still managed to grab onto the stolen wallet. The determination of law enforcement goes beyond catching criminals because police officers often retrieve important evidence during their daily patrols.


Officers frequently discover abandoned vehicles drugs and weapons while patrolling [location]. These discoveries help prevent future crimes and keep dangerous items off the streets. Their vigilance extends far beyond making arrests.


The role of modern policing includes recovering lost property helping reunite missing pets with their owners and securing discarded sensitive documents. Police work encompasses many aspects of public service that do not involve arresting suspects or processing criminal charges.","[{""constraint_id"": ""punctuation:no_comma"", ""passed"": true}, {""constraint_id"": ""length_constraints:nth_paragraph_first_word"", ""passed"": true}, {""constraint_id"": ""detectable_content:number_placeholders"", ""passed"": true}]"
288,modified,1,1,100.0,1,"Is ballistics (the study of the motion of projectiles) an actual science? Interestingly, this question often sparks debate among enthusiasts.

Yes, ballistics is absolutely a legitimate scientific field. It is a branch of mechanics that deals with the behavior of projectiles and their motion through different mediums. Ballistics incorporates various scientific disciplines including:

1. Physics (mechanics, aerodynamics, thermodynamics)
2. Mathematics (calculus, trigonometry)
3. Chemistry (propellants, explosives)
4. Materials science (projectile and barrel materials)

The field is highly technical and employs rigorous scientific methodology, including:
- Empirical testing
- Mathematical modeling
- Data analysis
- Controlled experiments
- Peer-reviewed research

Ballistics is widely applied in:
- Military and defense research
- Forensic science
- Space exploration
- Sporting equipment design
- Safety engineering

The field has dedicated academic programs, research institutions, and peer-reviewed journals. It follows the scientific method and produces verifiable, repeatable results, making it unquestionably a legitimate science.","[{""constraint_id"": ""combination:repeat_prompt"", ""passed"": true}]"
