key,side,num_constraints,num_satisfied,compliance_rate,strict_success,constraints_json
2449,original,2,1,50.0,0,"[{""constraint_id"": ""punctuation:no_comma"", ""passed"": false}, {""constraint_id"": ""keywords:letter_frequency"", ""passed"": true}]"
1233,original,2,1,50.0,0,"[{""constraint_id"": ""startend:end_checker"", ""passed"": true}, {""constraint_id"": ""keywords:frequency"", ""passed"": false}]"
332,original,2,0,0.0,0,"[{""constraint_id"": ""combination:repeat_prompt"", ""passed"": false}, {""constraint_id"": ""length_constraints:number_words"", ""passed"": false}]"
2328,original,1,0,0.0,0,"[{""constraint_id"": ""keywords:forbidden_words"", ""passed"": false}]"
3281,original,2,1,50.0,0,"[{""constraint_id"": ""combination:two_responses"", ""passed"": false}, {""constraint_id"": ""punctuation:no_comma"", ""passed"": true}]"
2752,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_format:number_highlighted_sections"", ""passed"": false}]"
1825,original,3,1,33.333333333333336,0,"[{""constraint_id"": ""punctuation:no_comma"", ""passed"": true}, {""constraint_id"": ""detectable_content:postscript"", ""passed"": false}, {""constraint_id"": ""keywords:existence"", ""passed"": false}]"
1658,original,2,0,0.0,0,"[{""constraint_id"": ""startend:quotation"", ""passed"": false}, {""constraint_id"": ""keywords:existence"", ""passed"": false}]"
2439,original,3,1,33.333333333333336,0,"[{""constraint_id"": ""punctuation:no_comma"", ""passed"": true}, {""constraint_id"": ""length_constraints:nth_paragraph_first_word"", ""passed"": false}, {""constraint_id"": ""detectable_content:number_placeholders"", ""passed"": false}]"
288,original,1,1,100.0,1,"[{""constraint_id"": ""combination:repeat_prompt"", ""passed"": true}]"
1154,original,1,0,0.0,0,"[{""constraint_id"": ""language:response_language"", ""passed"": false}]"
1619,original,2,0,0.0,0,"[{""constraint_id"": ""detectable_content:postscript"", ""passed"": false}, {""constraint_id"": ""detectable_content:number_placeholders"", ""passed"": false}]"
2969,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_format:title"", ""passed"": false}]"
3256,original,3,0,0.0,0,"[{""constraint_id"": ""length_constraints:number_sentences"", ""passed"": false}, {""constraint_id"": ""detectable_format:title"", ""passed"": false}, {""constraint_id"": ""punctuation:no_comma"", ""passed"": false}]"
2912,original,2,0,0.0,0,"[{""constraint_id"": ""combination:two_responses"", ""passed"": false}, {""constraint_id"": ""keywords:letter_frequency"", ""passed"": false}]"
1287,original,2,0,0.0,0,"[{""constraint_id"": ""detectable_format:number_bullet_lists"", ""passed"": false}, {""constraint_id"": ""change_case:english_lowercase"", ""passed"": false}]"
2751,original,2,1,50.0,0,"[{""constraint_id"": ""length_constraints:number_words"", ""passed"": true}, {""constraint_id"": ""startend:quotation"", ""passed"": false}]"
1131,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_format:multiple_sections"", ""passed"": false}]"
1107,original,2,1,50.0,0,"[{""constraint_id"": ""punctuation:no_comma"", ""passed"": true}, {""constraint_id"": ""combination:two_responses"", ""passed"": false}]"
3098,original,3,0,0.0,0,"[{""constraint_id"": ""detectable_format:number_bullet_lists"", ""passed"": false}, {""constraint_id"": ""length_constraints:number_paragraphs"", ""passed"": false}, {""constraint_id"": ""change_case:capital_word_frequency"", ""passed"": false}]"
1342,original,3,0,0.0,0,"[{""constraint_id"": ""keywords:frequency"", ""passed"": false}, {""constraint_id"": ""detectable_format:number_highlighted_sections"", ""passed"": false}, {""constraint_id"": ""length_constraints:number_paragraphs"", ""passed"": false}]"
2247,original,1,0,0.0,0,"[{""constraint_id"": ""change_case:english_capital"", ""passed"": false}]"
3505,original,2,2,100.0,1,"[{""constraint_id"": ""punctuation:no_comma"", ""passed"": true}, {""constraint_id"": ""combination:repeat_prompt"", ""passed"": true}]"
3680,original,2,1,50.0,0,"[{""constraint_id"": ""keywords:frequency"", ""passed"": true}, {""constraint_id"": ""detectable_format:number_highlighted_sections"", ""passed"": false}]"
3456,original,2,0,0.0,0,"[{""constraint_id"": ""detectable_format:number_highlighted_sections"", ""passed"": false}, {""constraint_id"": ""change_case:english_capital"", ""passed"": false}]"
1518,original,1,1,100.0,1,"[{""constraint_id"": ""combination:repeat_prompt"", ""passed"": true}]"
1999,original,1,0,0.0,0,"[{""constraint_id"": ""change_case:english_capital"", ""passed"": false}]"
2515,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_format:number_highlighted_sections"", ""passed"": false}]"
1130,original,1,1,100.0,1,"[{""constraint_id"": ""keywords:letter_frequency"", ""passed"": true}]"
2396,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_content:postscript"", ""passed"": false}]"
3567,original,1,0,0.0,0,"[{""constraint_id"": ""language:response_language"", ""passed"": false}]"
102,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_format:number_bullet_lists"", ""passed"": false}]"
1629,original,1,0,0.0,0,"[{""constraint_id"": ""keywords:forbidden_words"", ""passed"": false}]"
1242,original,2,0,0.0,0,"[{""constraint_id"": ""detectable_format:json_format"", ""passed"": false}, {""constraint_id"": ""keywords:forbidden_words"", ""passed"": false}]"
2265,original,1,1,100.0,1,"[{""constraint_id"": ""keywords:letter_frequency"", ""passed"": true}]"
2590,original,1,0,0.0,0,"[{""constraint_id"": ""length_constraints:nth_paragraph_first_word"", ""passed"": false}]"
1098,original,1,0,0.0,0,"[{""constraint_id"": ""combination:two_responses"", ""passed"": false}]"
1251,original,1,0,0.0,0,"[{""constraint_id"": ""length_constraints:number_words"", ""passed"": false}]"
3073,original,1,0,0.0,0,"[{""constraint_id"": ""length_constraints:nth_paragraph_first_word"", ""passed"": false}]"
1012,original,2,1,50.0,0,"[{""constraint_id"": ""combination:repeat_prompt"", ""passed"": true}, {""constraint_id"": ""detectable_format:title"", ""passed"": false}]"
3710,original,3,0,0.0,0,"[{""constraint_id"": ""detectable_format:number_highlighted_sections"", ""passed"": false}, {""constraint_id"": ""detectable_format:title"", ""passed"": false}, {""constraint_id"": ""detectable_content:postscript"", ""passed"": false}]"
2229,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_format:title"", ""passed"": false}]"
1305,original,2,0,0.0,0,"[{""constraint_id"": ""detectable_content:postscript"", ""passed"": false}, {""constraint_id"": ""detectable_format:number_bullet_lists"", ""passed"": false}]"
3709,original,2,0,0.0,0,"[{""constraint_id"": ""startend:quotation"", ""passed"": false}, {""constraint_id"": ""keywords:forbidden_words"", ""passed"": false}]"
16,original,2,1,50.0,0,"[{""constraint_id"": ""detectable_format:title"", ""passed"": false}, {""constraint_id"": ""combination:repeat_prompt"", ""passed"": true}]"
2844,original,2,1,50.0,0,"[{""constraint_id"": ""detectable_format:number_highlighted_sections"", ""passed"": false}, {""constraint_id"": ""length_constraints:number_words"", ""passed"": true}]"
2505,original,1,1,100.0,1,"[{""constraint_id"": ""startend:end_checker"", ""passed"": true}]"
3691,original,2,1,50.0,0,"[{""constraint_id"": ""length_constraints:number_sentences"", ""passed"": false}, {""constraint_id"": ""punctuation:no_comma"", ""passed"": true}]"
3369,original,2,2,100.0,1,"[{""constraint_id"": ""combination:repeat_prompt"", ""passed"": true}, {""constraint_id"": ""keywords:frequency"", ""passed"": true}]"
1137,original,2,0,0.0,0,"[{""constraint_id"": ""detectable_format:json_format"", ""passed"": false}, {""constraint_id"": ""keywords:forbidden_words"", ""passed"": false}]"
2250,original,1,0,0.0,0,"[{""constraint_id"": ""length_constraints:nth_paragraph_first_word"", ""passed"": false}]"
1377,original,1,0,0.0,0,"[{""constraint_id"": ""length_constraints:number_paragraphs"", ""passed"": false}]"
2829,original,1,0,0.0,0,"[{""constraint_id"": ""startend:quotation"", ""passed"": false}]"
1476,original,2,0,0.0,0,"[{""constraint_id"": ""keywords:forbidden_words"", ""passed"": false}, {""constraint_id"": ""length_constraints:number_sentences"", ""passed"": false}]"
3434,original,2,0,0.0,0,"[{""constraint_id"": ""change_case:english_lowercase"", ""passed"": false}, {""constraint_id"": ""length_constraints:nth_paragraph_first_word"", ""passed"": false}]"
1392,original,3,1,33.333333333333336,0,"[{""constraint_id"": ""detectable_format:title"", ""passed"": false}, {""constraint_id"": ""length_constraints:number_sentences"", ""passed"": false}, {""constraint_id"": ""length_constraints:number_words"", ""passed"": true}]"
3429,original,2,0,0.0,0,"[{""constraint_id"": ""detectable_format:multiple_sections"", ""passed"": false}, {""constraint_id"": ""length_constraints:number_sentences"", ""passed"": false}]"
1021,original,2,0,0.0,0,"[{""constraint_id"": ""change_case:english_capital"", ""passed"": false}, {""constraint_id"": ""detectable_format:multiple_sections"", ""passed"": false}]"
163,original,2,1,50.0,0,"[{""constraint_id"": ""startend:quotation"", ""passed"": false}, {""constraint_id"": ""keywords:letter_frequency"", ""passed"": true}]"
3166,original,1,0,0.0,0,"[{""constraint_id"": ""keywords:forbidden_words"", ""passed"": false}]"
2422,original,2,0,0.0,0,"[{""constraint_id"": ""change_case:english_capital"", ""passed"": false}, {""constraint_id"": ""detectable_format:title"", ""passed"": false}]"
2069,original,2,2,100.0,1,"[{""constraint_id"": ""length_constraints:number_words"", ""passed"": true}, {""constraint_id"": ""length_constraints:number_words"", ""passed"": true}]"
3513,original,1,0,0.0,0,"[{""constraint_id"": ""change_case:capital_word_frequency"", ""passed"": false}]"
3739,original,1,0,0.0,0,"[{""constraint_id"": ""length_constraints:number_sentences"", ""passed"": false}]"
1281,original,2,1,50.0,0,"[{""constraint_id"": ""combination:repeat_prompt"", ""passed"": true}, {""constraint_id"": ""keywords:existence"", ""passed"": false}]"
2925,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_format:multiple_sections"", ""passed"": false}]"
201,original,1,1,100.0,1,"[{""constraint_id"": ""keywords:letter_frequency"", ""passed"": true}]"
2567,original,1,0,0.0,0,"[{""constraint_id"": ""keywords:existence"", ""passed"": false}]"
19,original,2,2,100.0,1,"[{""constraint_id"": ""length_constraints:number_words"", ""passed"": true}, {""constraint_id"": ""length_constraints:number_words"", ""passed"": true}]"
1005,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_content:number_placeholders"", ""passed"": false}]"
3025,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_format:number_bullet_lists"", ""passed"": false}]"
1072,original,1,1,100.0,1,"[{""constraint_id"": ""length_constraints:number_words"", ""passed"": true}]"
2617,original,1,0,0.0,0,"[{""constraint_id"": ""length_constraints:number_sentences"", ""passed"": false}]"
1939,original,1,1,100.0,1,"[{""constraint_id"": ""startend:end_checker"", ""passed"": true}]"
2314,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_format:number_bullet_lists"", ""passed"": false}]"
3081,original,1,0,0.0,0,"[{""constraint_id"": ""keywords:forbidden_words"", ""passed"": false}]"
3724,original,3,2,66.66666666666667,0,"[{""constraint_id"": ""detectable_format:number_highlighted_sections"", ""passed"": false}, {""constraint_id"": ""punctuation:no_comma"", ""passed"": true}, {""constraint_id"": ""startend:end_checker"", ""passed"": true}]"
3195,original,3,2,66.66666666666667,0,"[{""constraint_id"": ""keywords:letter_frequency"", ""passed"": true}, {""constraint_id"": ""punctuation:no_comma"", ""passed"": true}, {""constraint_id"": ""language:response_language"", ""passed"": false}]"
1375,original,2,0,0.0,0,"[{""constraint_id"": ""length_constraints:number_paragraphs"", ""passed"": false}, {""constraint_id"": ""keywords:existence"", ""passed"": false}]"
2070,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_content:postscript"", ""passed"": false}]"
240,original,1,0,0.0,0,"[{""constraint_id"": ""language:response_language"", ""passed"": false}]"
3538,original,2,1,50.0,0,"[{""constraint_id"": ""keywords:frequency"", ""passed"": true}, {""constraint_id"": ""length_constraints:number_words"", ""passed"": false}]"
1739,original,2,1,50.0,0,"[{""constraint_id"": ""punctuation:no_comma"", ""passed"": true}, {""constraint_id"": ""language:response_language"", ""passed"": false}]"
3744,original,2,0,0.0,0,"[{""constraint_id"": ""detectable_content:number_placeholders"", ""passed"": false}, {""constraint_id"": ""language:response_language"", ""passed"": false}]"
1402,original,2,1,50.0,0,"[{""constraint_id"": ""keywords:letter_frequency"", ""passed"": true}, {""constraint_id"": ""keywords:forbidden_words"", ""passed"": false}]"
3079,original,1,1,100.0,1,"[{""constraint_id"": ""startend:end_checker"", ""passed"": true}]"
2273,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_content:postscript"", ""passed"": false}]"
3669,original,2,1,50.0,0,"[{""constraint_id"": ""punctuation:no_comma"", ""passed"": true}, {""constraint_id"": ""language:response_language"", ""passed"": false}]"
3743,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_content:number_placeholders"", ""passed"": false}]"
1571,original,3,1,33.333333333333336,0,"[{""constraint_id"": ""keywords:frequency"", ""passed"": true}, {""constraint_id"": ""change_case:english_lowercase"", ""passed"": false}, {""constraint_id"": ""keywords:existence"", ""passed"": false}]"
2918,original,1,0,0.0,0,"[{""constraint_id"": ""combination:two_responses"", ""passed"": false}]"
1845,original,2,0,0.0,0,"[{""constraint_id"": ""keywords:existence"", ""passed"": false}, {""constraint_id"": ""length_constraints:number_paragraphs"", ""passed"": false}]"
2653,original,2,1,50.0,0,"[{""constraint_id"": ""keywords:letter_frequency"", ""passed"": true}, {""constraint_id"": ""detectable_format:number_bullet_lists"", ""passed"": false}]"
1367,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_content:postscript"", ""passed"": false}]"
3534,original,3,0,0.0,0,"[{""constraint_id"": ""change_case:english_lowercase"", ""passed"": false}, {""constraint_id"": ""length_constraints:number_sentences"", ""passed"": false}, {""constraint_id"": ""length_constraints:number_sentences"", ""passed"": false}]"
2909,original,2,1,50.0,0,"[{""constraint_id"": ""detectable_format:number_highlighted_sections"", ""passed"": false}, {""constraint_id"": ""length_constraints:number_words"", ""passed"": true}]"
2417,original,1,1,100.0,1,"[{""constraint_id"": ""punctuation:no_comma"", ""passed"": true}]"
168,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_format:number_highlighted_sections"", ""passed"": false}]"
1800,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_content:postscript"", ""passed"": false}]"
227,original,1,0,0.0,0,"[{""constraint_id"": ""detectable_format:constrained_response"", ""passed"": false}]"
