model,modification,original_acc,modified_acc,pct_diff,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
llama,verbal,0.850,0.550,-35.3,0.014,0.043,0.014,*,True
llama,lexical,0.875,0.750,-14.3,0.083,0.279,0.083,.,False
llama,double,0.667,0.667,0.0,1.000,1.000,1.000,ns,False
llama,approximate,0.806,0.774,-4.0,0.705,0.765,0.705,ns,False
llama,absolute,0.625,0.875,40.0,0.157,0.295,0.157,ns,False
claude-3-5-sonnet,verbal,0.850,0.600,-29.4,0.059,0.083,0.059,.,False
claude-3-5-sonnet,lexical,0.917,0.833,-9.1,0.317,0.398,0.317,ns,False
claude-3-5-sonnet,double,0.667,0.667,0.0,1.000,1.000,1.000,ns,False
claude-3-5-sonnet,approximate,0.677,0.774,14.3,0.317,0.402,0.317,ns,False
claude-3-5-sonnet,absolute,0.875,0.875,0.0,1.000,1.000,1.000,ns,False
gpt4o,verbal,0.900,0.600,-33.3,0.014,0.032,0.014,*,True
gpt4o,lexical,0.833,0.792,-5.0,0.564,0.726,0.564,ns,False
gpt4o,double,0.733,0.667,-9.1,0.564,0.715,0.564,ns,False
gpt4o,approximate,0.774,0.645,-16.7,0.157,0.271,0.157,ns,False
gpt4o,absolute,0.875,1.000,14.3,0.317,0.382,0.317,ns,False
