,bert-base-cased,bert-base-cased,bert-base-cased,gpt2,gpt2,gpt2,t5-base,t5-base,t5-base,gpt4o,gpt4o,gpt4o,claude-3-5-sonnet,claude-3-5-sonnet,claude-3-5-sonnet,llama,llama,llama
,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff
temporal_bias,0.54,0.51,-5.6,0.56,0.54,-3.6,0.6,0.58,-3.3,0.81,0.79,-2.5,0.85,0.86,1.2,0.79,0.78,-1.3
geographical_bias,0.54,0.52,-3.7,0.51,0.47,-7.8,0.54,0.53,-1.9,0.77,0.73,-5.2,0.83,0.83,0.0,0.78,0.77,-1.3
length_bias,0.475,0.525,10.6,0.465,0.515,10.9,0.566,0.586,3.6,0.798,0.848,6.3,0.848,0.848,0.0,0.838,0.869,3.6
typo_bias,0.52,0.571,9.8,0.551,0.541,-1.9,0.633,0.643,1.6,0.816,0.786,-3.8,0.816,0.837,2.5,0.796,0.776,-2.6
capitalization,0.535,0.485,-9.4,0.455,0.414,-8.9,0.495,0.525,6.1,0.828,0.838,1.2,0.869,0.869,0.0,0.778,0.828,6.5
punctuation,0.566,0.576,1.8,0.566,0.556,-1.8,0.586,0.596,1.7,0.838,0.828,-1.2,0.859,0.848,-1.2,0.778,0.768,-1.3
derivation,0.52,0.5,-3.9,0.52,0.51,-2.0,0.52,0.531,2.0,0.806,0.806,0.0,0.847,0.857,1.2,0.867,0.857,-1.2
compound_word,0.604,0.604,0.0,0.604,0.583,-3.4,0.604,0.594,-1.7,0.865,0.833,-3.6,0.896,0.875,-2.3,0.875,0.875,0.0
active_to_passive,0.495,0.474,-4.3,0.516,0.547,6.1,0.568,0.684,20.4,0.8,0.832,3.9,0.895,0.884,-1.2,0.821,0.811,-1.3
grammatical_role,0.514,0.486,-5.4,0.514,0.458,-10.8,0.556,0.583,5.0,0.889,0.833,-6.2,0.861,0.847,-1.6,0.833,0.833,0.0
coordinating_conjunction,0.567,0.577,1.8,0.619,0.66,6.7,0.66,0.619,-6.2,0.804,0.784,-2.6,0.835,0.856,2.5,0.804,0.794,-1.3
concept_replacement,0.44,0.42,-4.5,0.42,0.43,2.4,0.54,0.49,-9.3,0.74,0.73,-1.4,0.78,0.74,-5.1,0.76,0.75,-1.3
negation,0.541,0.51,-5.7,0.51,0.5,-2.0,0.592,0.571,-3.4,0.816,0.704,-13.8,0.786,0.745,-5.2,0.796,0.714,-10.3
discourse,0.56,0.54,-3.6,0.47,0.43,-8.5,0.53,0.51,-3.8,0.74,0.73,-1.4,0.85,0.83,-2.4,0.79,0.76,-3.8
sentiment,0.57,0.6,5.3,0.63,0.57,-9.5,0.64,0.64,0.0,0.8,0.8,0.0,0.82,0.81,-1.2,0.83,0.84,1.2
casual,0.55,0.43,-21.8,0.52,0.49,-5.8,0.53,0.49,-7.5,0.79,0.74,-6.3,0.84,0.8,-4.8,0.8,0.76,-5.0
dialectal,0.55,0.52,-5.5,0.53,0.44,-17.0,0.58,0.54,-6.9,0.81,0.79,-2.5,0.82,0.83,1.2,0.87,0.81,-6.9
