model,modification,original_acc,modified_acc,percentage_diff,p_value,significance,significant
llama,concept_replacement,0.760,0.750,-1.3,0.739,ns,False
llama,negation,0.796,0.714,-10.3,0.088,.,False
llama,temporal_bias,0.790,0.780,-1.3,0.705,ns,False
gpt4o,coordinating_conjunction,0.804,0.784,-2.6,0.480,ns,False
llama,grammatical_role,0.833,0.833,0.0,1.000,ns,False
gpt4o,grammatical_role,0.889,0.833,-6.2,0.317,ns,False
llama,discourse,0.790,0.760,-3.8,0.257,ns,False
llama,coordinating_conjunction,0.804,0.794,-1.3,0.705,ns,False
claude-3-5-sonnet,geographical_bias,0.830,0.830,0.0,1.000,ns,False
llama,geographical_bias,0.780,0.770,-1.3,0.655,ns,False
gpt4o,geographical_bias,0.770,0.730,-5.2,0.206,ns,False
claude-3-5-sonnet,discourse,0.850,0.830,-2.4,0.527,ns,False
gpt4o,capitalization,0.828,0.838,1.2,0.705,ns,False
claude-3-5-sonnet,concept_replacement,0.780,0.740,-5.1,0.346,ns,False
llama,punctuation,0.778,0.768,-1.3,0.317,ns,False
llama,length_bias,0.838,0.869,3.6,0.467,ns,False
llama,capitalization,0.778,0.828,6.5,0.025,*,True
gpt4o,discourse,0.740,0.730,-1.4,0.819,ns,False
claude-3-5-sonnet,active_to_passive,0.895,0.884,-1.2,0.796,ns,False
gpt4o,casual,0.790,0.740,-6.3,0.251,ns,False
claude-3-5-sonnet,capitalization,0.869,0.869,0.0,1.000,ns,False
claude-3-5-sonnet,negation,0.786,0.745,-5.2,0.414,ns,False
llama,active_to_passive,0.821,0.811,-1.3,0.853,ns,False
claude-3-5-sonnet,grammatical_role,0.861,0.847,-1.6,0.782,ns,False
llama,compound_word,0.875,0.875,0.0,1.000,ns,False
gpt4o,active_to_passive,0.800,0.832,3.9,0.549,ns,False
gpt4o,derivation,0.806,0.806,0.0,1.000,ns,False
llama,dialectal,0.870,0.810,-6.9,0.109,ns,False
llama,typo_bias,0.796,0.776,-2.6,0.317,ns,False
gpt4o,temporal_bias,0.810,0.790,-2.5,0.480,ns,False
claude-3-5-sonnet,punctuation,0.859,0.848,-1.2,0.564,ns,False
claude-3-5-sonnet,length_bias,0.848,0.848,0.0,1.000,ns,False
claude-3-5-sonnet,temporal_bias,0.850,0.860,1.2,0.317,ns,False
claude-3-5-sonnet,typo_bias,0.816,0.837,2.5,0.157,ns,False
gpt4o,sentiment,0.800,0.800,0.0,1.000,ns,False
claude-3-5-sonnet,dialectal,0.820,0.830,1.2,0.739,ns,False
gpt4o,punctuation,0.838,0.828,-1.2,0.317,ns,False
gpt4o,length_bias,0.798,0.848,6.3,0.197,ns,False
gpt4o,dialectal,0.810,0.790,-2.5,0.637,ns,False
llama,casual,0.800,0.760,-5.0,0.285,ns,False
gpt4o,typo_bias,0.816,0.786,-3.8,0.180,ns,False
claude-3-5-sonnet,sentiment,0.820,0.810,-1.2,0.705,ns,False
claude-3-5-sonnet,coordinating_conjunction,0.835,0.856,2.5,0.317,ns,False
llama,derivation,0.867,0.857,-1.2,0.317,ns,False
claude-3-5-sonnet,compound_word,0.896,0.875,-2.3,0.414,ns,False
claude-3-5-sonnet,casual,0.840,0.800,-4.8,0.285,ns,False
gpt4o,negation,0.816,0.704,-13.8,0.016,*,True
gpt4o,concept_replacement,0.740,0.730,-1.4,0.763,ns,False
gpt4o,compound_word,0.865,0.833,-3.6,0.180,ns,False
llama,sentiment,0.830,0.840,1.2,0.739,ns,False
claude-3-5-sonnet,derivation,0.847,0.857,1.2,0.317,ns,False
