model,modification,original_acc,modified_acc,pct_diff,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
bert-base-cased,absolute,0.750,0.625,-16.7,0.317,0.648,0.317,ns,False
bert-base-cased,double,0.600,0.600,0.0,1.000,1.000,1.000,ns,False
bert-base-cased,lexical,0.500,0.458,-8.3,0.655,0.784,0.655,ns,False
bert-base-cased,approximate,0.484,0.419,-13.3,0.527,0.618,0.527,ns,False
bert-base-cased,verbal,0.550,0.600,9.1,0.655,0.764,0.655,ns,False
gpt2,absolute,0.625,0.875,40.0,0.317,0.295,0.295,ns,False
gpt2,double,0.467,0.533,14.3,0.564,0.738,0.564,ns,False
gpt2,lexical,0.542,0.458,-15.4,0.317,0.576,0.317,ns,False
gpt2,approximate,0.516,0.452,-12.5,0.480,0.620,0.480,ns,False
gpt2,verbal,0.450,0.450,0.0,1.000,1.000,1.000,ns,False
t5-base,absolute,0.625,0.875,40.0,0.157,0.295,0.157,ns,False
t5-base,double,0.467,0.600,28.6,0.317,0.487,0.317,ns,False
t5-base,lexical,0.625,0.542,-13.3,0.414,0.570,0.414,ns,False
t5-base,approximate,0.516,0.484,-6.2,0.705,0.807,0.705,ns,False
t5-base,verbal,0.750,0.600,-20.0,0.180,0.325,0.180,ns,False
