model,modification,original_acc,modified_acc,percentage_diff,p_value,significance,significant
bert-base-cased,active_to_passive,0.495,0.474,-4.3,0.732,ns,No
bert-base-cased,capitalization,0.535,0.485,-9.4,0.197,ns,No
bert-base-cased,casual,0.55,0.43,-21.8,0.003,**,Yes
bert-base-cased,compound_word,0.604,0.604,0.0,1.0,ns,No
bert-base-cased,concept_replacement,0.44,0.42,-4.5,0.48,ns,No
bert-base-cased,coordinating_conjunction,0.567,0.577,1.8,0.655,ns,No
bert-base-cased,derivation,0.52,0.5,-3.9,0.317,ns,No
bert-base-cased,dialectal,0.55,0.52,-5.5,0.18,ns,No
bert-base-cased,discourse,0.56,0.54,-3.6,0.48,ns,No
bert-base-cased,geographical_bias,0.54,0.52,-3.7,0.48,ns,No
bert-base-cased,grammatical_role,0.514,0.486,-5.4,0.67,ns,No
bert-base-cased,length_bias,0.475,0.525,10.6,0.251,ns,No
bert-base-cased,negation,0.541,0.51,-5.7,0.549,ns,No
bert-base-cased,punctuation,0.566,0.576,1.8,0.317,ns,No
bert-base-cased,sentiment,0.57,0.6,5.3,0.317,ns,No
bert-base-cased,temporal_bias,0.54,0.51,-5.6,0.317,ns,No
bert-base-cased,typo_bias,0.52,0.571,9.8,0.132,ns,No
claude-3-5-sonnet,active_to_passive,0.895,0.884,-1.2,0.796,ns,False
claude-3-5-sonnet,capitalization,0.869,0.869,0.0,1.0,ns,False
claude-3-5-sonnet,casual,0.84,0.8,-4.8,0.285,ns,False
claude-3-5-sonnet,compound_word,0.896,0.875,-2.3,0.414,ns,False
claude-3-5-sonnet,concept_replacement,0.78,0.74,-5.1,0.346,ns,False
claude-3-5-sonnet,coordinating_conjunction,0.835,0.856,2.5,0.317,ns,False
claude-3-5-sonnet,derivation,0.847,0.857,1.2,0.317,ns,False
claude-3-5-sonnet,dialectal,0.82,0.83,1.2,0.739,ns,False
claude-3-5-sonnet,discourse,0.85,0.83,-2.4,0.527,ns,False
claude-3-5-sonnet,geographical_bias,0.83,0.83,0.0,1.0,ns,False
claude-3-5-sonnet,grammatical_role,0.861,0.847,-1.6,0.782,ns,False
claude-3-5-sonnet,length_bias,0.848,0.848,0.0,1.0,ns,False
claude-3-5-sonnet,negation,0.786,0.745,-5.2,0.414,ns,False
claude-3-5-sonnet,punctuation,0.859,0.848,-1.2,0.564,ns,False
claude-3-5-sonnet,sentiment,0.82,0.81,-1.2,0.705,ns,False
claude-3-5-sonnet,temporal_bias,0.85,0.86,1.2,0.317,ns,False
claude-3-5-sonnet,typo_bias,0.816,0.837,2.5,0.157,ns,False
gpt2,active_to_passive,0.516,0.547,6.1,0.602,ns,No
gpt2,capitalization,0.455,0.414,-8.9,0.285,ns,No
gpt2,casual,0.52,0.49,-5.8,0.491,ns,No
gpt2,compound_word,0.604,0.583,-3.4,0.317,ns,No
gpt2,concept_replacement,0.42,0.43,2.4,0.564,ns,No
gpt2,coordinating_conjunction,0.619,0.66,6.7,0.206,ns,No
gpt2,derivation,0.52,0.51,-2.0,0.564,ns,No
gpt2,dialectal,0.53,0.44,-17.0,0.02,*,Yes
gpt2,discourse,0.47,0.43,-8.5,0.102,ns,No
gpt2,geographical_bias,0.51,0.47,-7.8,0.285,ns,No
gpt2,grammatical_role,0.514,0.458,-10.8,0.371,ns,No
gpt2,length_bias,0.465,0.515,10.9,0.197,ns,No
gpt2,negation,0.51,0.5,-2.0,0.835,ns,No
gpt2,punctuation,0.566,0.556,-1.8,0.705,ns,No
gpt2,sentiment,0.63,0.57,-9.5,0.083,.,No
gpt2,temporal_bias,0.56,0.54,-3.6,0.317,ns,No
gpt2,typo_bias,0.551,0.541,-1.9,0.564,ns,No
gpt4o,active_to_passive,0.8,0.832,3.9,0.549,ns,False
gpt4o,capitalization,0.828,0.838,1.2,0.705,ns,False
gpt4o,casual,0.79,0.74,-6.3,0.251,ns,False
gpt4o,compound_word,0.865,0.833,-3.6,0.18,ns,False
gpt4o,concept_replacement,0.74,0.73,-1.4,0.763,ns,False
gpt4o,coordinating_conjunction,0.804,0.784,-2.6,0.48,ns,False
gpt4o,derivation,0.806,0.806,0.0,1.0,ns,False
gpt4o,dialectal,0.81,0.79,-2.5,0.637,ns,False
gpt4o,discourse,0.74,0.73,-1.4,0.819,ns,False
gpt4o,geographical_bias,0.77,0.73,-5.2,0.206,ns,False
gpt4o,grammatical_role,0.889,0.833,-6.2,0.317,ns,False
gpt4o,length_bias,0.798,0.848,6.3,0.197,ns,False
gpt4o,negation,0.816,0.704,-13.8,0.016,*,True
