task,model,modification,rows,effective_rows,metric,metric2
coref,claude-3-5-sonnet,active_to_passive_100,95,95,0.8842105263157894,
coref,claude-3-5-sonnet,capitalization_100,99,99,0.8686868686868687,
coref,claude-3-5-sonnet,casual_100,100,100,0.8,
coref,claude-3-5-sonnet,compound_word_100,96,96,0.875,
coref,claude-3-5-sonnet,concept_replacement_100,100,100,0.0,
coref,claude-3-5-sonnet,coordinating_conjunction_100,97,97,0.8556701030927835,
coref,claude-3-5-sonnet,coref,1517,1517,,
coref,claude-3-5-sonnet,cot-coref,2117,2117,,
coref,claude-3-5-sonnet,derivation_100,98,98,0.8571428571428571,
coref,claude-3-5-sonnet,dialectal_100,102,102,0.7058823529411765,
coref,claude-3-5-sonnet,discourse_100,100,100,0.83,
coref,claude-3-5-sonnet,geographical_bias_100,100,100,0.83,
coref,claude-3-5-sonnet,grammatical_role_100,72,72,0.8472222222222222,
coref,claude-3-5-sonnet,length_bias_100,99,99,0.0,
coref,claude-3-5-sonnet,negation_100,98,98,0.7448979591836735,
coref,claude-3-5-sonnet,punctuation_100,99,99,0.0,
coref,claude-3-5-sonnet,sentiment_100,100,100,0.81,
coref,claude-3-5-sonnet,temporal_bias_100,100,100,0.86,
coref,claude-3-5-sonnet,typo_bias_100,98,98,0.0,
coref,unknown,unknown,18,18,,
coref,deepseek-r1,active_to_passive_100,95,95,0.8842105263157894,
coref,deepseek-r1,capitalization_100,99,99,0.8484848484848485,
coref,deepseek-r1,casual_100,100,100,0.83,
coref,deepseek-r1,compound_word_100,96,96,0.9166666666666666,
coref,deepseek-r1,concept_replacement_100,100,100,0.74,
coref,deepseek-r1,coordinating_conjunction_100,97,97,0.8762886597938144,
coref,deepseek-r1,coref,1517,1517,,
coref,deepseek-r1,derivation_100,98,98,0.8979591836734694,
coref,deepseek-r1,dialectal_100,102,102,0.6764705882352942,
coref,deepseek-r1,discourse_100,100,100,0.8,
coref,deepseek-r1,geographical_bias_100,100,100,0.79,
coref,deepseek-r1,grammatical_role_100,72,72,0.8611111111111112,
coref,deepseek-r1,length_bias_100,99,99,0.8686868686868687,
coref,deepseek-r1,negation_100,98,98,0.7244897959183674,
coref,deepseek-r1,punctuation_100,99,99,0.898989898989899,
coref,deepseek-r1,sentiment_100,100,100,0.82,
coref,deepseek-r1,temporal_bias_100,100,100,0.91,
coref,deepseek-r1,typo_bias_100,98,98,0.8469387755102041,
coref,gpt-5-standard,active_to_passive_100,95,95,0.8842105263157894,
coref,gpt-5-standard,capitalization_100,99,99,0.9292929292929293,
coref,gpt-5-standard,casual_100,100,100,0.84,
coref,gpt-5-standard,compound_word_100,96,96,0.9270833333333334,
coref,gpt-5-standard,concept_replacement_100,100,100,0.79,
coref,gpt-5-standard,coordinating_conjunction_100,97,97,0.8865979381443299,
coref,gpt-5-standard,coref,1517,1517,,
coref,gpt-5-standard,derivation_100,98,98,0.9081632653061225,
coref,gpt-5-standard,dialectal_100,102,102,0.7549019607843137,
coref,gpt-5-standard,discourse_100,100,100,0.81,
coref,gpt-5-standard,geographical_bias_100,100,100,0.83,
coref,gpt-5-standard,grammatical_role_100,72,72,0.8194444444444444,
coref,gpt-5-standard,length_bias_100,99,99,0.9191919191919192,
coref,gpt-5-standard,negation_100,98,98,0.7653061224489796,
coref,gpt-5-standard,punctuation_100,99,99,0.9191919191919192,
coref,gpt-5-standard,sentiment_100,100,100,0.85,
coref,gpt-5-standard,temporal_bias_100,100,100,0.9,
coref,gpt-5-standard,typo_bias_100,98,98,0.826530612244898,
coref,gpt-5-standard-context-aware,active_to_passive_100,95,95,0.8631578947368421,
coref,gpt-5-standard-context-aware,capitalization_100,99,99,0.9393939393939394,
coref,gpt-5-standard-context-aware,casual_100,100,100,0.85,
coref,gpt-5-standard-context-aware,compound_word_100,96,96,0.9166666666666666,
coref,gpt-5-standard-context-aware,concept_replacement_100,100,100,0.82,
coref,gpt-5-standard-context-aware,coordinating_conjunction_100,97,97,0.8556701030927835,
coref,gpt-5-standard-context-aware,derivation_100,98,98,0.8877551020408163,
coref,gpt-5-standard-context-aware,dialectal_100,102,102,0.7745098039215687,
coref,gpt-5-standard-context-aware,discourse_100,100,100,0.8,
coref,gpt-5-standard-context-aware,geographical_bias_100,100,100,0.84,
coref,gpt-5-standard-context-aware,grammatical_role_100,72,72,0.8333333333333334,
coref,gpt-5-standard-context-aware,length_bias_100,99,99,0.9090909090909091,
coref,gpt-5-standard-context-aware,negation_100,98,98,0.7755102040816326,
coref,gpt-5-standard-context-aware,punctuation_100,99,99,0.898989898989899,
coref,gpt-5-standard-context-aware,sentiment_100,100,100,0.88,
coref,gpt-5-standard-context-aware,temporal_bias_100,100,100,0.91,
coref,gpt-5-standard-context-aware,typo_bias_100,98,98,0.8673469387755102,
coref,gpt4o,active_to_passive_100,95,95,0.8315789473684211,
coref,gpt4o,capitalization_100,99,99,0.8383838383838383,
coref,gpt4o,casual_100,100,100,0.74,
coref,gpt4o,compound_word_100,96,96,0.8333333333333334,
coref,gpt4o,concept_replacement_100,100,100,0.73,
coref,gpt4o,coordinating_conjunction_100,97,97,0.7835051546391752,
coref,gpt4o,coref,2118,2118,,
coref,gpt4o,derivation_100,98,98,0.8061224489795918,
coref,gpt4o,dialectal_100,102,102,0.6862745098039216,
