model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
claude-3-5-sonnet,active_to_passive,95.0,93.0,-2.105,-1.978,0.157,ns,False
claude-3-5-sonnet,capitalization,96.875,96.875,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,casual,98.0,98.0,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,compound_word,94.0,95.0,1.064,0.987,0.705,ns,False
claude-3-5-sonnet,concept_replacement,94.0,95.0,1.064,0.987,0.705,ns,False
claude-3-5-sonnet,coordinating_conjunction,96.0,95.0,-1.042,-0.991,0.317,ns,False
claude-3-5-sonnet,derivation,94.624,97.849,3.409,3.187,0.18,ns,False
claude-3-5-sonnet,dialectal,94.0,90.0,-4.255,-3.946,0.248,ns,False
claude-3-5-sonnet,discourse,94.253,94.253,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,geographical_bias,90.217,90.217,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,grammatical_role,95.588,94.118,-1.538,-1.456,0.655,ns,False
claude-3-5-sonnet,length_bias,92.0,96.0,4.348,3.928,0.102,ns,False
claude-3-5-sonnet,negation,94.0,70.0,-25.532,-23.678,0.0,***,True
claude-3-5-sonnet,punctuation,97.0,96.0,-1.031,-0.993,0.564,ns,False
claude-3-5-sonnet,sentiment,97.0,95.0,-2.062,-1.987,0.414,ns,False
claude-3-5-sonnet,singlish,82.075,82.075,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,temporal_bias,91.0,94.0,3.297,2.939,0.18,ns,False
claude-3-5-sonnet,typo_bias,97.0,96.0,-1.031,-0.993,0.564,ns,False
deepseek-r1-deepseek,active_to_passive,94.355,94.0,-0.376,-0.35,1.0,ns,False
deepseek-r1-deepseek,capitalization,94.355,92.708,-1.745,-1.626,0.777,ns,False
deepseek-r1-deepseek,casual,94.355,97.0,2.803,2.612,0.257,ns,False
deepseek-r1-deepseek,compound_word,94.355,93.0,-1.436,-1.338,0.763,ns,False
deepseek-r1-deepseek,concept_replacement,94.355,87.0,-7.795,-7.262,0.093,.,False
deepseek-r1-deepseek,coordinating_conjunction,94.355,90.0,-4.615,-4.3,0.3,ns,False
deepseek-r1-deepseek,derivation,94.355,95.699,1.425,1.327,0.519,ns,False
deepseek-r1-deepseek,dialectal,94.355,82.075,-13.014,-12.124,0.005,**,True
deepseek-r1-deepseek,discourse,94.355,91.954,-2.544,-2.371,0.776,ns,False
deepseek-r1-deepseek,geographical_bias,94.355,83.696,-11.297,-10.525,0.029,*,True
deepseek-r1-deepseek,grammatical_role,94.355,80.882,-14.279,-13.302,0.033,*,True
deepseek-r1-deepseek,length_bias,94.355,95.0,0.684,0.637,0.759,ns,False
deepseek-r1-deepseek,negation,94.355,80.0,-15.214,-14.174,0.003,**,True
deepseek-r1-deepseek,punctuation,94.355,96.0,1.744,1.624,0.48,ns,False
deepseek-r1-deepseek,sentiment,94.355,88.0,-6.735,-6.275,0.134,ns,False
deepseek-r1-deepseek,temporal_bias,94.355,92.0,-2.496,-2.325,0.582,ns,False
deepseek-r1-deepseek,typo_bias,94.355,93.0,-1.436,-1.338,0.763,ns,False
gpt-5-standard,active_to_passive,93.311,92.0,-1.405,-1.291,0.791,ns,False
gpt-5-standard,capitalization,93.311,94.792,1.587,1.458,0.554,ns,False
gpt-5-standard,casual,93.311,89.0,-4.62,-4.246,0.285,ns,False
gpt-5-standard,compound_word,93.311,91.0,-2.477,-2.276,0.593,ns,False
gpt-5-standard,concept_replacement,93.311,87.0,-6.764,-6.216,0.159,ns,False
gpt-5-standard,coordinating_conjunction,93.311,91.0,-2.477,-2.276,0.605,ns,False
gpt-5-standard,derivation,93.311,91.398,-2.05,-1.885,0.79,ns,False
gpt-5-standard,dialectal,93.311,78.302,-16.085,-14.784,0.002,**,True
gpt-5-standard,discourse,93.311,90.805,-2.686,-2.469,0.782,ns,False
gpt-5-standard,geographical_bias,93.311,78.261,-16.129,-14.824,0.003,**,True
gpt-5-standard,grammatical_role,93.311,82.353,-11.744,-10.794,0.131,ns,False
gpt-5-standard,length_bias,93.311,95.0,1.81,1.663,0.554,ns,False
gpt-5-standard,negation,93.311,77.0,-17.48,-16.066,0.002,**,True
gpt-5-standard,punctuation,93.311,93.0,-0.334,-0.307,1.0,ns,False
gpt-5-standard,sentiment,93.311,85.0,-8.907,-8.186,0.072,.,False
gpt-5-standard,temporal_bias,93.311,95.0,1.81,1.663,0.554,ns,False
gpt-5-standard,typo_bias,93.311,93.0,-0.334,-0.307,1.0,ns,False
gpt4o,active_to_passive,88.0,87.0,-1.136,-0.972,0.705,ns,False
gpt4o,capitalization,90.625,91.667,1.149,1.019,0.564,ns,False
gpt4o,casual,94.0,94.0,0.0,0.0,1.0,ns,False
gpt4o,compound_word,96.0,94.0,-2.083,-1.982,0.317,ns,False
gpt4o,concept_replacement,89.0,89.0,0.0,0.0,1.0,ns,False
gpt4o,coordinating_conjunction,95.0,93.0,-2.105,-1.978,0.414,ns,False
gpt4o,derivation,96.774,92.473,-4.444,-4.27,0.046,*,True
gpt4o,dialectal,89.0,88.0,-1.124,-0.975,0.739,ns,False
gpt4o,discourse,88.506,89.655,1.299,1.119,0.564,ns,False
gpt4o,geographical_bias,90.217,88.043,-2.41,-2.125,0.564,ns,False
