model,modification,original_acc,modified_acc,weighted_delta,absolute_change,rate_of_change,unrobustness,p_value,significance,abs_p_value,abs_significance
llama,concept_replacement,96.0,96.0,0.0,0.0,0.0,2.0,1.0,ns,,n/a
gpt-5-standard-context-aware,geographical_bias,93.0,92.0,-0.9842414742769675,1.0,1.0,5.0,0.6547208460185769,ns,,n/a
llama,negation,92.70833333333334,83.33333333333334,-9.220869251275051,9.375,9.375,15.625,0.020136751550346346,*,,n/a
llama,temporal_bias,95.0,94.0,-0.9888618026444239,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
gpt4o,coordinating_conjunction,94.0,93.0,-0.9865639267998493,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
llama,grammatical_role,93.93939393939394,95.45454545454545,1.4945816317851406,1.5151515151515156,1.5151515151515156,4.545454545454546,0.5637028616507731,ns,,n/a
gpt4o,grammatical_role,90.9090909090909,92.42424242424242,1.4837934203346783,1.5151515151515156,1.5151515151515156,4.545454545454546,0.5637028616507731,ns,,n/a
gpt-5-standard-context-aware,compound_word,97.89473684210527,96.84210526315789,-1.0477680754026932,1.0526315789473841,1.0526315789473841,3.1578947368421053,0.5637028616507731,ns,,n/a
llama,discourse,90.9090909090909,91.91919191919192,0.9891956135564522,1.0101010101010104,1.0101010101010104,3.0303030303030303,0.5637028616507731,ns,,n/a
deepseek-r1-deepseek,temporal_bias,94.0,93.0,-0.9865639267998493,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
llama,coordinating_conjunction,97.0,96.0,-0.9933858671331224,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
claude,geographical_bias,90.0,92.0,1.954242509439325,2.0,2.0,8.0,0.47950012218695337,ns,,n/a
gpt-5-standard-context-aware,discourse,91.91919191919192,89.8989898989899,-1.9832385835591357,2.0202020202020208,2.0202020202020208,4.040404040404041,0.31731050786291415,ns,,n/a
