model,modification,original_acc,modified_acc,weighted_delta,absolute_change,rate_of_change,unrobustness,p_value,significance,abs_p_value,abs_significance
llama,concept_replacement,97.0,95.0,-1.9867717342662448,2.0,2.0,2.0,0.15729920705028505,ns,,n/a
gpt-5-standard-context-aware,geographical_bias,91.30434782608695,76.08695652173914,-14.916782838058994,15.217391304347814,15.217391304347814,17.391304347826086,0.00046525815807105003,***,,n/a
llama,negation,94.0,64.0,-29.596917803995478,30.0,30.0,30.0,1.862645149230957e-09,***,,n/a
llama,temporal_bias,92.0,91.0,-0.9818939136727777,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
gpt4o,coordinating_conjunction,95.0,93.0,-1.9777236052888478,2.0,2.0,6.0,0.4142161782425253,ns,,n/a
llama,grammatical_role,95.58823529411765,86.76470588235294,-8.737078429132149,8.82352941176471,8.82352941176471,11.76470588235294,0.03389485352468924,*,,n/a
gpt4o,grammatical_role,91.17647058823529,79.41176470588235,-11.528722216423633,11.764705882352942,11.764705882352942,20.588235294117645,0.032509444645719525,*,,n/a
gpt-5-standard-context-aware,compound_word,94.0,90.0,-3.946255707199397,4.0,4.0,6.0,0.10247043485974945,ns,,n/a
llama,discourse,95.40229885057471,91.95402298850574,-3.4130324823404425,3.448275862068968,3.448275862068968,3.4482758620689653,0.08326451666355039,.,,n/a
deepseek-r1-deepseek,temporal_bias,95.0,95.0,0.0,0.0,0.0,2.0,1.0,ns,,n/a
llama,coordinating_conjunction,99.0,97.0,-1.99563519459755,2.0,2.0,2.0,0.15729920705028505,ns,,n/a
claude,geographical_bias,90.21739130434783,90.21739130434783,0.0,0.0,0.0,15.217391304347828,1.0,ns,,n/a
gpt-5-standard-context-aware,discourse,93.10344827586206,95.40229885057471,2.2631790416781983,2.2988505747126453,2.2988505747126453,2.2988505747126435,0.15729920705028505,ns,,n/a
llama,geographical_bias,91.30434782608695,85.86956521739131,-5.32742244216392,5.434782608695642,5.434782608695642,11.956521739130435,0.13166801602281422,ns,,n/a
gpt4o,geographical_bias,90.21739130434783,88.04347826086956,-2.125315505467959,2.173913043478265,2.173913043478265,13.043478260869565,0.5637028616507731,ns,,n/a
deepseek-r1-deepseek,derivation,96.7741935483871,94.6236559139785,-2.1352253342853706,2.1505376344086073,2.1505376344086073,6.451612903225806,0.4142161782425253,ns,,n/a
gpt-5-standard,derivation,93.54838709677419,94.6236559139785,1.0596969376691872,1.0752688172043037,1.0752688172043037,5.376344086021505,0.6547208460185769,ns,,n/a
claude,discourse,94.25287356321839,94.25287356321839,0.0,0.0,0.0,2.2988505747126435,1.0,ns,,n/a
gpt4o,capitalization,90.625,91.66666666666666,1.0194000101974126,1.0416666666666572,1.0416666666666572,3.125,0.5637028616507731,ns,,n/a
claude,concept_replacement,94.0,95.0,0.9865639267998493,1.0,1.0,7.000000000000001,0.7054569861112734,ns,,n/a
llama,punctuation,91.0,90.0,-0.9795206961605468,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
deepseek-r1-deepseek,sentiment,97.0,90.0,-6.953701069931856,7.0,7.0,11.0,0.034808478811867126,*,,n/a
llama,length_bias,92.0,91.0,-0.9818939136727777,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
deepseek-r1-deepseek,typo_bias,99.0,95.0,-3.9912703891951,4.0,4.0,6.0,0.10247043485974945,ns,,n/a
llama,capitalization,95.83333333333334,95.83333333333334,0.0,0.0,0.0,2.083333333333333,1.0,ns,,n/a
gpt-5-standard,coordinating_conjunction,93.0,89.0,-3.93696589710787,4.0,4.0,4.0,0.045500263896358396,*,,n/a
