modification,display,category,sa_std,sa_ctx,coref_std,coref_ctx,dialogue_std,dialogue_ctx,ner_std,ner_ctx,gsm_std,gsm_ctx,ifeval_std,ifeval_ctx
sentiment,Appraisal,Discourse,11.0,11.0,5.0,2.0,10.0,10.0,7.094698436161851,4.397341592463544,1.0,1.0,9.0,10.0
capitalization,Capitalization,Orthography,0.0,0.0,2.0202020202020203,1.0101010101010102,4.166666666666666,0.0,9.13907203907204,5.457326007326008,1.0,1.0,9.0,7.000000000000001
compound_word,Compound,Morphology,3.1578947368421053,3.1578947368421053,3.125,3.125,8.0,6.0,6.989654212636429,4.323659696436715,,,,
concept_replacement,Concept,Semantics,1.0,1.0,10.0,13.0,10.0,5.0,8.488527812057223,5.12091503267974,2.0,1.0,7.000000000000001,13.0
coordinating_conjunction,Conjunction,Syntax,0.0,0.0,5.154639175257731,4.123711340206185,4.0,5.0,11.736986896099724,7.799702440493183,1.0,1.0,8.0,10.0
derivation,Derivation,Morphology,3.4482758620689653,4.597701149425287,5.1020408163265305,3.061224489795918,5.376344086021505,8.60215053763441,9.531016487538226,4.318539753322362,,,,
dialectal,Dialect,Varieties,2.941176470588235,1.96078431372549,2.941176470588235,4.901960784313726,5.660377358490567,3.7735849056603774,7.022127178377179,7.180253195878197,1.0,2.0,11.0,9.0
discourse,Disc. markers,Discourse,2.0202020202020203,4.040404040404041,9.0,12.0,5.747126436781609,2.2988505747126435,6.289299898368526,7.281795823462492,,,,
geographical_bias,Geographical,Bias,4.0,5.0,6.0,10.0,18.47826086956521,17.391304347826086,22.023784558386637,22.33983016854989,1.0,3.0,9.0,9.0
grammatical_role,Grammar,Syntax,4.545454545454546,4.545454545454546,16.666666666666664,13.88888888888889,16.176470588235293,17.647058823529413,10.77209938655722,7.117554466952058,,,,
length_bias,Length,Bias,1.0,2.0,8.080808080808081,8.080808080808081,6.0,5.0,9.710431654165667,7.837385334188404,0.0,3.0,6.0,8.0
negation,Negation,Semantics,16.666666666666664,16.666666666666664,22.448979591836736,20.40816326530612,25.0,28.000000000000004,10.508047508047508,7.508723349702804,7.000000000000001,11.0,23.0,18.0
punctuation,Punctuation,Orthography,1.0,1.0,2.0202020202020203,1.0101010101010102,5.0,3.0,7.795403615991852,7.705311355311355,1.0,3.0,9.0,11.0
typo_bias,Spelling,Orthography,0.0,1.0,7.142857142857142,3.061224489795918,1.0,4.0,7.3110601816484175,4.800549450549451,1.0,2.0,9.0,11.0
casual,Style,Varieties,3.0,3.0,14.000000000000002,11.0,6.0,7.000000000000001,7.432372602019408,7.514408360746896,4.0,4.0,8.0,14.000000000000002
temporal_bias,Temporal,Bias,3.0,2.0,3.0,1.0,3.0,3.0,7.717959695981674,5.426478283621141,0.0,1.0,6.0,8.0
active_to_passive,Voice,Syntax,5.0,4.0,9.473684210526317,9.473684210526317,9.0,9.0,8.323360452990082,8.909206463672694,1.0,1.0,6.0,12.0
