model,modification,original_acc,modified_acc,weighted_delta,absolute_change,rate_of_change,unrobustness,p_value,significance,abs_p_value,abs_significance
llama,concept_replacement,76.0,75.0,-0.9404067961403957,1.0,1.0,9.0,0.7388826803635273,ns,,n/a
gpt-5-standard-context-aware,geographical_bias,90.0,84.0,-5.862727528317975,6.0,6.0,10.0,0.05777957112359726,.,,n/a
llama,negation,79.59183673469387,71.42857142857143,-7.758647048971361,8.16326530612244,8.16326530612244,22.448979591836736,0.0880815116621903,.,,n/a
llama,temporal_bias,79.0,78.0,-0.9488135456452207,1.0,1.0,7.000000000000001,0.7054569861112734,ns,,n/a
gpt4o,coordinating_conjunction,80.41237113402062,78.35051546391753,-1.9642503798187927,2.0618556701030855,2.0618556701030855,8.24742268041237,0.47950012218695337,ns,,n/a
llama,grammatical_role,83.33333333333334,83.33333333333334,0.0,0.0,0.0,19.444444444444446,1.0,ns,,n/a
gpt4o,grammatical_role,88.88888888888889,83.33333333333334,-5.413465215423929,5.555555555555543,5.555555555555543,22.22222222222222,0.31731050786291415,ns,,n/a
gpt-5-standard-context-aware,compound_word,94.79166666666666,91.66666666666666,-3.088703373877383,3.125,3.125,3.125,0.08326451666355039,.,,n/a
llama,discourse,79.0,76.0,-2.846440636935662,3.0,3.0,7.000000000000001,0.25683925795785656,ns,,n/a
deepseek-r1-deepseek,temporal_bias,91.0,91.0,0.0,0.0,0.0,8.0,1.0,ns,,n/a
llama,coordinating_conjunction,80.41237113402062,79.38144329896907,-0.9821251899093963,1.0309278350515427,1.0309278350515427,7.216494845360824,0.7054569861112734,ns,,n/a
claude,geographical_bias,83.0,83.0,0.0,0.0,0.0,4.0,1.0,ns,,n/a
gpt-5-standard-context-aware,discourse,86.0,80.0,-5.803495353730703,6.0,6.0,12.0,0.08326451666355039,.,,n/a
llama,geographical_bias,78.0,77.0,-0.9460473013452402,1.0,1.0,5.0,0.6547208460185769,ns,,n/a
gpt4o,geographical_bias,77.0,73.0,-3.7729814503449637,4.0,4.0,10.0,0.2059032107320683,ns,,n/a
deepseek-r1-deepseek,derivation,89.79591836734694,89.79591836734694,0.0,0.0,0.0,2.0408163265306123,1.0,ns,,n/a
gpt-5-standard,derivation,89.79591836734694,90.81632653061224,0.9965594879886045,1.0204081632653015,1.0204081632653015,5.1020408163265305,0.6547208460185769,ns,,n/a
claude,discourse,85.0,83.0,-1.9294189257142926,2.0,2.0,10.0,0.5270892568655381,ns,,n/a
gpt4o,capitalization,82.82828282828282,83.83838383838383,0.9687770998920037,1.0101010101010104,1.0101010101010104,7.07070707070707,0.7054569861112734,ns,,n/a
claude,concept_replacement,78.0,74.0,-3.7841892053809607,4.0,4.0,18.0,0.3457785861511603,ns,,n/a
llama,punctuation,77.77777777777779,76.76767676767676,-0.9549775406944238,1.0101010101010246,1.0101010101010246,1.0101010101010102,0.31731050786291415,ns,,n/a
deepseek-r1-deepseek,sentiment,83.0,82.0,-0.959539046188037,1.0,1.0,7.000000000000001,0.7054569861112734,ns,,n/a
llama,length_bias,83.83838383838383,86.86868686868688,2.914307420876566,3.0303030303030454,3.0303030303030454,17.17171717171717,0.46685427082272546,ns,,n/a
deepseek-r1-deepseek,typo_bias,82.6530612244898,84.6938775510204,1.9563866767205573,2.040816326530603,2.040816326530603,4.081632653061225,0.31731050786291415,ns,,n/a
llama,capitalization,77.77777777777779,82.82828282828282,4.7748877034720385,5.050505050505038,5.050505050505038,5.05050505050505,0.025347318677468256,*,,n/a
gpt-5-standard,coordinating_conjunction,89.69072164948454,88.65979381443299,-1.0065708857486566,1.030927835051557,1.030927835051557,5.154639175257731,0.6547208460185769,ns,,n/a
deepseek-r1-deepseek,dialectal,76.47058823529412,67.64705882352942,-8.309534254096592,8.823529411764696,8.823529411764696,12.745098039215685,0.01255491859696655,*,,n/a
gpt4o,discourse,74.0,73.0,-0.9346158598654881,1.0,1.0,19.0,0.8185458083820434,ns,,n/a
claude,active_to_passive,89.47368421052632,88.42105263157895,-1.0272080633818146,1.05263157894737,1.05263157894737,15.789473684210526,0.7962534147376392,ns,,n/a
gpt-5-standard-context-aware,coordinating_conjunction,89.69072164948454,85.56701030927834,-4.026283542994598,4.123711340206199,4.123711340206199,4.123711340206185,0.045500263896358396,*,,n/a
gpt-5-standard-context-aware,active_to_passive,91.57894736842105,86.31578947368422,-5.162620124552022,5.263157894736835,5.263157894736835,9.473684210526317,0.09558070454562939,.,,n/a
gpt4o,casual,79.0,74.0,-4.744067728226104,5.0,5.0,19.0,0.25134910881022265,ns,,n/a
claude,capitalization,86.86868686868688,86.86868686868688,0.0,0.0,0.0,4.040404040404041,1.0,ns,,n/a
gpt-5-standard-context-aware,derivation,89.79591836734694,88.77551020408163,-0.9965594879886184,1.0204081632653157,1.0204081632653157,3.061224489795918,0.5637028616507731,ns,,n/a
deepseek-r1-deepseek,capitalization,84.84848484848484,84.84848484848484,0.0,0.0,0.0,6.0606060606060606,1.0,ns,,n/a
deepseek-r1-deepseek,negation,81.63265306122449,71.42857142857143,-9.754407710711469,10.204081632653057,10.204081632653057,30.612244897959183,0.06788915486182899,.,,n/a
claude,negation,78.57142857142857,74.48979591836735,-3.8678870397550713,4.08163265306122,4.08163265306122,24.489795918367346,0.4142161782425251,ns,,n/a
gpt-5-standard,punctuation,91.91919191919192,91.91919191919192,0.0,0.0,0.0,2.0202020202020203,1.0,ns,,n/a
