model,negation_type,original_acc,modified_acc,weighted_delta,absolute_change,rate_of_change,unrobustness,sample_size,p_value,significance,abs_p_value,abs_significance
llama,verbal,100.0,72.22222222222221,-27.777777777777786,27.777777777777786,27.777777777777786,27.77777777777778,18,0.025347318677468256,*,,n/a
llama,lexical,87.5,56.25,-30.343875828473642,31.25,31.25,31.25,32,0.0015654022580025482,**,,n/a
llama,double,90.9090909090909,45.45454545454545,-44.51380261004034,45.45454545454545,45.45454545454545,45.45454545454545,11,0.0625,.,,n/a
llama,approximate,96.15384615384616,76.92307692307693,-19.06698712212711,19.230769230769226,19.230769230769226,19.230769230769234,26,0.025347318677468256,*,,n/a
llama,absolute,100.0,61.53846153846154,-38.46153846153846,38.46153846153846,38.46153846153846,38.46153846153847,13,0.0625,.,,n/a
deepseek-r1-deepseek,verbal,94.44444444444444,55.55555555555556,-38.40620809423548,38.888888888888886,38.888888888888886,38.88888888888889,18,0.008150971593502702,**,,n/a
deepseek-r1-deepseek,lexical,90.625,78.125,-12.232800122369063,12.5,12.5,18.75,32,0.10247043485974945,ns,,n/a
deepseek-r1-deepseek,double,81.81818181818183,81.81818181818183,0.0,0.0,0.0,36.36363636363637,11,1.0,ns,,n/a
deepseek-r1-deepseek,approximate,80.76923076923077,57.692307692307686,-22.006684001112717,23.076923076923087,23.076923076923087,53.84615384615385,26,0.10880943004054569,ns,,n/a
deepseek-r1-deepseek,absolute,100.0,69.23076923076923,-30.769230769230774,30.769230769230774,30.769230769230774,30.76923076923077,13,0.125,ns,,n/a
claude,verbal,88.88888888888889,83.33333333333334,-5.413465215423929,5.555555555555543,5.555555555555543,27.77777777777778,18,0.6547208460185769,ns,,n/a
claude,lexical,87.5,59.375,-27.30948824562628,28.125,28.125,34.375,32,0.006655605482949377,**,,n/a
claude,double,100.0,63.63636363636363,-36.36363636363637,36.36363636363637,36.36363636363637,36.36363636363637,11,0.125,ns,,n/a
claude,approximate,100.0,76.92307692307693,-23.076923076923066,23.076923076923066,23.076923076923066,23.076923076923077,26,0.014305878435429647,*,,n/a
claude,absolute,100.0,69.23076923076923,-30.769230769230774,30.769230769230774,30.769230769230774,30.76923076923077,13,0.125,ns,,n/a
gpt-5-standard,verbal,88.88888888888889,66.66666666666666,-21.65386086169577,22.22222222222223,22.22222222222223,33.33333333333333,18,0.10247043485974945,ns,,n/a
gpt-5-standard,lexical,93.75,81.25,-12.324820477498479,12.5,12.5,25.0,32,0.15729920705028505,ns,,n/a
gpt-5-standard,double,100.0,81.81818181818183,-18.181818181818173,18.181818181818173,18.181818181818173,18.181818181818183,11,0.5,ns,,n/a
gpt-5-standard,approximate,92.3076923076923,65.38461538461539,-26.45512549266445,26.92307692307692,26.92307692307692,34.61538461538461,26,0.019630657257290667,*,,n/a
gpt-5-standard,absolute,100.0,100.0,0.0,0.0,0.0,0.0,13,1.0,ns,,n/a
gpt-5-standard-context-aware,verbal,88.88888888888889,66.66666666666666,-21.65386086169577,22.22222222222223,22.22222222222223,33.33333333333333,18,0.10247043485974945,ns,,n/a
gpt-5-standard-context-aware,lexical,93.75,71.875,-21.56843583562234,21.875,21.875,34.375,32,0.034808478811867126,*,,n/a
gpt-5-standard-context-aware,double,100.0,81.81818181818183,-18.181818181818173,18.181818181818173,18.181818181818173,18.181818181818183,11,0.5,ns,,n/a
gpt-5-standard-context-aware,approximate,92.3076923076923,61.53846153846154,-30.234429134473658,30.769230769230766,30.769230769230766,30.76923076923077,26,0.004677734981047257,**,,n/a
gpt-5-standard-context-aware,absolute,100.0,92.3076923076923,-7.692307692307693,7.692307692307693,7.692307692307693,7.6923076923076925,13,1.0,ns,,n/a
gpt4o,verbal,94.44444444444444,100.0,5.486601156319357,5.555555555555557,5.555555555555557,5.555555555555555,18,0.31731050786291415,ns,,n/a
gpt4o,lexical,84.375,53.125,-30.097090403735645,31.25,31.25,37.5,32,0.0038924171227786276,**,,n/a
gpt4o,double,81.81818181818183,63.63636363636363,-17.389543857100918,18.181818181818194,18.181818181818194,54.54545454545454,11,0.6875,ns,,n/a
gpt4o,approximate,92.3076923076923,76.92307692307693,-15.117214567236818,15.384615384615373,15.384615384615373,23.076923076923077,26,0.10247043485974945,ns,,n/a
gpt4o,absolute,92.3076923076923,61.53846153846154,-30.234429134473658,30.769230769230766,30.769230769230766,46.15384615384615,13,0.21875,ns,,n/a
