model,negation_type,original_acc,modified_acc,weighted_delta,absolute_change,rate_of_change,unrobustness,sample_size,p_value,significance,abs_p_value,abs_significance
llama,verbal,94.73684210526315,89.47368421052632,-5.201365537238091,5.263157894736835,5.263157894736835,15.789473684210526,19,0.5637028616507731,ns,,n/a
llama,lexical,100.0,100.0,0.0,0.0,0.0,0.0,15,1.0,ns,,n/a
llama,double,100.0,90.0,-10.0,10.0,10.0,10.0,20,0.15729920705028505,ns,,n/a
llama,approximate,81.48148148148148,66.66666666666666,-14.155991975283113,14.814814814814824,14.814814814814824,22.22222222222222,27,0.10247043485974945,ns,,n/a
llama,absolute,93.33333333333333,80.0,-13.13357851081704,13.333333333333329,13.333333333333329,26.666666666666668,15,0.31731050786291415,ns,,n/a
deepseek-r1-deepseek,verbal,94.73684210526315,94.73684210526315,0.0,0.0,0.0,10.526315789473683,19,1.0,ns,,n/a
deepseek-r1-deepseek,lexical,100.0,93.33333333333333,-6.666666666666671,6.666666666666671,6.666666666666671,6.666666666666667,15,0.31731050786291415,ns,,n/a
deepseek-r1-deepseek,double,95.0,70.0,-24.721545066110597,25.0,25.0,35.0,20,0.05878172135535887,.,,n/a
deepseek-r1-deepseek,approximate,77.77777777777779,62.96296296296296,-14.006337263518024,14.814814814814824,14.814814814814824,14.814814814814813,27,0.045500263896358396,*,,n/a
deepseek-r1-deepseek,absolute,86.66666666666667,80.0,-6.459506977503857,6.666666666666671,6.666666666666671,20.0,15,0.5637028616507731,ns,,n/a
claude,verbal,89.47368421052632,78.94736842105263,-10.272080633818133,10.526315789473685,10.526315789473685,21.052631578947366,19,0.31731050786291415,ns,,n/a
claude,lexical,100.0,100.0,0.0,0.0,0.0,0.0,15,1.0,ns,,n/a
claude,double,95.0,60.0,-34.610163092554835,35.0,35.0,35.0,20,0.008150971593502702,**,,n/a
claude,approximate,81.48148148148148,66.66666666666666,-14.155991975283113,14.814814814814824,14.814814814814824,14.814814814814813,27,0.045500263896358396,*,,n/a
claude,absolute,86.66666666666667,86.66666666666667,0.0,0.0,0.0,13.333333333333334,15,1.0,ns,,n/a
gpt-5-standard,verbal,94.73684210526315,94.73684210526315,0.0,0.0,0.0,10.526315789473683,19,1.0,ns,,n/a
gpt-5-standard,lexical,100.0,100.0,0.0,0.0,0.0,0.0,15,1.0,ns,,n/a
gpt-5-standard,double,100.0,80.0,-20.0,20.0,20.0,20.0,20,0.045500263896358396,*,,n/a
gpt-5-standard,approximate,81.48148148148148,62.96296296296296,-17.69498996910388,18.51851851851852,18.51851851851852,25.925925925925924,27,0.05878172135535887,.,,n/a
gpt-5-standard,absolute,86.66666666666667,80.0,-6.459506977503857,6.666666666666671,6.666666666666671,20.0,15,0.5637028616507731,ns,,n/a
gpt-5-standard-context-aware,verbal,94.73684210526315,94.73684210526315,0.0,0.0,0.0,10.526315789473683,19,1.0,ns,,n/a
gpt-5-standard-context-aware,lexical,100.0,100.0,0.0,0.0,0.0,0.0,15,1.0,ns,,n/a
gpt-5-standard-context-aware,double,100.0,85.0,-15.0,15.0,15.0,15.0,20,0.08326451666355039,.,,n/a
gpt-5-standard-context-aware,approximate,81.48148148148148,74.07407407407408,-7.0779959876415495,7.407407407407405,7.407407407407405,22.22222222222222,27,0.4142161782425253,ns,,n/a
gpt-5-standard-context-aware,absolute,86.66666666666667,80.0,-6.459506977503857,6.666666666666671,6.666666666666671,33.33333333333333,15,0.6547208460185769,ns,,n/a
gpt4o,verbal,94.73684210526315,73.68421052631578,-20.805462148952394,21.05263157894737,21.05263157894737,21.052631578947366,19,0.045500263896358396,*,,n/a
gpt4o,lexical,93.33333333333333,100.0,6.566789255408527,6.666666666666671,6.666666666666671,6.666666666666667,15,0.31731050786291415,ns,,n/a
gpt4o,double,90.0,70.0,-19.54242509439325,20.0,20.0,20.0,20,0.045500263896358396,*,,n/a
gpt4o,approximate,74.07407407407408,66.66666666666666,-6.924689746314803,7.407407407407419,7.407407407407419,14.814814814814813,27,0.31731050786291415,ns,,n/a
gpt4o,absolute,80.0,73.33333333333333,-6.34363328997315,6.666666666666671,6.666666666666671,20.0,15,0.5637028616507731,ns,,n/a
