model,modification,task,model_type,accuracy,total_samples,filename
llama,concept_replacement,coref,llm,0.0,100,llama-0shot-concept_replacement_100
claude,singlish,coref,llm,0.0,102,claude-3-5-sonnet-0shot-singlish_100
mixtral,length_bias,coref,llm,0.0,100,mixtral-0shot-length_bias_100
llama,negation,coref,llm,0.0,98,llama-0shot-negation_100
llama,temporal_bias,coref,llm,0.0,100,llama-0shot-temporal_bias_100
mixtral,punctuation,coref,llm,0.0,100,mixtral-0shot-punctuation_100
gpt4o,coordinating_conjunction,coref,llm,0.0,97,gpt4o-0shot-coordinating_conjunction_100
llama,grammatical_role,coref,llm,0.0,72,llama-0shot-grammatical_role_100
gpt4o,grammatical_role,coref,llm,0.0,72,gpt4o-0shot-grammatical_role_100
llama,discourse,coref,llm,0.0,100,llama-0shot-discourse_100
deepseek-r1,temporal_bias,coref,llm,0.0,100,deepseek-r1-deepseek-0shot-temporal_bias_100
llama,coordinating_conjunction,coref,llm,0.0,97,llama-0shot-coordinating_conjunction_100
claude,geographical_bias,coref,llm,0.0,100,claude-3-5-sonnet-0shot-geographical_bias_100
mixtral,discourse,coref,llm,0.0,100,mixtral-0shot-discourse_100
mixtral,temporal_bias,coref,llm,0.0,100,mixtral-0shot-temporal_bias_100
gpt4o,coref_punctuation,coref,llm,0.0,100,gpt4o-0shot-coref_punctuation
mixtral,coordinating_conjunction,coref,llm,0.0,100,mixtral-0shot-coordinating_conjunction_100
llama,geographical_bias,coref,llm,0.0,100,llama-0shot-geographical_bias_100
gpt4o,geographical_bias,coref,llm,0.0,100,gpt4o-0shot-geographical_bias_100
gpt-5,derivation,coref,llm,0.0,98,gpt-5-standard-0shot-derivation_100
gpt4o,cot-coref_punctuation,coref,llm,0.0,100,gpt4o-0shot-cot-coref_punctuation
claude,discourse,coref,llm,0.0,100,claude-3-5-sonnet-0shot-discourse_100
gpt4o,capitalization,coref,llm,0.0,99,gpt4o-0shot-capitalization_100
claude,concept_replacement,coref,llm,0.0,100,claude-3-5-sonnet-0shot-concept_replacement_100
llama,punctuation,coref,llm,0.0,99,llama-0shot-punctuation_100
deepseek-r1,sentiment,coref,llm,0.0,100,deepseek-r1-deepseek-0shot-sentiment_100
gpt4o,coref_typo_bias,coref,llm,0.0,100,gpt4o-0shot-coref_typo_bias
llama,length_bias,coref,llm,0.0,99,llama-0shot-length_bias_100
gpt4o,cot-coref_typo_bias,coref,llm,0.0,100,gpt4o-0shot-cot-coref_typo_bias
deepseek-r1,typo_bias,coref,llm,0.0,98,deepseek-r1-deepseek-0shot-typo_bias_100
mixtral,capitalization,coref,llm,0.0,100,mixtral-0shot-capitalization_100
llama,capitalization,coref,llm,0.0,99,llama-0shot-capitalization_100
gpt-5,coordinating_conjunction,coref,llm,0.0,97,gpt-5-standard-0shot-coordinating_conjunction_100
deepseek-r1,dialectal,coref,llm,0.0,100,deepseek-r1-deepseek-0shot-dialectal_100
gpt4o,discourse,coref,llm,0.0,100,gpt4o-0shot-discourse_100
mixtral,coref,coref,llm,61.095372993389994,2118,mixtral-8x22b-0shot-coref
claude,active_to_passive,coref,llm,0.0,95,claude-3-5-sonnet-0shot-active_to_passive_100
gpt4o,casual,coref,llm,0.0,100,gpt4o-0shot-casual_100
claude,capitalization,coref,llm,0.0,99,claude-3-5-sonnet-0shot-capitalization_100
mixtral,compound_word,coref,llm,0.0,96,mixtral-0shot-compound_word_100
llama,coref,coref,llm,0.0,2118,llama-0shot-coref
deepseek-r1,capitalization,coref,llm,0.0,99,deepseek-r1-deepseek-0shot-capitalization_100
llama,singlish,coref,llm,0.0,102,llama-0shot-singlish_100
claude,negation,coref,llm,0.0,98,claude-3-5-sonnet-0shot-negation_100
gpt-5,punctuation,coref,llm,0.0,99,gpt-5-standard-0shot-punctuation_100
gpt-5,length_bias,coref,llm,0.0,99,gpt-5-standard-0shot-length_bias_100
deepseek-r1,compound_word,coref,llm,0.0,96,deepseek-r1-deepseek-0shot-compound_word_100
mixtral,negation,coref,llm,0.0,96,mixtral-0shot-negation_100
gpt-5,discourse,coref,llm,0.0,100,gpt-5-standard-0shot-discourse_100
gpt4o,coref_capitalization,coref,llm,0.0,100,gpt4o-0shot-coref_capitalization
llama,active_to_passive,coref,llm,0.0,95,llama-0shot-active_to_passive_100
claude,grammatical_role,coref,llm,0.0,72,claude-3-5-sonnet-0shot-grammatical_role_100
gpt4o,cot-coref,coref,llm,78.18696883852692,2118,gpt4o-0shot-cot-coref
deepseek-r1,coordinating_conjunction,coref,llm,0.0,97,deepseek-r1-deepseek-0shot-coordinating_conjunction_100
llama,compound_word,coref,llm,0.0,96,llama-0shot-compound_word_100
deepseek-r1,length_bias,coref,llm,0.0,99,deepseek-r1-deepseek-0shot-length_bias_100
gpt4o,active_to_passive,coref,llm,0.0,95,gpt4o-0shot-active_to_passive_100
mixtral,coref,coref,llm,60.9537299338999,2118,mixtral-0shot-coref
gpt4o,cot-coref_capitalization,coref,llm,0.0,100,gpt4o-0shot-cot-coref_capitalization
claude,cot-coref,coref,llm,0.0,2117,claude-3-5-sonnet-0shot-cot-coref
gpt4o,derivation,coref,llm,0.0,98,gpt4o-0shot-derivation_100
llama,dialectal,coref,llm,0.0,100,llama-0shot-dialectal_100
gpt4o,singlish,coref,llm,0.0,102,gpt4o-0shot-singlish_100
gpt-5,sentiment,coref,llm,0.0,100,gpt-5-standard-0shot-sentiment_100
gpt-5,coref,coref,llm,82.92682926829268,1517,gpt-5-standard-0shot-coref
llama,typo_bias,coref,llm,0.0,98,llama-0shot-typo_bias_100
gpt4o,temporal_bias,coref,llm,0.0,100,gpt4o-0shot-temporal_bias_100
deepseek-r1,coref,coref,llm,81.47659854976929,1517,deepseek-r1-deepseek-0shot-coref
claude,punctuation,coref,llm,0.0,99,claude-3-5-sonnet-0shot-punctuation_100
gpt4o,cot-coref-casual,coref,llm,70.19867549668875,151,gpt4o-0shot-cot-coref-casual
claude,length_bias,coref,llm,0.0,99,claude-3-5-sonnet-0shot-length_bias_100
claude,temporal_bias,coref,llm,0.0,100,claude-3-5-sonnet-0shot-temporal_bias_100
gpt-5,negation,coref,llm,0.0,98,gpt-5-standard-0shot-negation_100
mixtral,typo_bias,coref,llm,0.0,100,mixtral-0shot-typo_bias_100
gpt-5,capitalization,coref,llm,0.0,99,gpt-5-standard-0shot-capitalization_100
mixtral,geographical_bias,coref,llm,0.0,100,mixtral-0shot-geographical_bias_100
gpt-5,compound_word,coref,llm,0.0,96,gpt-5-standard-0shot-compound_word_100
mixtral,dialectal,coref,llm,0.0,100,mixtral-0shot-dialectal_100
gpt-5,active_to_passive,coref,llm,0.0,95,gpt-5-standard-0shot-active_to_passive_100
claude,typo_bias,coref,llm,0.0,98,claude-3-5-sonnet-0shot-typo_bias_100
gpt4o,sentiment,coref,llm,0.0,100,gpt4o-0shot-sentiment_100
deepseek-r1,concept_replacement,coref,llm,0.0,100,deepseek-r1-deepseek-0shot-concept_replacement_100
mixtral,cot-coref,coref,llm,0.0,2118,mixtral-8x22b-0shot-cot-coref
claude,dialectal,coref,llm,0.0,100,claude-3-5-sonnet-0shot-dialectal_100
gpt4o,punctuation,coref,llm,0.0,99,gpt4o-0shot-punctuation_100
gpt-5,grammatical_role,coref,llm,0.0,72,gpt-5-standard-0shot-grammatical_role_100
gpt4o,length_bias,coref,llm,0.0,99,gpt4o-0shot-length_bias_100
gpt4o,coref,coref,llm,73.46553352219075,2118,gpt4o-0shot-coref
mixtral,grammatical_role,coref,llm,0.0,47,mixtral-0shot-grammatical_role_100
gpt4o,dialectal,coref,llm,0.0,100,gpt4o-0shot-dialectal_100
llama,casual,coref,llm,0.0,100,llama-0shot-casual_100
gpt-5,concept_replacement,coref,llm,0.0,100,gpt-5-standard-0shot-concept_replacement_100
claude,3-5-sonnet-DP,coref,llm,0.0,18,claude-3-5-sonnet-DP
deepseek-r1,discourse,coref,llm,0.0,100,deepseek-r1-deepseek-0shot-discourse_100
gpt4o,cot-coref-active_to_passive,coref,llm,64.46280991735537,121,gpt4o-0shot-cot-coref-active_to_passive
mixtral,concept_replacement,coref,llm,0.0,100,mixtral-0shot-concept_replacement_100
gpt4o,typo_bias,coref,llm,0.0,98,gpt4o-0shot-typo_bias_100
claude,sentiment,coref,llm,0.0,100,claude-3-5-sonnet-0shot-sentiment_100
claude,coordinating_conjunction,coref,llm,0.0,97,claude-3-5-sonnet-0shot-coordinating_conjunction_100
llama,derivation,coref,llm,0.0,98,llama-0shot-derivation_100
gpt-5,temporal_bias,coref,llm,0.0,100,gpt-5-standard-0shot-temporal_bias_100
mixtral,derivation,coref,llm,0.0,100,mixtral-0shot-derivation_100
mixtral,sentiment,coref,llm,0.0,100,mixtral-0shot-sentiment_100
claude,compound_word,coref,llm,0.0,96,claude-3-5-sonnet-0shot-compound_word_100
claude,casual,coref,llm,0.0,100,claude-3-5-sonnet-0shot-casual_100
mixtral,casual,coref,llm,0.0,100,mixtral-0shot-casual_100
deepseek-r1,grammatical_role,coref,llm,0.0,72,deepseek-r1-deepseek-0shot-grammatical_role_100
gpt4o,negation,coref,llm,0.0,98,gpt4o-0shot-negation_100
gpt4o,concept_replacement,coref,llm,0.0,100,gpt4o-0shot-concept_replacement_100
gpt4o,compound_word,coref,llm,0.0,96,gpt4o-0shot-compound_word_100
llama,sentiment,coref,llm,0.0,100,llama-0shot-sentiment_100
gpt-5,typo_bias,coref,llm,0.0,98,gpt-5-standard-0shot-typo_bias_100
claude,derivation,coref,llm,0.0,98,claude-3-5-sonnet-0shot-derivation_100
gpt-5,singlish,coref,llm,0.0,102,gpt-5-standard-0shot-singlish_100
gpt-5,geographical_bias,coref,llm,0.0,100,gpt-5-standard-0shot-geographical_bias_100
claude,coref,coref,llm,78.83981542518129,1517,claude-3-5-sonnet-0shot-coref
gpt-5,dialectal,coref,llm,0.0,100,gpt-5-standard-0shot-dialectal_100
mixtral,active_to_passive,coref,llm,0.0,95,mixtral-0shot-active_to_passive_100
llama,concept_replacement,dialogue,llm,0.0,100,llama-0shot-concept_replacement_100
llama,dialogue,dialogue,llm,91.72201138519924,4216,llama-0shot-dialogue
claude,singlish,dialogue,llm,0.0,106,claude-3-5-sonnet-0shot-singlish_100
mixtral,length_bias,dialogue,llm,0.0,100,mixtral-0shot-length_bias_100
llama,negation,dialogue,llm,0.0,100,llama-0shot-negation_100
llama,temporal_bias,dialogue,llm,0.0,100,llama-0shot-temporal_bias_100
mixtral,punctuation,dialogue,llm,0.0,100,mixtral-0shot-punctuation_100
gpt4o,coordinating_conjunction,dialogue,llm,0.0,100,gpt4o-0shot-coordinating_conjunction_100
llama,grammatical_role,dialogue,llm,0.0,68,llama-0shot-grammatical_role_100
gpt4o,grammatical_role,dialogue,llm,0.0,68,gpt4o-0shot-grammatical_role_100
llama,discourse,dialogue,llm,0.0,87,llama-0shot-discourse_100
gpt4o,dialogue_punctuation,dialogue,llm,0.0,100,gpt4o-0shot-dialogue_punctuation
llama,coordinating_conjunction,dialogue,llm,0.0,100,llama-0shot-coordinating_conjunction_100
gpt4o,cot-dialogue_punctuation,dialogue,llm,0.0,100,gpt4o-0shot-cot-dialogue_punctuation
claude,geographical_bias,dialogue,llm,0.0,92,claude-3-5-sonnet-0shot-geographical_bias_100
gpt4o,dialogue_typo_bias,dialogue,llm,0.0,100,gpt4o-0shot-dialogue_typo_bias
mixtral,discourse,dialogue,llm,0.0,87,mixtral-0shot-discourse_100
mixtral,temporal_bias,dialogue,llm,0.0,100,mixtral-0shot-temporal_bias_100
mixtral,coordinating_conjunction,dialogue,llm,0.0,100,mixtral-0shot-coordinating_conjunction_100
llama,geographical_bias,dialogue,llm,0.0,92,llama-0shot-geographical_bias_100
gpt4o,cot-dialogue_capitalization,dialogue,llm,0.0,100,gpt4o-0shot-cot-dialogue_capitalization
gpt4o,dialogue_capitalization,dialogue,llm,0.0,100,gpt4o-0shot-dialogue_capitalization
gpt4o,cot-dialogue_typo_bias,dialogue,llm,0.0,100,gpt4o-0shot-cot-dialogue_typo_bias
gpt4o,geographical_bias,dialogue,llm,0.0,92,gpt4o-0shot-geographical_bias_100
gpt-5,derivation,dialogue,llm,0.0,93,gpt-5-standard-0shot-derivation_100
mixtral,cot-dialogue,dialogue,llm,88.41289269685842,2451,mixtral-8x22b-0shot-cot-dialogue
