model,modification,original_acc,modified_acc,pct_diff,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
bert-base-cased,absolute,0.846,0.615,-27.3,0.18,0.205,0.18,ns,False
bert-base-cased,approximate,1.0,0.731,-26.9,0.008,0.005,0.005,**,True
bert-base-cased,double,0.636,0.727,14.3,0.564,0.684,0.564,ns,False
bert-base-cased,lexical,0.938,0.656,-30.0,0.003,0.006,0.003,**,True
bert-base-cased,verbal,0.833,0.611,-26.7,0.102,0.148,0.102,ns,False
claude-3-5-sonnet,absolute,1.0,0.692,-30.8,0.046,0.037,0.037,*,True
claude-3-5-sonnet,approximate,1.0,0.769,-23.1,0.014,0.01,0.01,*,True
claude-3-5-sonnet,double,1.0,0.636,-36.4,0.046,0.035,0.035,*,True
claude-3-5-sonnet,lexical,0.875,0.594,-32.1,0.007,0.012,0.007,**,True
claude-3-5-sonnet,verbal,0.889,0.833,-6.2,0.655,0.654,0.654,ns,False
gpt2,absolute,0.846,0.538,-36.4,0.102,0.102,0.102,ns,False
gpt2,approximate,0.923,0.692,-25.0,0.058,0.038,0.038,*,True
gpt2,double,0.909,0.636,-30.0,0.18,0.148,0.148,ns,False
gpt2,lexical,0.906,0.594,-34.5,0.004,0.004,0.004,**,True
gpt2,verbal,0.778,0.611,-21.4,0.257,0.294,0.257,ns,False
gpt4o,absolute,0.923,0.615,-33.3,0.102,0.073,0.073,.,False
gpt4o,approximate,0.923,0.769,-16.7,0.102,0.132,0.102,ns,False
gpt4o,double,0.818,0.636,-22.2,0.414,0.372,0.372,ns,False
gpt4o,lexical,0.844,0.531,-37.0,0.004,0.008,0.004,**,True
gpt4o,verbal,0.944,1.0,5.9,0.317,0.345,0.317,ns,False
llama,absolute,1.0,0.615,-38.5,0.025,0.016,0.016,*,True
llama,approximate,0.962,0.769,-20.0,0.025,0.046,0.025,*,True
llama,double,0.909,0.455,-50.0,0.025,0.028,0.025,*,True
llama,lexical,0.875,0.563,-35.7,0.002,0.006,0.002,**,True
llama,verbal,1.0,0.722,-27.8,0.025,0.019,0.019,*,True
t5-base,absolute,0.923,0.538,-41.7,0.025,0.033,0.025,*,True
t5-base,approximate,0.923,0.731,-20.8,0.059,0.072,0.059,.,False
t5-base,double,0.818,0.636,-22.2,0.157,0.372,0.157,ns,False
t5-base,lexical,0.938,0.656,-30.0,0.007,0.006,0.006,**,True
t5-base,verbal,0.833,0.778,-6.7,0.705,0.695,0.695,ns,False
