,bert-base-cased,bert-base-cased,bert-base-cased,gpt2,gpt2,gpt2,t5-base,t5-base,t5-base,gpt4o,gpt4o,gpt4o,claude-3-5-sonnet,claude-3-5-sonnet,claude-3-5-sonnet,llama,llama,llama
,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff
temporal_bias,0.87,0.87,0.0,0.85,0.83,-2.4,0.81,0.76,-6.2,0.9,0.92,2.2,0.91,0.94,3.3,0.92,0.91,-1.1
geographical_bias,0.826,0.728,-11.8,0.826,0.728,-11.8,0.75,0.728,-2.9,0.902,0.88,-2.4,0.902,0.902,0.0,0.913,0.859,-6.0
length_bias,0.84,0.8,-4.8,0.85,0.83,-2.4,0.84,0.81,-3.6,0.92,0.92,0.0,0.92,0.96,4.3,0.92,0.91,-1.1
typo_bias,0.84,0.88,4.8,0.89,0.87,-2.2,0.84,0.82,-2.4,0.92,0.92,0.0,0.97,0.96,-1.0,0.95,0.93,-2.1
capitalization,0.927,0.927,0.0,0.906,0.865,-4.6,0.792,0.792,0.0,0.906,0.917,1.1,0.969,0.969,0.0,0.958,0.958,0.0
punctuation,0.86,0.84,-2.3,0.9,0.88,-2.2,0.86,0.86,0.0,0.9,0.91,1.1,0.97,0.96,-1.0,0.91,0.9,-1.1
derivation,0.882,0.882,0.0,0.828,0.849,2.6,0.849,0.839,-1.3,0.968,0.925,-4.4,0.946,0.978,3.4,0.968,0.957,-1.1
compound_word,0.89,0.85,-4.5,0.86,0.86,0.0,0.81,0.82,1.2,0.96,0.94,-2.1,0.94,0.95,1.1,0.9,0.91,1.1
active_to_passive,0.87,0.9,3.4,0.84,0.87,3.6,0.85,0.82,-3.5,0.88,0.87,-1.1,0.95,0.93,-2.1,0.94,0.95,1.1
grammatical_role,0.853,0.765,-10.3,0.838,0.794,-5.3,0.912,0.838,-8.1,0.912,0.794,-12.9,0.956,0.941,-1.5,0.956,0.868,-9.2
coordinating_conjunction,0.89,0.88,-1.1,0.9,0.88,-2.2,0.8,0.83,3.7,0.95,0.93,-2.1,0.96,0.95,-1.0,0.99,0.97,-2.0
concept_replacement,0.89,0.86,-3.4,0.9,0.85,-5.6,0.87,0.85,-2.3,0.89,0.89,0.0,0.94,0.95,1.1,0.97,0.95,-2.1
negation,0.89,0.67,-24.7,0.88,0.62,-29.5,0.9,0.68,-24.4,0.89,0.7,-21.3,0.94,0.7,-25.5,0.94,0.64,-31.9
discourse,0.885,0.943,6.5,0.92,0.897,-2.5,0.943,0.931,-1.2,0.885,0.897,1.3,0.943,0.943,0.0,0.954,0.92,-3.6
sentiment,0.92,0.88,-4.3,0.87,0.85,-2.3,0.84,0.81,-3.6,0.91,0.92,1.1,0.97,0.95,-2.1,0.96,0.92,-4.2
casual,0.9,0.82,-8.9,0.93,0.85,-8.6,0.82,0.88,7.3,0.94,0.94,0.0,0.98,0.98,0.0,0.97,0.95,-2.1
dialectal,0.85,0.81,-4.7,0.84,0.82,-2.4,0.88,0.84,-4.5,0.89,0.88,-1.1,0.94,0.9,-4.3,0.94,0.93,-1.1
