model,modification,original_acc,modified_acc,percentage_diff,p_value,significance,significant
bert-base-cased,active_to_passive,0.87,0.9,3.4,0.317,ns,No
bert-base-cased,capitalization,0.927,0.927,0.0,1.0,ns,No
bert-base-cased,casual,0.9,0.82,-8.9,0.021,*,Yes
bert-base-cased,compound_word,0.89,0.85,-4.5,0.102,ns,No
bert-base-cased,concept_replacement,0.89,0.86,-3.4,0.257,ns,No
bert-base-cased,coordinating_conjunction,0.89,0.88,-1.1,0.655,ns,No
bert-base-cased,derivation,0.882,0.882,0.0,1.0,ns,No
bert-base-cased,dialectal,0.85,0.81,-4.7,0.317,ns,No
bert-base-cased,discourse,0.885,0.943,6.5,0.025,*,Yes
bert-base-cased,geographical_bias,0.826,0.728,-11.8,0.02,*,Yes
bert-base-cased,grammatical_role,0.853,0.765,-10.3,0.058,.,No
bert-base-cased,length_bias,0.84,0.8,-4.8,0.206,ns,No
bert-base-cased,negation,0.89,0.67,-24.7,0.0,**,Yes
bert-base-cased,punctuation,0.86,0.84,-2.3,0.317,ns,No
bert-base-cased,sentiment,0.92,0.88,-4.3,0.248,ns,No
bert-base-cased,temporal_bias,0.87,0.87,0.0,1.0,ns,No
bert-base-cased,typo_bias,0.84,0.88,4.8,0.102,ns,No
claude-3-5-sonnet,active_to_passive,0.95,0.93,-2.1,0.157,ns,False
claude-3-5-sonnet,capitalization,0.969,0.969,0.0,1.0,ns,False
claude-3-5-sonnet,casual,0.98,0.98,0.0,1.0,ns,False
claude-3-5-sonnet,compound_word,0.94,0.95,1.1,0.705,ns,False
claude-3-5-sonnet,concept_replacement,0.94,0.95,1.1,0.705,ns,False
claude-3-5-sonnet,coordinating_conjunction,0.96,0.95,-1.0,0.317,ns,False
claude-3-5-sonnet,derivation,0.946,0.978,3.4,0.18,ns,False
claude-3-5-sonnet,dialectal,0.94,0.9,-4.3,0.248,ns,False
claude-3-5-sonnet,discourse,0.943,0.943,0.0,1.0,ns,False
claude-3-5-sonnet,geographical_bias,0.902,0.902,0.0,1.0,ns,False
claude-3-5-sonnet,grammatical_role,0.956,0.941,-1.5,0.655,ns,False
claude-3-5-sonnet,length_bias,0.92,0.96,4.3,0.102,ns,False
claude-3-5-sonnet,negation,0.94,0.7,-25.5,0.0,**,True
claude-3-5-sonnet,punctuation,0.97,0.96,-1.0,0.564,ns,False
claude-3-5-sonnet,sentiment,0.97,0.95,-2.1,0.414,ns,False
claude-3-5-sonnet,temporal_bias,0.91,0.94,3.3,0.18,ns,False
claude-3-5-sonnet,typo_bias,0.97,0.96,-1.0,0.564,ns,False
gpt2,active_to_passive,0.84,0.87,3.6,0.366,ns,No
gpt2,capitalization,0.906,0.865,-4.6,0.102,ns,No
gpt2,casual,0.93,0.85,-8.6,0.011,*,Yes
gpt2,compound_word,0.86,0.86,0.0,1.0,ns,No
gpt2,concept_replacement,0.9,0.85,-5.6,0.025,*,Yes
gpt2,coordinating_conjunction,0.9,0.88,-2.2,0.317,ns,No
gpt2,derivation,0.828,0.849,2.6,0.157,ns,No
gpt2,dialectal,0.84,0.82,-2.4,0.48,ns,No
gpt2,discourse,0.92,0.897,-2.5,0.48,ns,No
gpt2,geographical_bias,0.826,0.728,-11.8,0.02,*,Yes
gpt2,grammatical_role,0.838,0.794,-5.3,0.317,ns,No
gpt2,length_bias,0.85,0.83,-2.4,0.414,ns,No
gpt2,negation,0.88,0.62,-29.5,0.0,**,Yes
gpt2,punctuation,0.9,0.88,-2.2,0.157,ns,No
gpt2,sentiment,0.87,0.85,-2.3,0.564,ns,No
gpt2,temporal_bias,0.85,0.83,-2.4,0.414,ns,No
gpt2,typo_bias,0.89,0.87,-2.2,0.414,ns,No
gpt4o,active_to_passive,0.88,0.87,-1.1,0.705,ns,False
gpt4o,capitalization,0.906,0.917,1.1,0.564,ns,False
gpt4o,casual,0.94,0.94,0.0,1.0,ns,False
gpt4o,compound_word,0.96,0.94,-2.1,0.317,ns,False
gpt4o,concept_replacement,0.89,0.89,0.0,1.0,ns,False
gpt4o,coordinating_conjunction,0.95,0.93,-2.1,0.414,ns,False
gpt4o,derivation,0.968,0.925,-4.4,0.046,*,True
gpt4o,dialectal,0.89,0.88,-1.1,0.739,ns,False
gpt4o,discourse,0.885,0.897,1.3,0.564,ns,False
gpt4o,geographical_bias,0.902,0.88,-2.4,0.564,ns,False
gpt4o,grammatical_role,0.912,0.794,-12.9,0.033,*,True
gpt4o,length_bias,0.92,0.92,0.0,1.0,ns,False
gpt4o,negation,0.89,0.7,-21.3,0.001,**,True
gpt4o,punctuation,0.9,0.91,1.1,0.564,ns,False
gpt4o,sentiment,0.91,0.92,1.1,0.705,ns,False
gpt4o,temporal_bias,0.9,0.92,2.2,0.157,ns,False
gpt4o,typo_bias,0.92,0.92,0.0,1.0,ns,False
llama,active_to_passive,0.94,0.95,1.1,0.564,ns,False
llama,capitalization,0.958,0.958,0.0,1.0,ns,False
llama,casual,0.97,0.95,-2.1,0.157,ns,False
llama,compound_word,0.9,0.91,1.1,0.317,ns,False
llama,concept_replacement,0.97,0.95,-2.1,0.157,ns,False
llama,coordinating_conjunction,0.99,0.97,-2.0,0.157,ns,False
llama,derivation,0.968,0.957,-1.1,0.317,ns,False
llama,dialectal,0.94,0.93,-1.1,0.564,ns,False
llama,discourse,0.954,0.92,-3.6,0.083,.,False
llama,geographical_bias,0.913,0.859,-6.0,0.132,ns,False
llama,grammatical_role,0.956,0.868,-9.2,0.034,*,True
llama,length_bias,0.92,0.91,-1.1,0.317,ns,False
llama,negation,0.94,0.64,-31.9,0.0,**,True
llama,punctuation,0.91,0.9,-1.1,0.317,ns,False
llama,sentiment,0.96,0.92,-4.2,0.046,*,True
llama,temporal_bias,0.92,0.91,-1.1,0.317,ns,False
llama,typo_bias,0.95,0.93,-2.1,0.157,ns,False
t5-base,active_to_passive,0.85,0.82,-3.5,0.257,ns,No
t5-base,capitalization,0.792,0.792,0.0,1.0,ns,No
t5-base,casual,0.82,0.88,7.3,0.083,.,No
t5-base,compound_word,0.81,0.82,1.2,0.564,ns,No
t5-base,concept_replacement,0.87,0.85,-2.3,0.317,ns,No
t5-base,coordinating_conjunction,0.8,0.83,3.7,0.257,ns,No
t5-base,derivation,0.849,0.839,-1.3,0.317,ns,No
t5-base,dialectal,0.88,0.84,-4.5,0.157,ns,No
t5-base,discourse,0.943,0.931,-1.2,0.564,ns,No
t5-base,geographical_bias,0.75,0.728,-2.9,0.637,ns,No
t5-base,grammatical_role,0.912,0.838,-8.1,0.025,*,Yes
t5-base,length_bias,0.84,0.81,-3.6,0.18,ns,No
t5-base,negation,0.9,0.68,-24.4,0.0,**,Yes
t5-base,punctuation,0.86,0.86,0.0,1.0,ns,No
t5-base,sentiment,0.84,0.81,-3.6,0.366,ns,No
t5-base,temporal_bias,0.81,0.76,-6.2,0.059,.,No
t5-base,typo_bias,0.84,0.82,-2.4,0.317,ns,No
