,bert,bert,bert,gpt2,gpt2,gpt2,t5,t5,t5,gpt4o,gpt4o,gpt4o,claude-3-5-sonnet,claude-3-5-sonnet,claude-3-5-sonnet,llama,llama,llama
,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff,original,modified,diff
temporal_bias,0.92,0.89,-3.3,0.9,0.85,-5.6,0.94,0.91,-3.2,0.9,0.9,0.0,0.9,0.94,4.4,0.95,0.94,-1.1
geographical_bias,0.87,0.86,-1.1,0.89,0.85,-4.5,0.94,0.93,-1.1,0.92,0.91,-1.1,0.9,0.92,2.2,0.9,0.91,1.1
length_bias,0.9,0.91,1.1,0.9,0.9,0.0,0.97,0.94,-3.1,0.92,0.93,1.1,0.91,0.94,3.3,0.96,0.96,0.0
typo_bias,0.9,0.86,-4.4,0.88,0.9,2.3,0.95,0.95,0.0,0.92,0.92,0.0,0.91,0.95,4.4,0.95,0.94,-1.1
capitalization,0.929,0.929,0.0,0.919,0.909,-1.1,0.949,0.939,-1.1,0.909,0.919,1.1,0.909,0.96,5.6,0.96,0.97,1.0
punctuation,0.91,0.9,-1.1,0.94,0.92,-2.1,0.93,0.93,0.0,0.9,0.91,1.1,0.92,0.93,1.1,0.93,0.96,3.2
derivation,0.954,0.92,-3.6,0.874,0.862,-1.4,0.977,0.954,-2.4,0.931,0.908,-2.5,0.908,0.954,5.1,0.977,0.954,-2.4
compound_word,0.947,0.916,-3.3,0.958,0.916,-4.4,0.979,0.947,-3.3,0.937,0.916,-2.2,0.937,0.947,1.1,0.968,0.958,-1.0
active_to_passive,0.92,0.85,-7.6,0.89,0.85,-4.5,0.91,0.9,-1.1,0.93,0.89,-4.3,0.9,0.88,-2.2,0.95,0.94,-1.1
grammatical_role,0.939,0.894,-4.8,0.879,0.879,0.0,0.955,0.924,-3.2,0.909,0.924,1.7,0.939,0.924,-1.6,0.939,0.955,1.7
coordinating_conjunction,0.92,0.93,1.1,0.91,0.91,0.0,0.95,0.96,1.1,0.94,0.93,-1.1,0.95,0.94,-1.1,0.97,0.96,-1.0
concept_replacement,0.9,0.88,-2.2,0.89,0.85,-4.5,0.94,0.91,-3.2,0.9,0.88,-2.2,0.94,0.94,0.0,0.96,0.96,0.0
negation,0.938,0.771,-17.8,0.896,0.771,-14.0,0.958,0.708,-26.1,0.854,0.75,-12.2,0.896,0.76,-15.2,0.927,0.833,-10.1
discourse,0.889,0.879,-1.1,0.859,0.838,-2.4,0.899,0.899,0.0,0.859,0.869,1.2,0.828,0.848,2.4,0.909,0.919,1.1
sentiment,0.87,0.86,-1.1,0.88,0.8,-9.1,0.91,0.93,2.2,0.93,0.91,-2.2,0.91,0.9,-1.1,0.95,0.89,-6.3
casual,0.96,0.89,-7.3,0.91,0.92,1.1,0.97,0.92,-5.2,0.94,0.93,-1.1,0.94,0.95,1.1,0.97,0.93,-4.1
dialectal,0.89,0.86,-3.4,0.88,0.86,-2.3,0.93,0.85,-8.6,0.86,0.81,-5.8,0.89,0.83,-6.7,0.92,0.93,1.1
