task,model,modification,original_text,modified_text,original_pred,modified_pred,original_correct,modified_correct,performance,original_reasoning,modified_reasoning,original_step_by_step_reasoning,modified_step_by_step_reasoning,file,row_index,original_entities,modified_entities
ner,bert,active_to_passive,"However, in 1861 the prospect of secession by southern states after the 1860 presidential election removed this obstacle to political change.","However, in 1861 the obstacle to political change was removed by the prospect of secession by southern states after the 1860 presidential election.",[],[],True,True,both_correct,,,,,bert_ner_results_active_to_passive.csv,5,[],[]
ner,bert,active_to_passive,The government announced a state funeral and a day of national mourning.,A state funeral and a day of national mourning were announced by the government.,[],[],True,True,both_correct,,,,,bert_ner_results_active_to_passive.csv,20,[],[]
ner,bert,active_to_passive,The channel has faced charges for spreading fake news and carrying out viewership manipulation on a number of occasions.,Charges for spreading fake news and carrying out viewership manipulation on a number of occasions have been faced by the channel.,[],[],True,True,both_correct,,,,,bert_ner_results_active_to_passive.csv,28,[],[]
ner,bert,active_to_passive,almost over 75 members of parliament join the alliance.,The alliance is joined by almost over 75 members of parliament.,[],[],True,True,both_correct,,,,,bert_ner_results_active_to_passive.csv,42,[],[]
ner,bert,active_to_passive,Both doors are mirror images of each other and each contain the bronze University seal.,Both doors are mirror images of each other and the bronze University seal is contained in each.,[],[],True,True,both_correct,,,,,bert_ner_results_active_to_passive.csv,45,"[{'text': 'bronze University seal', 'value': 'PRODUCT'}]","[{'text': 'bronze University seal', 'value': 'PRODUCT'}]"
ner,bert,active_to_passive,There are several makers of reproduction equipment and many artists work with collodion around the globe.,There are several makers of reproduction equipment and collodion is worked with by many artists around the globe.,[],[],True,True,both_correct,,,,,bert_ner_results_active_to_passive.csv,53,[],[]
ner,bert,active_to_passive,The 20Q AI can draw its own conclusions on how to interpret the information.,Conclusions on how to interpret the information can be drawn by the 20Q AI.,[],[],True,True,both_correct,,,,,bert_ner_results_active_to_passive.csv,57,"[{'text': '20Q AI', 'value': 'PRODUCT'}]","[{'text': '20Q AI', 'value': 'PRODUCT'}]"
ner,bert,active_to_passive,Both versions of the band continued touring and recording new music concurrently.,Touring and recording new music concurrently were continued by both versions of the band.,[],[],True,True,both_correct,,,,,bert_ner_results_active_to_passive.csv,63,[],[]
ner,bert,active_to_passive,"The 117-bed facility entirely comprised individual rooms, each with its own en-suite bathroom facilities.","Individual rooms, each with its own en-suite bathroom facilities, were entirely comprised by the 117-bed facility.",[],[],True,True,both_correct,,,,,bert_ner_results_active_to_passive.csv,71,[],[]
ner,bert,capitalization,Both doors are mirror images of each other and each contain the bronze University seal.,Both doors are mirror images of each other and each contain the bronze university seal.,[],[],True,True,both_correct,,,,,bert_ner_results_capitalization.csv,41,"[{'text': 'bronze University seal', 'value': 'PRODUCT'}]","[{'text': 'bronze university seal', 'value': 'PRODUCT'}]"
ner,bert,capitalization,The 20Q AI can draw its own conclusions on how to interpret the information.,The 20Q AI Can draw its own conclusions on how to interpret the information.,[],[],True,True,both_correct,,,,,bert_ner_results_capitalization.csv,66,"[{'text': '20Q AI', 'value': 'PRODUCT'}]","[{'text': '20Q AI', 'value': 'PRODUCT'}]"
ner,bert,capitalization,This collection contains material relating to sexual health issues from 1974-2007.,this collection contains material relating to sexual health issues from 1974-2007.,[],[],True,True,both_correct,,,,,bert_ner_results_capitalization.csv,73,[],[]
ner,bert,capitalization,"Less commonly, cases of hypersexuality have been reported.","less commonly, cases of hypersexuality have been reported.",[],[],True,True,both_correct,,,,,bert_ner_results_capitalization.csv,77,[],[]
ner,bert,capitalization,The ability to sustain a lucrative business in bootlegging liquor was largely helped by the minimal police surveillance at the time.,the ability to sustain a lucrative business in bootlegging liquor was largely helped by the minimal police surveillance at the time.,[],[],True,True,both_correct,,,,,bert_ner_results_capitalization.csv,79,[],[]
ner,bert,capitalization,The same effects have also been seen in short pubertal boys.,The same effects have also been seen in SHORT pubertal boys.,[],[],True,True,both_correct,,,,,bert_ner_results_capitalization.csv,87,[],[]
ner,bert,capitalization,"The 117-bed facility entirely comprised individual rooms, each with its own en-suite bathroom facilities.","The 117-BED facility entirely comprised individual rooms, each with its own en-suite bathroom facilities.",[],[],True,True,both_correct,,,,,bert_ner_results_capitalization.csv,95,[],[]
ner,bert,capitalization,The buildings were renovated into offices in the 1980s.,The buildings were renovated into oFfIcEs in the 1980s.,[],[],True,True,both_correct,,,,,bert_ner_results_capitalization.csv,99,[],[]
ner,bert,casual,She has also written fiction and her work has gained awards.,She wrote fiction and won awards.,[],[],True,True,both_correct,,,,,bert_ner_results_casual.csv,3,[],[]
ner,bert,casual,"The 117-bed facility entirely comprised individual rooms, each with its own en-suite bathroom facilities.",The 117-bed facility had individual rooms with en-suite bathrooms.,[],[],True,True,both_correct,,,,,bert_ner_results_casual.csv,6,[],[]
ner,bert,casual,The buildings were renovated into offices in the 1980s.,Buildings became offices in the '80s.,[],[],True,True,both_correct,,,,,bert_ner_results_casual.csv,9,[],[]
ner,bert,casual,The government announced a state funeral and a day of national mourning.,The government declared a state funeral and national mourning.,[],[],True,True,both_correct,,,,,bert_ner_results_casual.csv,19,[],[]
ner,bert,casual,The government announced a state funeral and a day of national mourning.,The government officially announced a state funeral and proclaimed a day of national mourning to honor the solemn occasion.,[],[],True,True,both_correct,,,,,bert_ner_results_casual.csv,21,[],[]
