task,model,modification,original_text,modified_text,original_pred,modified_pred,original_correct,modified_correct,performance,original_reasoning,modified_reasoning,original_step_by_step_reasoning,modified_step_by_step_reasoning,file,row_index,original_label,modified_label
sa,gpt4o,active_to_passive_100,"as the two leads, lathan and diggs are charming and have chemistry both as friends and lovers.","As the two leads, Lathan and Diggs are seen as charming and are perceived to have chemistry both as friends and lovers.",1,1,True,True,both_correct,,,,,gpt4o-0shot-active_to_passive_100.csv,0,1,1
sa,gpt4o,active_to_passive_100,"an interesting story with a pertinent (cinematically unique) message, told fairly well and scored to perfection, i found myself struggling to put my finger on that elusive `` missing thing. ''",A story of interest with a message that is pertinent (cinematically unique) was told fairly well and scored to perfection; it was found by me that there was a struggle to put my finger on that elusive'missing thing.',1,1,True,True,both_correct,,,,,gpt4o-0shot-active_to_passive_100.csv,1,1,1
sa,gpt4o,active_to_passive_100,a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002.,A literate presentation that is wonderfully woven from a murderous event in 1873 with murderous rage in 2002.,1,1,True,True,both_correct,,,,,gpt4o-0shot-active_to_passive_100.csv,2,1,1
sa,gpt4o,active_to_passive_100,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch.,At least one scene is so disgusting that it may be hard for viewers to be pressed hard enough to retain their lunch.,0,0,True,True,both_correct,,,,,gpt4o-0shot-active_to_passive_100.csv,3,0,0
sa,gpt4o,active_to_passive_100,that is a compliment to kuras and miller.,A compliment is being given to Kuras and Miller.,1,1,True,True,both_correct,,,,,gpt4o-0shot-active_to_passive_100.csv,4,1,1
sa,gpt4o,active_to_passive_100,the character of zigzag is not sufficiently developed to support a film constructed around him.,The character of Zigzag is not developed sufficiently for a film to be constructed around him.,0,0,True,True,both_correct,,,,,gpt4o-0shot-active_to_passive_100.csv,5,0,0
sa,gpt4o,active_to_passive_100,too much of it feels unfocused and underdeveloped.,Too much of it is felt to be unfocused and underdeveloped.,0,0,True,True,both_correct,,,,,gpt4o-0shot-active_to_passive_100.csv,6,0,0
sa,gpt4o,active_to_passive_100,"thanks to scott's charismatic roger and eisenberg's sweet nephew, roger dodger is one of the most compelling variations on in the company of men.","Thanks to Scott's charismatic portrayal of Roger and Eisenberg's portrayal of the sweet nephew, Roger Dodger is considered to be one of the most compelling variations on'In the Company of Men'.",1,1,True,True,both_correct,,,,,gpt4o-0shot-active_to_passive_100.csv,7,1,1
sa,gpt4o,active_to_passive_100,"it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.","The quality of it is reminiscent of a lesser Harrison Ford movie - perhaps Six Days, Seven Nights, or that dreadful Sabrina remake.",0,0,True,True,both_correct,,,,,gpt4o-0shot-active_to_passive_100.csv,8,0,0
sa,gpt4o,active_to_passive_100,a sequence of ridiculous shoot - 'em - up scenes.,A sequence of shoot -'em - up scenes that are ridiculous.,0,0,True,True,both_correct,,,,,gpt4o-0shot-active_to_passive_100.csv,9,0,0
