task,model,modification,original_text,modified_text,original_pred,modified_pred,original_correct,modified_correct,performance,original_reasoning,modified_reasoning,original_step_by_step_reasoning,modified_step_by_step_reasoning,file,row_index,original_dialog_label,modified_dialog_label
dialogue,bert,active_to_passive_100,"[""A while back my friend's boyfriend tried to get me to have an intimate relationship with him. He knew I had been married a very long time, as well as he was in a relationship with my friend. I turned him down flat, as I love my husband very much."", 'What a creep. I hope that you told on him.', ""Yes, I let him know that was wrong and disgusting. I couldn't believe he did it!""]",Some people are like that. Was your husband told by you?,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,0,0,0
dialogue,bert,active_to_passive_100,"[""I had planned to get my wife flowers for her birthday but I completly forgot. I feel very upset about having forgotten and think she'll hate me."", 'Is there still time to get one? You can if you hurry!', 'Her birthday was yesterday and I was too busy with work. She was upset that I forgot her birthday.', ""Well you can always get more flowers, so it'll be okay! Try making it up by bringing her food!"", 'I have a dinner date at a fancy place she loves planned tonight. So I hope it goes well. How are you?', 'its going okay. I have a few dates a month. trying to take it slow to be honest. No one seems different though.', 'Well keep at it. You will find someone for you. What are your hobbies?', ""I love acting. It's always been my dream to play the big roles in films."", 'That is really cool! What is your favorite type of acting?']","Fantasy movies are usually liked by me. It is known that I get enough of the real world, so something fantastical is desired to be seen by me to dive into people's imaginations.",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,1,0,0
dialogue,bert,active_to_passive_100,"['I put in a job application for a new job. I am fairly certain that my credentials are enough to get me the job.', 'Thats awesome! Have you been scheduled for an interview yet?', 'I was, I go in next Tuesday. I am pretty excited for them to give me the job.', 'I would be too! I hope everything goes well with it!', ""Thanks. I'm ready to go to work right now!""]",It is bet by me that you won't get it.,1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,2,1,1
dialogue,bert,active_to_passive_100,"['hello what are doing today?', 'i am good, i just got off work and tired, i have two jobs.', 'i just got done watching a horror movie', ""i rather read, i've read about 20 books this year."", 'wow! i do love a good horror movie. loving this cooler weather', 'but a good movie is always good.', 'yes! my son is in junior high and i just started letting him watch them too', 'i work in the movies as well.', 'neat!! i used to work in the human services field', 'you worked in the human service field']","No, it is not the case that work in the human service field was done by me.",1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,3,1,1
dialogue,bert,active_to_passive_100,"['Skittles is actual a sport. I always thought it was candy.', 'Woah! Wait, really? What does the sport involve?', 'Skittles is an Old European lawn game, kinda like ten-pen bowling.', 'Oh, that is actually really neat. Is it still played a lot in Europe?', 'Yes it is! It is a popular indoor place game.', ""That's actually really neat. I have an online friend that lives in the UK, I will have to ask him about it."", 'In Catalonia has a version and it is called ""bitles"". It is not as popular in present times.', 'I am not familiar with Catalonia, where is that?']","Catalonia is located on the Iberian Peninsula, where Barcelona, the capital, is one of four provinces.",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,4,0,0
dialogue,bert,active_to_passive_100,"['I really miss living in Montreal, it was a fun city', 'I love Canada, do you speak French?', ""Only a little, I travelled about a lot so I didn't get much of a chance to learn"", 'What do you miss the most about Montreal?', 'The people, definitely. Everyone I met was so lovely. Have you been?', 'No. I have always wanted to go. I have only been inside of Canada once and that was at Niagra Falls.', 'Niagara Falls is lovely!! If you could go anywhere, where would you go?', 'I have wanted to visit Germany. However, I also dream of going to Hawaii one day as well. How about you?', ""My family lived in Germany for a bit (military brat) and I'd definitely say go! It's such a beautiful country. I've always wanted to visit Ireland, myself""]","Ireland, which can be imagined as beautiful, is also filled with so much history and beautiful countryside that would be loved to be explored by me!",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,5,0,0
dialogue,bert,active_to_passive_100,"[""i like you... i'm going to have to look that one up."", 'thank you! need to appreciate and never take life for granted', ""that's really hard for me right now"", 'sometimes you just need to take a break and go find a peaceful place to sit and think.', ""I know that, but whenever I get to thinking, I just can't figure out who I am"", ""some people never achieve that, don't get down on yourself."", 'I used to know, but now I just feel lost and disconnected from everything', ""That's how i felt when my dog died. maybe you could get a pet"", 'My husband and I are afraid of the responsibility', ""that's true they are a lot of responsibility. maybe a snake?"", 'What if I forget to feed it?', 'snakes can go weeks without eating.']",Then it might be the perfect pet for me. Is it true that live rats are eaten by them?,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,6,0,0
dialogue,bert,active_to_passive_100,"[""I'm teaching my daughter how to drive, and so far, so good!"", 'That is wonderful, I imagine she is very excited.', 'She is! At first, though, she was very nervous. I told her we could start off slow - her dad lives 1 mile from me down a quiet road, so we started driving back and forth between the two houses.', 'Okay i see well, take your time she will be getting her liscense soon', ""Hopefully by the first of the year. We've worked up to driving to the dollar store 5 miles away. She's still a little nervous but she's getting better and more confident the more we practice."", 'She just needs to get her confidence and I am sure you are a great teacher.', ""I do what I can where I can. Can't wait for our hard work to pay off and she gets her license!"", ""It'll come--perseverance is key. She will learn and do fine.""]","Yeah, I think the drive down to her Dad's is going to be attempted to be kept up by us--he resides about 20 miles away but on a nice scenic route, so it might be tried when she feels ready for it.",1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,7,1,1
dialogue,bert,active_to_passive_100,"[""I found huge box full of my old cd's recently, found a ton of old pc games i used to play, reminded me of a simpler time!"", 'Awesome! Did you play any of them after you found the box?']","A few sessions of Age of Empires were played by me, and it is planned that some Command and Conquer Red Alert will be played tonight before bed; they are still great games.",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,8,0,0
dialogue,bert,active_to_passive_100,"[""I had to dance in front of everyone at the wedding and I can't dance well/"", 'I am sure you looked just fine.', 'Haha, thank you. Are you good at dancing?', 'No, but I am good at math.', ""I'm so bad at math...sometimes I have to help my son with his homework, and I hate that."", 'Helping him will also help you.', 'I guess so. Do you like math, or are you just good at it?', ""I'm planning on being an engineer so it's a bit of both."", ""Oh, that's so cool! Do you go to school?"", ""Yes I'm currently in school but starting an internship soon."", ""That's great! Best of luck to you. I hope I can go back to school when my kids are a little older."", ""That's a good idea. You can improve your math there.""]",Improvement is not needed. It is already acknowledged that proficiency in math is possessed by me.,1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,9,1,1
dialogue,bert,active_to_passive_100,"['It makes me think of the good old days when I was a kid when I listen to the music in my aunts car', 'What does? Were you in a car ride with your aunt?', 'felling the wind on my face when i run', ""I can see how that could be soothing if you didn't get motion sickness"", 'do you run /', 'I love running, but it needs to be in the right area. You?', ""it's my enjoyment, my stress reliever."", 'That is a great stress reliever. How far do you normally run?', 'bout 4 miles easy, i like to run when its cool and windy', 'Wow. I only make it about a mile, mile and a half. When I have time.', 'its all in the mind, once you can believe it you can do it', 'yeah but too much running makes me so tired and I hate that.']",Running is liked by me when it is very warm so that sweatiness can be achieved.,1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,10,1,1
dialogue,bert,active_to_passive_100,"['My niece is super talented lately.', 'What is her best talent?', 'Art, she was accepted into a special program for high school.']",Is drawing or painting done by her? How many students are enrolled in this program?,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,12,0,0
dialogue,bert,active_to_passive_100,"[""I lovve to read too, But I've never been in a book club. How do you like it?"", 'It book discussion club. A group of people meet and discuss a book and tell express their opinions', 'Is it enjoyable?', ""So far. The biggest issue is when other people don't read the book and you're just uh...well I guess there's nothing to discuss."", 'Indeed. I enjoy going out to bars. Alcohol helps finding things to discuss.', 'It does. And makes me braver. I usually look for that hot nerd type to chat up.', 'Someone should start an alcohol club.', 'Or bring it to our book clubs...the hard stuff...liven the conversations.', 'What a great idea.', ""Okay I'm going to bring a giant bottle of vodka to the next one. We're discussing Dostoevsky so it's perfect."", ""What's your favorite Dostoevsky?""]",Only a couple have been read by me so far. Crime and Punishment was loved.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,13,0,0
