task,model,modification,original_text,modified_text,original_pred,modified_pred,original_correct,modified_correct,performance,original_reasoning,modified_reasoning,original_step_by_step_reasoning,modified_step_by_step_reasoning,file,row_index,original_label,modified_label
sa,bert,active_to_passive_100,"as the two leads, lathan and diggs are charming and have chemistry both as friends and lovers.","As the two leads, Lathan and Diggs are seen as charming and are perceived to have chemistry both as friends and lovers.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,0,1,1
sa,bert,active_to_passive_100,"an interesting story with a pertinent (cinematically unique) message, told fairly well and scored to perfection, i found myself struggling to put my finger on that elusive `` missing thing. ''",A story of interest with a message that is pertinent (cinematically unique) was told fairly well and scored to perfection; it was found by me that there was a struggle to put my finger on that elusive'missing thing.',1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,1,1,1
sa,bert,active_to_passive_100,a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002.,A literate presentation that is wonderfully woven from a murderous event in 1873 with murderous rage in 2002.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,2,1,1
sa,bert,active_to_passive_100,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch.,At least one scene is so disgusting that it may be hard for viewers to be pressed hard enough to retain their lunch.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,3,0,0
sa,bert,active_to_passive_100,that is a compliment to kuras and miller.,A compliment is being given to Kuras and Miller.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,4,1,1
sa,bert,active_to_passive_100,the character of zigzag is not sufficiently developed to support a film constructed around him.,The character of Zigzag is not developed sufficiently for a film to be constructed around him.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,5,0,0
sa,bert,active_to_passive_100,too much of it feels unfocused and underdeveloped.,Too much of it is felt to be unfocused and underdeveloped.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,6,0,0
sa,bert,active_to_passive_100,"thanks to scott's charismatic roger and eisenberg's sweet nephew, roger dodger is one of the most compelling variations on in the company of men.","Thanks to Scott's charismatic portrayal of Roger and Eisenberg's portrayal of the sweet nephew, Roger Dodger is considered to be one of the most compelling variations on'In the Company of Men'.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,7,1,1
sa,bert,active_to_passive_100,"it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.","The quality of it is reminiscent of a lesser Harrison Ford movie - perhaps Six Days, Seven Nights, or that dreadful Sabrina remake.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,8,0,0
sa,bert,active_to_passive_100,a sequence of ridiculous shoot - 'em - up scenes.,A sequence of shoot -'em - up scenes that are ridiculous.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,9,0,0
sa,bert,active_to_passive_100,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants, revealing the human complexities beneath.","Our preconceived vision of the holy land and its inhabitants is transcended by this illuminating documentary, revealing the human complexities beneath.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,10,1,1
sa,bert,active_to_passive_100,this isn't even madonna's swept away.,This isn't even swept away by Madonna.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,11,0,0
sa,bert,active_to_passive_100,k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension.,Our substantial collective fear of nuclear holocaust is exploited by K-19 to generate cheap Hollywood tension.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,12,0,0
sa,bert,active_to_passive_100,the end result is a film that's neither.,The end result is a film that is neither admired nor enjoyed.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,14,0,0
sa,bert,active_to_passive_100,"charles ' entertaining film chronicles seinfeld's return to stand-up comedy after the wrap of his legendary sitcom, alongside wannabe comic adams ' attempts to get his shot at the big time.","The entertaining film by Charles is chronicled, which follows Seinfeld's return to stand-up comedy after his legendary sitcom wrapped up, alongside the attempts by wannabe comic Adams to get his shot at the big time.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,15,1,1
sa,bert,active_to_passive_100,"entertains by providing good, lively company.","Good, lively company is provided for entertainment.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,16,1,1
sa,bert,active_to_passive_100,"a very well-made, funny and entertaining picture.","A picture that is very well-made, funny, and entertaining.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,17,1,1
sa,bert,active_to_passive_100,"it's played in the most straight-faced fashion, with little humor to lighten things up.","It is played in the most straight-faced fashion, with little humor being used to lighten things up.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,18,0,0
sa,bert,active_to_passive_100,"no sophomore slump for director sam mendes, who segues from oscar winner to oscar-winning potential with a smooth sleight of hand.","No sophomore slump is experienced by director Sam Mendes, who is segued from Oscar winner to Oscar-winning potential with a smooth sleight of hand.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,19,1,1
sa,bert,active_to_passive_100,it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight.,Fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight is confirmed by it.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,20,1,1
sa,bert,active_to_passive_100,"a warm, funny, engaging film.","A film that is warm, funny, and engaging.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,22,1,1
sa,bert,active_to_passive_100,"visually rather stunning, but ultimately a handsome-looking bore, the true creativity would have been to hide treasure planet entirely and completely reimagine it.","Visually considered rather stunning, but ultimately a handsome-looking bore, it would have been true creativity to have Treasure Planet entirely hidden and completely reimagined.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,23,0,0
sa,bert,active_to_passive_100,the draw (for `` big bad love '') is a solid performance by arliss howard.,The draw (for'Big Bad Love') is characterized by a solid performance that is given by Arliss Howard.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,24,1,1
sa,bert,active_to_passive_100,"the vitality of the actors keeps the intensity of the film high, even as the strafings blend together.","The intensity of the film is kept high by the vitality of the actors, even as the strafings are blended together.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,27,1,1
sa,bert,active_to_passive_100,coughs and sputters on its own postmodern conceit.,Is coughed and sputtered on by its own postmodern conceit.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,28,0,0
sa,bert,active_to_passive_100,among the year's most intriguing explorations of alientation.,"Among the year's explorations of alienation, this is considered one of the most intriguing.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,29,1,1
sa,bert,active_to_passive_100,lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-actor master class.,The ability of LaPaglia to convey grief and hope is worked with by Weaver's sensitive reactions to make this a master class of two actors.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,30,1,1
sa,bert,active_to_passive_100,enormously entertaining for moviegoers of any age.,Found enormously entertaining by moviegoers of any age.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,32,1,1
sa,bert,active_to_passive_100,villeneuve spends too much time wallowing in bibi's generic angst (there are a lot of shots of her gazing out windows).,Too much time is spent by Villeneuve wallowing in Bibi's generic angst (there are a lot of shots of her being gazed out of windows).,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,33,0,0
sa,bert,active_to_passive_100,"it doesn't believe in itself, it has no sense of humor... it's just plain bored.","Belief in itself is not present, a sense of humor is absent... it is just made plain bored.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,34,0,0
sa,bert,active_to_passive_100,it's a stunning lyrical work of considerable force and truth.,It is considered a stunning lyrical work of considerable force and truth.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,35,1,1
sa,bert,active_to_passive_100,"and when you're talking about a slapstick comedy, that's a pretty big problem.","and when a slapstick comedy is being talked about, that's a pretty big problem.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,36,0,0
sa,bert,active_to_passive_100,late marriage's stiffness is unlikely to demonstrate the emotional clout to sweep u.s. viewers off their feet.,It is unlikely that the stiffness of late marriage will demonstrate the emotional clout to sweep U.S. viewers off their feet.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,37,0,0
sa,bert,active_to_passive_100,blanchett's performance confirms her power once again.,Blanchett's power is confirmed by her performance once again.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,38,1,1
sa,bert,active_to_passive_100,"nelson's brutally unsentimental approach... sucks the humanity from the film, leaving behind an horrific but weirdly unemotional spectacle.","The humanity is sucked from the film by Nelson's brutally unsentimental approach, leaving behind a spectacle that is horrific but weirdly unemotional.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,39,0,0
sa,bert,active_to_passive_100,"so, too, is this comedy about mild culture clashing in today's new delhi.","So, too, is this comedy about mild culture being clashed in today's New Delhi.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,40,1,1
sa,bert,active_to_passive_100,the cold turkey would've been a far better title.,A far better title would have been given by'the cold turkey'.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,41,0,0
