model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
claude-3-5-sonnet,active_to_passive,90.0,88.0,-2.222,-1.954,0.527,ns,False
claude-3-5-sonnet,capitalization,90.909,95.96,5.556,4.946,0.059,.,False
claude-3-5-sonnet,casual,94.0,95.0,1.064,0.987,0.705,ns,False
claude-3-5-sonnet,compound_word,93.684,94.737,1.124,1.038,0.655,ns,False
claude-3-5-sonnet,concept_replacement,94.0,94.0,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,coordinating_conjunction,95.0,94.0,-1.053,-0.989,0.564,ns,False
claude-3-5-sonnet,derivation,90.805,95.402,5.063,4.501,0.102,ns,False
claude-3-5-sonnet,dialectal,89.0,83.0,-6.742,-5.848,0.034,*,True
claude-3-5-sonnet,discourse,82.828,84.848,2.439,1.938,0.564,ns,False
claude-3-5-sonnet,geographical_bias,90.0,92.0,2.222,1.954,0.48,ns,False
claude-3-5-sonnet,grammatical_role,93.939,92.424,-1.613,-1.495,0.655,ns,False
claude-3-5-sonnet,length_bias,91.0,94.0,3.297,2.939,0.317,ns,False
claude-3-5-sonnet,negation,89.583,76.042,-15.116,-13.218,0.002,**,True
claude-3-5-sonnet,punctuation,92.0,93.0,1.087,0.982,0.564,ns,False
claude-3-5-sonnet,sentiment,91.0,90.0,-1.099,-0.98,0.796,ns,False
claude-3-5-sonnet,singlish,96.078,91.176,-5.102,-4.859,0.059,.,False
claude-3-5-sonnet,temporal_bias,90.0,94.0,4.444,3.908,0.157,ns,False
claude-3-5-sonnet,typo_bias,91.0,95.0,4.396,3.918,0.102,ns,False
gpt-5-standard,active_to_passive,95.0,93.0,-2.105,-1.978,0.157,ns,False
gpt-5-standard,capitalization,95.96,95.96,0.0,0.0,1.0,ns,False
gpt-5-standard,casual,96.0,94.0,-2.083,-1.982,0.317,ns,False
gpt-5-standard,compound_word,96.842,95.789,-1.087,-1.045,0.564,ns,False
gpt-5-standard,concept_replacement,95.0,95.0,0.0,0.0,1.0,ns,False
gpt-5-standard,coordinating_conjunction,95.0,96.0,1.053,0.989,0.317,ns,False
gpt-5-standard,derivation,95.402,94.253,-1.205,-1.138,0.655,ns,False
gpt-5-standard,dialectal,86.275,91.176,5.682,4.745,0.166,ns,False
gpt-5-standard,discourse,90.909,88.889,-2.222,-1.978,0.157,ns,False
gpt-5-standard,geographical_bias,92.0,93.0,1.087,0.982,0.564,ns,False
gpt-5-standard,grammatical_role,95.455,95.455,0.0,0.0,1.0,ns,False
gpt-5-standard,length_bias,97.0,94.0,-3.093,-2.98,0.083,.,False
gpt-5-standard,negation,91.667,85.417,-6.818,-6.132,0.083,.,False
gpt-5-standard,punctuation,91.0,94.0,3.297,2.939,0.083,.,False
gpt-5-standard,sentiment,94.0,88.0,-6.383,-5.919,0.109,ns,False
gpt-5-standard,temporal_bias,94.0,97.0,3.191,2.96,0.083,.,False
gpt-5-standard,typo_bias,95.0,96.0,1.053,0.989,0.317,ns,False
gpt4o,active_to_passive,93.0,89.0,-4.301,-3.937,0.046,*,True
gpt4o,capitalization,90.909,91.919,1.111,0.989,0.317,ns,False
gpt4o,casual,94.0,93.0,-1.064,-0.987,0.564,ns,False
gpt4o,compound_word,93.684,91.579,-2.247,-2.075,0.157,ns,False
gpt4o,concept_replacement,90.0,88.0,-2.222,-1.954,0.317,ns,False
gpt4o,coordinating_conjunction,94.0,93.0,-1.064,-0.987,0.317,ns,False
gpt4o,derivation,93.103,90.805,-2.469,-2.263,0.157,ns,False
gpt4o,dialectal,86.0,81.0,-5.814,-4.836,0.059,.,False
gpt4o,discourse,85.859,86.869,1.176,0.977,0.317,ns,False
gpt4o,geographical_bias,92.0,91.0,-1.087,-0.982,0.739,ns,False
gpt4o,grammatical_role,90.909,92.424,1.667,1.484,0.564,ns,False
gpt4o,length_bias,92.0,93.0,1.087,0.982,0.564,ns,False
gpt4o,negation,85.417,75.0,-12.195,-10.06,0.012,*,True
gpt4o,punctuation,90.0,91.0,1.111,0.977,0.317,ns,False
gpt4o,sentiment,93.0,91.0,-2.151,-1.968,0.593,ns,False
gpt4o,singlish,91.176,88.235,-3.226,-2.882,0.18,ns,False
gpt4o,temporal_bias,90.0,90.0,0.0,0.0,1.0,ns,False
gpt4o,typo_bias,92.0,92.0,0.0,0.0,1.0,ns,False
llama,active_to_passive,95.0,94.0,-1.053,-0.989,0.564,ns,False
llama,capitalization,95.96,96.97,1.053,1.001,0.564,ns,False
llama,casual,97.0,93.0,-4.124,-3.974,0.102,ns,False
llama,compound_word,96.842,95.789,-1.087,-1.045,0.317,ns,False
llama,concept_replacement,96.0,96.0,0.0,0.0,1.0,ns,False
llama,coordinating_conjunction,97.0,96.0,-1.031,-0.993,0.564,ns,False
llama,derivation,97.701,95.402,-2.353,-2.287,0.157,ns,False
llama,dialectal,92.0,93.0,1.087,0.982,0.655,ns,False
llama,discourse,90.909,91.919,1.111,0.989,0.564,ns,False
llama,geographical_bias,90.0,91.0,1.111,0.977,0.705,ns,False
llama,grammatical_role,93.939,95.455,1.613,1.495,0.564,ns,False
llama,length_bias,96.0,96.0,0.0,0.0,1.0,ns,False
llama,negation,92.708,83.333,-10.112,-9.221,0.02,*,True
llama,punctuation,93.0,96.0,3.226,2.953,0.083,.,False
llama,sentiment,95.0,89.0,-6.316,-5.933,0.119,ns,False
llama,singlish,94.118,98.039,4.167,3.87,0.102,ns,False
llama,temporal_bias,95.0,94.0,-1.053,-0.989,0.317,ns,False
llama,typo_bias,95.0,94.0,-1.053,-0.989,0.564,ns,False
