task,model,modification,original_res,modified_res,difference,pct_difference,p_value,samples
sentiment_analysis,gpt-5-standard,temporal_bias_100,0.94,0.97,0.03,3.19,0.3085780155804182,100
sentiment_analysis,gpt-5-standard,geographical_bias_100,0.92,0.93,0.01,1.09,0.7896202806590895,100
sentiment_analysis,gpt-5-standard,length_bias_100,0.97,0.94,-0.03,-3.09,0.30857801558041825,100
sentiment_analysis,gpt-5-standard,typo_bias_100,0.95,0.96,0.01,1.05,0.7346039602285346,100
sentiment_analysis,gpt-5-standard,capitalization_100,0.96,0.96,-0.0,-0.0,1.0,99
sentiment_analysis,gpt-5-standard,punctuation_100,0.91,0.94,0.03,3.3,0.4231377885464038,100
sentiment_analysis,gpt-5-standard,derivation_100,0.954,0.943,-0.011,-1.2,0.7339366914559982,87
sentiment_analysis,gpt-5-standard,compound_word_100,0.968,0.958,-0.011,-1.09,0.7019727923271593,95
sentiment_analysis,gpt-5-standard,active_to_passive_100,0.95,0.93,-0.02,-2.11,0.5538362415672511,100
sentiment_analysis,gpt-5-standard,grammatical_role_100,0.955,0.955,-0.0,-0.0,1.0,66
sentiment_analysis,gpt-5-standard,coordinating_conjunction_100,0.95,0.96,0.01,1.05,0.7346039602285346,100
sentiment_analysis,gpt-5-standard,concept_replacement_100,0.95,0.95,-0.0,-0.0,1.0,100
sentiment_analysis,gpt-5-standard,negation_100,0.917,0.854,-0.062,-6.82,0.17578420386046612,96
sentiment_analysis,gpt-5-standard,discourse_100,0.909,0.889,-0.02,-2.22,0.6392021156415386,99
sentiment_analysis,gpt-5-standard,sentiment_100,0.94,0.88,-0.06,-6.38,0.13960073022955757,100
sentiment_analysis,gpt-5-standard,casual_100,0.96,0.94,-0.02,-2.08,0.518824581762978,100
sentiment_analysis,gpt-5-standard,dialectal_100,0.863,0.912,0.049,5.68,0.270597008008341,102
sentiment_analysis,gpt-5-standard,average,0.939,0.934,-0.006,-0.57,,1644
